thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,all_keys.rt,all_keys.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,outcome_left_box.stopped,outcome_right_box.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,j,1.3646249000448734,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,192.90669029997662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.28598539996892,198.30193999991752,200.81697449996136,200.8008991999086,,,,,,,,192.89172620000318,192.90669029997662,192.90669029997662,192.90669029997662,194.27361039991956,j,1.3646249000448734,None,194.27705959999003,194.28894799994305,194.28894799994305,195.78788829990663,195.8016652999213,195.81062269990798,195.81062269990798,198.2859178999206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
1,0,1,,,,,,,k,0.33264690008945763,None,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,200.81697449996136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.16370429995004,205.17990419990383,208.1944066999713,208.17849079996813,,,,,,,,200.8011568998918,200.81697449996136,200.81697449996136,200.81697449996136,201.15174799994566,k,0.33264690008945763,None,201.15519319998566,201.16673119994812,201.16673119994812,202.66550259990618,202.6826462999452,202.6902111999225,202.6902111999225,205.16363619989716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
2,0,2,,,,,,,k,0.40240690007340163,None,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,208.1944066999713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.62455939990468,212.6405048999004,213.6401395999128,213.62377069995273,,,,,,,,208.17874679993838,208.1944066999713,208.1944066999713,208.1944066999713,208.6121376999654,k,0.40240690007340163,None,208.61559129995294,208.62757749995217,208.62757749995217,210.12624179990962,210.143134099897,210.15075889998116,210.15075889998116,212.6244889999507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
3,0,3,,,,,,,k,0.486895399983041,None,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,213.6401395999128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.15388199989684,218.16940339992289,219.1690263999626,219.15266909997445,,,,,,,,213.62402539991308,213.6401395999128,213.6401395999128,213.6401395999128,214.14118049992248,k,0.486895399983041,None,214.14461179997306,214.15641079994384,214.15641079994384,215.65547839994542,215.67227260000072,215.67967989994213,215.67967989994213,218.15381169994362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
4,0,4,,,,,,,k,0.4631886000279337,None,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,219.1690263999626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.64922699995805,223.66499169997405,226.67997399996966,226.66359989997,,,,,,,,219.1529340998968,219.1690263999626,219.1690263999626,219.1690263999626,219.63684169994667,k,0.4631886000279337,None,219.64029879996087,219.65244739991613,219.65244739991613,221.15078889997676,221.16757319995668,221.1750971999718,221.1750971999718,223.64915849990211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
5,0,5,,,,,,,k,0.5629975000629202,None,,,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,226.67997399996966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.25995709991548,231.2757620998891,234.29029939998873,234.27434079989325,,,,,,,,226.66386279999278,226.67997399996966,226.67997399996966,226.67997399996966,227.2478827999439,k,0.5629975000629202,None,227.25141299993265,227.2626123999944,227.2626123999944,228.7616242999211,228.77522849990055,228.78305089997593,228.78305089997593,231.2598866999615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
6,0,6,,,,,,,j,1.3338545999722555,None,,,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,234.29029939998873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.6531868999591,239.66896699997596,242.18394239991903,242.16809279995505,,,,,,,,234.2744976999238,234.29029939998873,234.29029939998873,234.29029939998873,235.64036669989582,j,1.3338545999722555,None,235.64381549996324,235.6562372999033,235.6562372999033,237.15503999998327,237.17179619998205,237.17971169995144,237.17971169995144,239.65311739989556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
7,0,7,,,,,,,j,1.4088858999311924,None,,,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,242.18394239991903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.6136172999395,247.62924779998139,249.14521419990342,249.12895209994167,,,,,,,,242.16835779999383,242.18394239991903,242.18394239991903,242.18394239991903,243.601333300001,j,1.4088858999311924,None,243.60479179990944,243.61620930000208,243.61620930000208,245.0998866999289,245.11658509995323,245.12431829993147,245.12431829993147,247.6135476999916,245.12431829993147,245.12431829993147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
8,0,8,,,,,,,j,2.262656299979426,None,,,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,249.14521419990342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.42398449999746,255.43978129990865,257.4551461999072,257.4390422999859,,,,,,,,249.1291087999707,249.14521419990342,249.14521419990342,249.14521419990342,251.4117884999141,j,2.262656299979426,None,251.41522999992594,251.42692669993266,251.42692669993266,252.9259868999943,252.94279679993633,252.95060260000173,252.95060260000173,255.42391599994153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
9,0,9,,,,,,,k,0.40427449997514486,None,,,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,257.4551461999072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.8855385999195,261.9014634999912,263.9165130999172,263.9005264999578,,,,,,,,257.43929799995385,257.4551461999072,257.4551461999072,257.4551461999072,257.8733254999388,k,0.40427449997514486,None,257.87678719998803,257.88854159996845,257.88854159996845,259.3871965999715,259.40067739994265,259.40806019993033,259.40806019993033,261.88546999997925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
