thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,all_keys.rt,all_keys.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,outcome_left_box.stopped,outcome_right_box.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,,,,j,9.420492599951103,None,j,0.872367599979043,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,273.3983212999301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.9011357999407,263.9165130999172,263.9165130999172,273.3439093999332,j,9.420492599951103,None,273.39077619998716,273.3983212999301,273.3983212999301,273.3983212999301,273.3983212999301,274.27729989995714,j,0.872367599979043,None,left,1,7,1,0,1,1,None,274.2912233999232,274.2994594000047,274.2994594000047,275.3180167999817,275.3180167999817,275.29232309991494,275.30947350000497,275.3180167999817,275.3180167999817,276.30689039989375,stimuli/box_coin_transparent.png,276.30695819994435,276.32294849993195,278.3386181999231,278.3221384999342,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
1,0,1,,,,,,,,,,j,9.420492599951103,None,j,0.3766651999903843,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,278.3386181999231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.324513199972,278.3386181999231,278.3386181999231,278.3386181999231,278.3386181999231,278.7230644999072,j,0.3766651999903843,None,left,1,7,2,0,2,2,None,278.7336101999972,278.74116199999116,278.74116199999116,280.26163039996754,280.26163039996754,280.2375435999129,280.25449500000104,280.26163039996754,280.26163039996754,281.2530516999541,stimuli/box_coin_transparent.png,281.25312209990807,281.26887079991866,282.7681596999755,282.75205849995837,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
2,0,2,,,,,,,,,,j,9.420492599951103,None,j,0.5649452999932691,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,282.7681596999755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.7544354998972,282.7681596999755,282.7681596999755,282.7681596999755,282.7681596999755,283.3360157998977,j,0.5649452999932691,None,left,1,7,3,0,3,3,None,283.34489389997907,283.35188370000105,283.35188370000105,284.3749176999554,284.3749176999554,284.35105759999715,284.36776769999415,284.3749176999554,284.3749176999554,285.36634389997926,stimuli/box_coin_transparent.png,285.3664138999302,285.3825659999857,288.3970719999634,288.38106359995436,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
3,0,3,,,,,,,,,,j,9.420492599951103,None,j,0.25538489990867674,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,288.3970719999634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.38345759990625,288.3970719999634,288.3970719999634,288.3970719999634,288.3970719999634,288.6650437999051,j,0.25538489990867674,None,left,1,7,4,0,4,4,None,288.67390769999474,288.68083279998973,288.68083279998973,290.7038242999697,290.7038242999697,290.6796191999456,290.69639689999167,290.7038242999697,290.7038242999697,291.694620699971,stimuli/box_coin_transparent.png,291.69469059992116,291.71088219992816,292.71030109992716,292.69419279997237,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
4,0,4,,,,,,,,,,j,9.420492599951103,None,j,1.2034151999978349,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,292.71030109992716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.6965845999075,292.71030109992716,292.71030109992716,292.71030109992716,292.71030109992716,293.9275739999721,j,1.2034151999978349,None,left,1,7,5,0,5,5,None,293.93321539997123,293.9431222999701,293.9431222999701,294.9591952000046,294.9591952000046,294.94263189996127,294.95308549993206,294.9591952000046,294.9591952000046,295.9580034998944,stimuli/box_coin_transparent.png,295.9580761999823,295.97415129991714,298.4892351999879,298.473106999998,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
5,0,5,,,,,,,,,,j,9.420492599951103,None,None,,,None,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,298.4892351999879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.47558069997467,298.4892351999879,298.4892351999879,298.4892351999879,298.4892351999879,299.98813899990637,None,,,left,1,7,5,0,5,5,None,299.9934871000005,300.00470169994514,300.00470169994514,303.52322239999194,303.52322239999194,303.50182199990377,303.51565639988985,303.52322239999194,303.52322239999194,304.5178243999835,no selection made,304.5178942999337,304.5338514999021,306.54962459998205,306.53272619994823,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
6,0,6,,,,,,,,,,j,9.420492599951103,None,j,0.4812064999714494,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,306.54962459998205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.53509499994107,306.54962459998205,306.54962459998205,306.54962459998205,306.54962459998205,307.0337893998949,j,0.4812064999714494,None,left,1,7,6,0,6,6,None,307.04265479999594,307.04978209990077,307.04978209990077,308.0739694999065,308.0739694999065,308.04895969992504,308.06567699997686,308.0739694999065,308.0739694999065,309.0641259999247,stimuli/box_coin_transparent.png,309.0641961999936,309.0803570999997,310.0964210999664,310.08018739998806,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
7,0,7,,,,,,,,,,j,9.420492599951103,None,j,0.3568478999659419,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,310.0964210999664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.08255269995425,310.0964210999664,310.0964210999664,310.0964210999664,310.0964210999664,310.4642737999093,j,0.3568478999659419,None,left,1,7,7,0,7,7,None,310.4696738999337,310.4795660999371,310.4795660999371,312.4949126999127,312.4949126999127,312.47890299989376,312.4887523999205,312.4949126999127,312.4949126999127,313.4786325999303,stimuli/box_coin_transparent.png,313.4787016999908,313.4934383999789,315.5088160999585,315.4926243999507,313.4934383999789,313.4934383999789,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
8,0,8,,,,,,,,,,j,9.420492599951103,None,j,0.2934758000774309,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,315.5088160999585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.4949979999801,315.5088160999585,315.5088160999585,315.5088160999585,315.5088160999585,315.81046189996414,j,0.2934758000774309,None,right,1,8,0,1,7,7,None,315.8193276999518,315.8262838999508,315.8262838999508,318.84549059998244,318.84549059998244,318.823722000001,318.83727319992613,318.84549059998244,318.84549059998244,319.8389552999288,stimuli/box_empty_transparent.png,319.8390268998919,319.8549202999566,321.3541367999278,321.3379753999179,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
9,0,9,,,,,,,,,,j,9.420492599951103,None,k,1.2501483999658376,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,321.3541367999278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.340348299942,321.3541367999278,321.3541367999278,321.3541367999278,321.3541367999278,322.6215166999027,k,1.2501483999658376,None,right,1,8,1,1,8,8,None,322.6308760999236,322.6381787999999,322.6381787999999,324.161131599918,324.161131599918,324.1361554999603,324.1529622999951,324.161131599918,324.161131599918,325.1516464999877,stimuli/box_coin_transparent.png,325.1517168999417,325.1678847000003,327.18307899998035,327.1668540999526,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
10,0,10,,,,,,,,,,j,9.420492599951103,None,k,0.38108009996358305,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,327.18307899998035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.16924129996914,327.18307899998035,327.18307899998035,327.18307899998035,327.18307899998035,327.56777549989056,k,0.38108009996358305,None,right,0,8,1,1,9,8,None,327.57673619990237,327.5839214998996,327.5839214998996,329.10353049996775,329.10353049996775,329.08229059993755,329.09579019993544,329.10353049996775,329.10353049996775,330.09751249989495,stimuli/box_empty_transparent.png,330.0975827999646,330.1136716000037,331.1132724999916,331.09723129996564,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
11,0,11,,,,,,,,,,j,9.420492599951103,None,j,0.38416179991327226,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,331.1132724999916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.0996310999617,331.1132724999916,331.1132724999916,331.1132724999916,331.1132724999916,331.51438479998615,j,0.38416179991327226,None,right,0,8,1,1,9,8,None,331.5237297998974,331.5307182999095,331.5307182999095,333.55006809998304,333.55006809998304,333.5287074999651,333.54231109994,333.55006809998304,333.55006809998304,334.54395979992114,stimuli/box_empty_transparent.png,334.54402999999,334.5600582999177,336.07580539991613,336.05965179996565,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
12,0,12,,,,,,,,,,j,9.420492599951103,None,j,0.260275200009346,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,12,0,12,0,336.07580539991613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0620349999517,336.07580539991613,336.07580539991613,336.07580539991613,336.07580539991613,336.34413409989793,j,0.260275200009346,None,right,0,8,1,1,9,8,None,336.3530376999406,336.3602272999706,336.3602272999706,337.37985379993916,337.37985379993916,337.35885279998183,337.3723440999165,337.37985379993916,337.37985379993916,338.37420989992097,stimuli/box_empty_transparent.png,338.3742775999708,338.3906292999163,341.4049365998944,341.3887682999484,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
13,0,13,,,,,,,,,,j,9.420492599951103,None,k,0.4627196000656113,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,13,0,13,0,341.4049365998944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.39117149997037,341.4049365998944,341.4049365998944,341.4049365998944,341.4049365998944,341.87315559992567,k,0.4627196000656113,None,right,0,8,1,1,10,8,None,341.88270499999635,341.88986209989525,341.88986209989525,342.4096042999299,342.4096042999299,342.3882518999744,342.4017243999988,342.4096042999299,342.4096042999299,343.4037482999265,stimuli/box_empty_transparent.png,343.40381909999996,343.41970769991167,345.4350699998904,345.41910780000035,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
14,0,14,,,,,,,,,,j,9.420492599951103,None,j,0.7327735000289977,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,14,0,14,0,345.4350699998904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.42148959997576,345.4350699998904,345.4350699998904,345.4350699998904,345.4350699998904,346.17022649990395,j,0.7327735000289977,None,right,0,8,1,1,10,8,None,346.17916139995214,346.18632809992414,346.18632809992414,347.70534449990373,347.70534449990373,347.6840901999967,347.6974767999491,347.70534449990373,347.70534449990373,348.6992373999674,stimuli/box_empty_transparent.png,348.69930629990995,348.7154479000019,349.71506089996547,349.6985777999507,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
15,0,15,,,,,,,,,,j,9.420492599951103,None,None,,,['k'],[1.2487862999550998],[0.09577030001673847],,,,,,,,,,,,,,,,0,0,0,0,15,0,15,0,349.71506089996547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.70095229998697,349.71506089996547,349.71506089996547,349.71506089996547,349.71506089996547,351.21386559994426,None,,,right,0,8,1,1,10,8,['k'],351.2225759999128,351.23050479998346,351.23050479998346,352.2302893999731,352.2302893999731,352.21360329992604,352.2219724999741,352.2302893999731,352.2302893999731,353.2291440999834,no selection made,353.22921139991377,353.24528069992084,355.2606123998994,355.2443961999379,,,[1.2487862999550998],[0.09577030001673847],,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
16,0,16,,,,,,,,,,j,9.420492599951103,None,j,0.6203901000553742,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,16,0,16,0,355.2606123998994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.2459022999974,355.2606123998994,355.2606123998994,355.2606123998994,355.2606123998994,355.8951309999684,j,0.6203901000553742,None,right,0,8,1,1,10,8,None,355.9006953999633,355.90999049996026,355.90999049996026,357.9257501999382,357.9257501999382,357.9088120999513,357.9167878999142,357.9257501999382,357.9257501999382,358.92441169999074,stimuli/box_empty_transparent.png,358.9244816999417,358.9404561999254,359.940013699932,359.9241204999853,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
17,0,17,,,,,,,,,,j,9.420492599951103,None,k,0.6046761999605224,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,17,0,17,0,359.940013699932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.925559299998,359.940013699932,359.940013699932,359.940013699932,359.940013699932,360.5579458998982,k,0.6046761999605224,None,right,0,8,1,1,11,8,None,360.5631780999247,360.5730712999357,360.5730712999357,361.57268199999817,361.57268199999817,361.5565042999806,361.56463459995575,361.57268199999817,361.57268199999817,362.57162770000286,stimuli/box_empty_transparent.png,362.5716974999523,362.5883324999595,363.6039380999282,363.58759369992185,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
18,0,18,,,,,,,,,,j,9.420492599951103,None,j,0.2944816000526771,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,18,0,18,0,363.6039380999282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.5891050999053,363.6039380999282,363.6039380999282,363.6039380999282,363.6039380999282,363.9052432999015,j,0.2944816000526771,None,right,0,8,1,1,11,8,None,363.9107553999638,363.9203406999586,363.9203406999586,367.434954599943,367.434954599943,367.41814329999033,367.42614359990694,367.434954599943,367.434954599943,368.4335235999897,stimuli/box_empty_transparent.png,368.4335928999353,368.4497258999618,370.46507909998763,370.44864219997544,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
19,0,19,,,,,,,,,,j,9.420492599951103,None,j,0.33764289994724095,None,None,,,,,,,,,,,,,,,,,,0,0,0,0,19,0,19,0,370.46507909998763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.4502589999465,370.46507909998763,370.46507909998763,370.46507909998763,370.46507909998763,370.81653569999617,j,0.33764289994724095,None,right,0,8,1,1,11,8,None,370.8217708999291,370.8316154999193,370.8316154999193,371.8317771999864,371.8317771999864,371.81481309991796,371.8231525999727,371.8317771999864,371.8317771999864,372.8300265999278,stimuli/box_empty_transparent.png,372.83009579998907,372.8463063999079,374.36111349996645,374.3458099999698,,,,,,,,,,,,,,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
0,0,0,,,,,,,,,,j,9.420492599951103,None,,,,,,,r,49.08901070000138,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.3530050999252,374.36111349996645,378.3583239999134,378.35838859993964,378.3750024999026,427.47059509996325,r,49.08901070000138,None,857044,right,2025-05-07_09h33.51.247,RL_practice,2024.2.4,60.031360397831,2025-05-07 09h34.10.199553 -0700,
1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,427.48615249991417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.4708135999972,427.48615249991417,427.48615249991417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
