thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,getReady.started,get_ready_text.started,advance_press.started,getReady.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation.stopped,fixation_cross.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.01158658298663795,0.01540008297888562,0.01540008297888562,1.7499355410109274,space,1.7130923749646172,None,,,,,,,,,,,,,,,,,,,,,,,406871,001,2025-02-28_15h51.09.640,untitled,2024.2.4,None,2025-02-28 15h51.16.112773 -0600,
0,0,0,2,0,0.4009096249938011,0.2030338339973241,0,0,0,0,1.762972249998711,,,,,,,,,1.750606749963481,1.762972249998711,1.762972249998711,1.762972249998711,3.259083583019674,3.4522545830113813,2,0,0.4009096249938011,0.2030338339973241,3.4642700830008835,3.466763540985994,3.466763540985994,4.461014666012488,4.46104495797772,4.467499749967828,4.96053604100598,,,,,,406871,001,2025-02-28_15h51.09.640,untitled,2024.2.4,None,2025-02-28 15h51.16.112773 -0600,
1,0,1,2,0,0.31238608399871737,0.16915920801693574,1,0,1,0,4.967480666004121,,,,,,,,,4.9606404160149395,4.967480666004121,4.967480666004121,4.967480666004121,6.467502957966644,6.660941499983892,2,0,0.31238608399871737,0.16915920801693574,6.671087290975265,6.673231791006401,6.673231791006401,7.652815332985483,7.65284045797307,7.654958916013129,8.144393499998841,8.150808250007685,,,,,406871,001,2025-02-28_15h51.09.640,untitled,2024.2.4,None,2025-02-28 15h51.16.112773 -0600,
2,0,2,2,0,0.3178737089619972,0.15589679102413356,2,0,2,0,8.150808250007685,,,,,,,,,8.144487290992402,8.150808250007685,8.150808250007685,8.150808250007685,9.650904249981977,9.845224916003644,2,0,0.3178737089619972,0.15589679102413356,9.855783833016176,9.858572457975242,9.858572457975242,10.85240445798263,10.852425916003995,10.85915550001664,11.352598582976498,,9.858572457975242,9.858572457975242,,,406871,001,2025-02-28_15h51.09.640,untitled,2024.2.4,None,2025-02-28 15h51.16.112773 -0600,
3,0,3,2,0,0.49607979197753593,0.13076220802031457,3,0,3,0,11.359181458014064,,,,,,,,,11.352702374977525,11.359181458014064,11.359181458014064,11.359181458014064,12.845663790998515,13.044753791007679,2,0,0.49607979197753593,0.13076220802031457,13.054680207977071,13.056798790988978,13.056798790988978,14.052501707978081,14.052523666003253,14.059198250004556,14.552512665977702,,13.056798790988978,13.056798790988978,,,406871,001,2025-02-28_15h51.09.640,untitled,2024.2.4,None,2025-02-28 15h51.16.112773 -0600,
4,0,4,2,0,0.4116689169895835,0.17569070804165676,4,0,4,0,14.559245750016998,,,,,,,,,14.552626958000474,14.559245750016998,14.559245750016998,14.559245750016998,16.05921195796691,16.252500457980204,2,0,0.4116689169895835,0.17569070804165676,16.263286874978803,16.265537375002168,16.265537375002168,17.26107733300887,17.26110449997941,17.267574790981598,17.760759499971755,,,,,,406871,001,2025-02-28_15h51.09.640,untitled,2024.2.4,None,2025-02-28 15h51.16.112773 -0600,
5,0,5,1,0,0.3415375829790719,0.21610525000141934,5,0,5,0,17.767552124976646,,,,,,,,,17.760860665992368,17.767552124976646,17.767552124976646,17.767552124976646,19.267553415964358,19.460838833008893,1,0,0.3415375829790719,0.21610525000141934,19.47092862497084,19.473060415999498,19.473060415999498,20.452533708012197,20.45257187500829,20.454401249997318,20.9445197909954,20.950838415999897,,,,,406871,001,2025-02-28_15h51.09.640,untitled,2024.2.4,None,2025-02-28 15h51.16.112773 -0600,
6,0,6,2,0,0.7987120000179857,0.1725878329598345,6,0,6,0,20.950838415999897,,,,,,,,,20.944626290991437,20.950838415999897,20.950838415999897,20.950838415999897,22.437364166020416,22.63613295799587,2,0,0.7987120000179857,0.1725878329598345,22.644751832995098,22.64693712501321,22.64693712501321,23.63670745800482,23.636726916010957,23.63882895797724,24.12817079096567,24.13423295796383,22.64693712501321,22.64693712501321,23.63882895797724,23.63882895797724,406871,001,2025-02-28_15h51.09.640,untitled,2024.2.4,None,2025-02-28 15h51.16.112773 -0600,
7,0,7,1,0,0.7574867499643005,0.20090662501752377,7,0,7,0,24.13423295796383,,,,,,,,,24.12826862500515,24.1378755409969,24.1378755409969,24.1378755409969,25.634233540971763,25.822524665971287,1,0,0.7574867499643005,0.20090662501752377,25.83076283300761,25.837500041001476,25.837500041001476,26.8278988749953,26.82792262500152,26.83743091596989,27.32784179097507,27.334215375012718,25.832649749994744,25.832649749994744,26.83418912498746,26.83418912498746,406871,001,2025-02-28_15h51.09.640,untitled,2024.2.4,None,2025-02-28 15h51.16.112773 -0600,
8,0,8,1,0,0.5630584580358118,0.22063637501560152,8,0,8,0,27.334215375012718,,,,,,,,,27.32793812500313,27.337686165992636,27.337686165992636,27.337686165992636,28.834237791015767,29.027922790963203,1,0,0.5630584580358118,0.22063637501560152,29.038315290992614,29.046048457967117,29.046048457967117,30.03062808298273,30.030649665975943,30.05089091596892,30.536440833006054,30.538303458015434,29.039957833010703,29.039957833010703,30.042576125008054,30.042576125008054,406871,001,2025-02-28_15h51.09.640,untitled,2024.2.4,None,2025-02-28 15h51.16.112773 -0600,
