thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,fixation_cross.stopped,trials.cue_resp.rt,trials.cue_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,None,0,,,0,0,0,0,0.020589749794453382,,0.014351415913552046,0.020589749794453382,0.020589749794453382,0.020589749794453382,1.5123560000211,1.7059162077493966,None,0,1.7125109997577965,1.7162861251272261,1.7162861251272261,2.7131866249255836,2.7132105408236384,2.720481415744871,3.2065464998595417,,,,,,,,551736,001,2025-02-28_14h40.54.355,untitled,2024.2.4,120.27832420118455,2025-02-28 14h40.58.925930 -0600,
1,0,1,None,0,,,1,0,1,0,3.2107697501778603,,3.2066674581728876,3.2107697501778603,3.2107697501778603,3.2107697501778603,4.703666875138879,4.8984934580512345,None,0,4.903692999854684,4.90984695777297,4.90984695777297,5.897260208148509,5.897287082858384,5.903671875130385,6.389298750087619,4.90984695777297,4.90984695777297,5.903671875130385,5.903671875130385,6.395550791174173,,,551736,001,2025-02-28_14h40.54.355,untitled,2024.2.4,120.27832420118455,2025-02-28 14h40.58.925930 -0600,
2,0,2,None,0,,,2,0,2,0,6.395550791174173,,6.389395165722817,6.395550791174173,6.395550791174173,6.395550791174173,7.887010749895126,8.0891651250422,None,0,8.094017082825303,8.098119750153273,8.098119750153273,9.09536795783788,9.095389749854803,9.104251833166927,9.589083625003695,8.098119750153273,8.098119750153273,9.104251833166927,9.104251833166927,9.595021000131965,,,551736,001,2025-02-28_14h40.54.355,untitled,2024.2.4,120.27832420118455,2025-02-28 14h40.58.925930 -0600,
3,0,3,None,0,,,3,0,3,0,9.595021000131965,,9.589178415946662,9.595021000131965,9.595021000131965,9.595021000131965,11.087207416072488,11.285104457754642,None,0,11.289821290876716,11.303931625094265,11.303931625094265,12.289530249778181,12.289560040924698,12.295099291019142,12.780335207935423,11.294910499826074,11.294910499826074,12.295099291019142,12.295099291019142,12.7870001248084,,,551736,001,2025-02-28_14h40.54.355,untitled,2024.2.4,120.27832420118455,2025-02-28 14h40.58.925930 -0600,
4,0,4,2,0,0.33663958264514804,0.1264331671409309,4,0,4,0,12.7870001248084,,12.780435374937952,12.794896833132952,12.794896833132952,12.794896833132952,14.295116540975869,14.479725957848132,2,0,14.484271875116974,14.513417250011116,14.513417250011116,15.50612425012514,15.506152166053653,15.513466000091285,16.006295083090663,14.503863166086376,14.503863166086376,,,,0.33663958264514804,0.1264331671409309,551736,001,2025-02-28_14h40.54.355,untitled,2024.2.4,120.27832420118455,2025-02-28 14h40.58.925930 -0600,
