thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,getReady.started,get_ready_text.started,advance_press.started,getReady.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,left_box.stopped,right_box.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.01379412499954924,0.018538624979555607,0.018538624979555607,1.0996258329832926,space,1.0602978329989128,None,,,,,,,,,,,,,,,,,,,,,,,434056,001,2025-02-28_15h37.19.538,untitled,2024.2.4,None,2025-02-28 15h37.25.668471 -0600,
0,0,0,2,0,0.46227454097243026,0.27589912503026426,0,0,0,0,1.1116474159643985,,,,,,,,,1.1002824579481967,1.1116474159643985,1.1116474159643985,1.1116474159643985,2.6090717499610037,2.814365333004389,2.814365333004389,2.799971124972217,2,0,0.46227454097243026,0.27589912503026426,2.8120956659549847,2.814365333004389,2.814365333004389,3.7997575409826823,3.7997805409831926,3.8039177079917863,4.301005999965128,4.294782790995669,,,434056,001,2025-02-28_15h37.19.538,untitled,2024.2.4,None,2025-02-28 15h37.25.668471 -0600,
1,0,1,2,0,0.3946744580171071,0.1792251670267433,1,0,1,0,4.301005999965128,,,,,,,,,4.294879082997795,4.301005999965128,4.301005999965128,4.301005999965128,5.800995915953536,5.997687999974005,5.997687999974005,5.986235415970441,2,0,0.3946744580171071,0.1792251670267433,5.995562625001185,5.997687999974005,5.997687999974005,6.984754790959414,6.984776041004807,6.987145499966573,7.48446420795517,7.473184999951627,6.987145499966573,6.987145499966573,434056,001,2025-02-28_15h37.19.538,untitled,2024.2.4,None,2025-02-28 15h37.25.668471 -0600,
2,0,2,2,0,0.3698055830318481,0.20223162497859448,2,0,2,0,7.48446420795517,,,,,,,,,7.473292290989775,7.492679415969178,7.492679415969178,7.492679415969178,8.992602915968746,9.189131124992855,9.189131124992855,9.178057957964484,2,0,0.3698055830318481,0.20223162497859448,9.18534574995283,9.200980790948961,9.200980790948961,10.195078874996398,10.195100207987707,10.201003749971278,10.692625832976773,10.686429457971826,10.201003749971278,10.201003749971278,434056,001,2025-02-28_15h37.19.538,untitled,2024.2.4,None,2025-02-28 15h37.25.668471 -0600,
3,0,3,2,0,0.285837207979057,0.18633937503909692,3,0,3,0,10.692625832976773,,,,,,,,,10.686555041000247,10.692625832976773,10.692625832976773,10.692625832976773,12.181756415986456,12.390064540959429,12.390064540959429,12.378121749963611,2,0,0.285837207979057,0.18633937503909692,12.388381790951826,12.395930290978868,12.395930290978868,13.386283457977697,13.386307374981698,13.392664540966507,13.884302749997005,13.878071582992561,13.392664540966507,13.392664540966507,434056,001,2025-02-28_15h37.19.538,untitled,2024.2.4,None,2025-02-28 15h37.25.668471 -0600,
4,0,4,2,0,0.3263373750378378,0.2151828339556232,4,0,4,0,13.884302749997005,,,,,,,,,13.878176165977493,13.887594749976415,13.887594749976415,13.887594749976415,15.379078124999069,15.584706040972378,15.584706040972378,15.573178457969334,2,0,0.3263373750378378,0.2151828339556232,15.58265183295589,15.592686790972948,15.592686790972948,16.577657540969085,16.577680415997747,16.60114883299684,17.08859354100423,17.08681195799727,16.58074308297364,16.58074308297364,434056,001,2025-02-28_15h37.19.538,untitled,2024.2.4,None,2025-02-28 15h37.25.668471 -0600,
5,0,5,1,0,0.26496783300535753,0.1948346669669263,5,0,5,0,17.08859354100423,,,,,,,,,17.086913874954917,17.08859354100423,17.08859354100423,17.08859354100423,18.584323707967997,18.79046724998625,18.79046724998625,18.778256124991458,1,0,0.26496783300535753,0.1948346669669263,18.788824415998533,18.7958154999651,18.7958154999651,19.78620879095979,19.786234207975212,19.787915874971077,20.28429799998412,20.277920415974222,19.787915874971077,19.787915874971077,434056,001,2025-02-28_15h37.19.538,untitled,2024.2.4,None,2025-02-28 15h37.25.668471 -0600,
6,0,6,1,0,0.39933979202760383,0.20894749998115003,6,0,6,0,20.28429799998412,,,,,,,,,20.278016457974445,20.289350582985207,20.289350582985207,20.289350582985207,21.792632374970708,21.998199082969222,21.998199082969222,21.9862543749623,1,0,0.39933979202760383,0.20894749998115003,21.995962415996473,21.998199082969222,21.998199082969222,22.99495920795016,22.99498241598485,23.001020332972985,23.50106808298733,23.489041624998208,23.001020332972985,23.001020332972985,434056,001,2025-02-28_15h37.19.538,untitled,2024.2.4,None,2025-02-28 15h37.25.668471 -0600,
7,0,7,1,0,0.4310249999980442,0.19167908397503197,7,0,7,0,23.50106808298733,,,,,,,,,23.48913174995687,23.50106808298733,23.50106808298733,23.50106808298733,24.992740124987904,25.199863665970042,25.199863665970042,25.186630124982912,1,0,0.4310249999980442,0.19167908397503197,25.197708082967438,25.199863665970042,25.199863665970042,26.186515707988292,26.186539124988485,26.1884217079496,26.684316832979675,26.678086457948666,26.1884217079496,26.1884217079496,434056,001,2025-02-28_15h37.19.538,untitled,2024.2.4,None,2025-02-28 15h37.25.668471 -0600,
8,0,8,1,0,0.4140424160286784,0.2205062919529155,8,0,8,0,26.684316832979675,,,,,,,,,26.67817741597537,26.687678165966645,26.687678165966645,26.687678165966645,28.181319582974538,28.385880707995966,28.385880707995966,28.3744779159897,1,0,0.4140424160286784,0.2205062919529155,28.384110582992435,28.39683562499704,28.39683562499704,29.386275083001237,29.38629554095678,29.38802625000244,29.884739624976646,29.872808957996313,29.38802625000244,29.38802625000244,434056,001,2025-02-28_15h37.19.538,untitled,2024.2.4,None,2025-02-28 15h37.25.668471 -0600,
