thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,fixation_cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,0,0.5516765839420259,0.15755029115825891,0,0,0,0,0.018385792151093483,,0.012117709033191204,0.018385792151093483,0.018385792151093483,0.018385792151093483,1.5087016252800822,1.703265500254929,1,0,0.5516765839420259,0.15755029115825891,1.7150178751908243,1.719321624841541,1.719321624841541,2.702368624974042,2.702391874976456,2.7483652499504387,3.2024132921360433,,,,,,823082,001,2025-02-28_14h37.11.088,untitled,2024.2.4,119.85599333672624,2025-02-28 14h37.16.459625 -0600,
1,0,1,1,0,1.209265333134681,0.201515874825418,1,0,1,0,3.208857625257224,,3.2025198340415955,3.208857625257224,3.208857625257224,3.208857625257224,4.699030625168234,4.894335084129125,1,0,1.209265333134681,0.201515874825418,4.901444250252098,4.905061083845794,4.905061083845794,5.894849209114909,5.894879875238985,5.899440249893814,6.386534417048097,4.905061083845794,4.905061083845794,5.899440249893814,5.899440249893814,6.392027959227562,823082,001,2025-02-28_14h37.11.088,untitled,2024.2.4,119.85599333672624,2025-02-28 14h37.16.459625 -0600,
2,0,2,1,0,1.1535253752954304,0.22489970782771707,2,0,2,0,6.392027959227562,,6.386630041990429,6.392027959227562,6.392027959227562,6.392027959227562,7.883041041903198,8.07747720927,1,0,1.1535253752954304,0.22489970782771707,8.08430716721341,8.093022459186614,8.093022459186614,9.07779962522909,9.07782516721636,9.091952292248607,9.578662792220712,8.087187999859452,8.087187999859452,9.083729833830148,9.083729833830148,9.584443625062704,823082,001,2025-02-28_14h37.11.088,untitled,2024.2.4,119.85599333672624,2025-02-28 14h37.16.459625 -0600,
3,0,3,1,0,0.7887553754262626,0.2253334578126669,3,0,3,0,9.584443625062704,,9.578765667043626,9.59200479183346,9.59200479183346,9.59200479183346,11.083177709020674,11.27778512518853,1,0,0.7887553754262626,0.2253334578126669,11.284538959152997,11.293457000050694,11.293457000050694,12.285976792220026,12.2859977921471,12.291834624949843,12.778031084220856,11.287400375120342,11.287400375120342,12.291834624949843,12.291834624949843,12.783785709179938,823082,001,2025-02-28_14h37.11.088,untitled,2024.2.4,119.85599333672624,2025-02-28 14h37.16.459625 -0600,
4,0,4,None,0,,,4,0,4,0,12.783785709179938,,12.778141084127128,12.791740000247955,12.791740000247955,12.791740000247955,14.28304370911792,14.47777720913291,None,0,,,14.48398141702637,14.493134750053287,14.493134750053287,15.485473167151213,15.485498833935708,15.492283042054623,15.978019583970308,14.48722108406946,14.48722108406946,15.492283042054623,15.492283042054623,15.983993583824486,823082,001,2025-02-28_14h37.11.088,untitled,2024.2.4,119.85599333672624,2025-02-28 14h37.16.459625 -0600,
