thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,fixation_cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,0,0.8880679998546839,0.18080983310937881,0,0,0,0,0.023799834307283163,,0.016500042285770178,0.023799834307283163,0.023799834307283163,0.023799834307283163,1.515214417129755,1.7088638343848288,1,0,0.8880679998546839,0.18080983310937881,1.7205562093295157,1.7299107923172414,1.7299107923172414,2.7086944594047964,2.7087195003405213,2.7159841670654714,3.2004872923716903,,,,,,304907,001,2025-02-28_14h41.52.933,untitled,2024.2.4,119.79736368483319,2025-02-28 14h41.58.374904 -0600,
1,0,1,1,0,0.43011679081246257,0.40961645916104317,1,0,1,0,3.2068810001946986,,3.2005986673757434,3.2068810001946986,3.2068810001946986,3.2068810001946986,4.699316292069852,4.892594792414457,1,0,0.43011679081246257,0.40961645916104317,4.89975833427161,4.90316962543875,4.90316962543875,5.892468750011176,5.892492250073701,5.897452584002167,6.384301125071943,4.90316962543875,4.90316962543875,5.897452584002167,5.897452584002167,6.390215167310089,304907,001,2025-02-28_14h41.52.933,untitled,2024.2.4,119.79736368483319,2025-02-28 14h41.58.374904 -0600,
2,0,2,None,0,,,2,0,2,0,6.390215167310089,,6.384393167216331,6.397326000034809,6.397326000034809,6.397326000034809,7.88986745942384,8.084462667349726,None,0,,,8.08985475031659,8.106846624985337,8.106846624985337,9.092470209114254,9.092494000215083,9.096821000333875,9.583215000107884,8.095650250092149,8.095650250092149,9.096821000333875,9.096821000333875,9.590093167033046,304907,001,2025-02-28_14h41.52.933,untitled,2024.2.4,119.79736368483319,2025-02-28 14h41.58.374904 -0600,
3,0,3,1,0,0.7624556669034064,0.158053417224437,3,0,3,0,9.590093167033046,,9.5833073342219,9.59935429226607,9.59935429226607,9.59935429226607,11.08982662530616,11.2840680424124,1,0,0.7624556669034064,0.158053417224437,11.290903125423938,11.30655070906505,11.30655070906505,12.292119542136788,12.292139625176787,12.298209834378213,12.782799417153,11.298175333999097,11.298175333999097,12.298209834378213,12.298209834378213,12.789972792379558,304907,001,2025-02-28_14h41.52.933,untitled,2024.2.4,119.79736368483319,2025-02-28 14h41.58.374904 -0600,
4,0,4,1,0,0.6228428329341114,0.3150203339755535,4,0,4,0,12.789972792379558,,12.782900334335864,12.799071375280619,12.799071375280619,12.799071375280619,14.289976042229682,14.4840943752788,1,0,0.6228428329341114,0.3150203339755535,14.489979459438473,14.506704959087074,14.506704959087074,15.492139500100166,15.492162459064275,15.498109959065914,15.983195250388235,14.496767667122185,14.496767667122185,15.498109959065914,15.498109959065914,15.989905042108148,304907,001,2025-02-28_14h41.52.933,untitled,2024.2.4,119.79736368483319,2025-02-28 14h41.58.374904 -0600,
