thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,fixation_cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.02432720799697563,0.03454020799836144,0.03454020799836144,3.3598596659721807,space,3.3002940000151284,None,,,,,,,,,,,,,,,,,,,,,,,500733,001,2025-03-02_16h50.31.204,untitled,2024.2.4,None,2025-03-02 16h50.38.660764 -0600,
0,0,0,2,0,0.6655086250393651,0.17614662495907396,0,0,0,0,3.3756994999712333,,,,,,,,,3.3607507909764536,3.3756994999712333,3.3756994999712333,3.3756994999712333,4.875884374952875,5.069090124976356,2,0,0.6655086250393651,0.17614662495907396,5.082507874991279,5.085048374952748,5.085048374952748,6.060785207955632,6.060817249992397,6.067344540962949,6.560781790991314,,,,,,500733,001,2025-03-02_16h50.31.204,untitled,2024.2.4,None,2025-03-02 16h50.38.660764 -0600,
1,0,1,2,0,0.4696956249536015,0.18477941601304337,1,0,1,0,6.567569415958133,,,,,,,,,6.560886374965776,6.567569415958133,6.567569415958133,6.567569415958133,8.053903415973764,8.253001540957484,2,0,0.4696956249536015,0.18477941601304337,8.261614832968917,8.263906999956816,8.263906999956816,9.260881332971621,9.260901790985372,9.267556040955242,9.760796415968798,8.263906999956816,8.263906999956816,,,,500733,001,2025-03-02_16h50.31.204,untitled,2024.2.4,None,2025-03-02 16h50.38.660764 -0600,
2,0,2,2,0,0.5433905419777147,0.20957741601159796,2,0,2,0,9.76761095796246,,,,,,,,,9.760900624969508,9.76761095796246,9.76761095796246,9.76761095796246,11.26756074995501,11.460813124955166,2,0,0.5433905419777147,0.20957741601159796,11.469497665995732,11.471556374977808,11.471556374977808,12.460810207994655,12.460832457989454,12.467561749974266,12.96150079095969,,,,,,500733,001,2025-03-02_16h50.31.204,untitled,2024.2.4,None,2025-03-02 16h50.38.660764 -0600,
3,0,3,1,0,0.37127070798305795,0.19053308299044147,3,0,3,0,12.967589415959083,,,,,,,,,12.96161487500649,12.967589415959083,12.967589415959083,12.967589415959083,14.454042583005503,14.6528908329783,1,0,0.37127070798305795,0.19053308299044147,14.661287874972913,14.663503332994878,14.663503332994878,15.660915707994718,15.660938790999353,15.667555124964565,16.160828666004818,14.663503332994878,14.663503332994878,,,,500733,001,2025-03-02_16h50.31.204,untitled,2024.2.4,None,2025-03-02 16h50.38.660764 -0600,
4,0,4,1,0,0.3134260000078939,0.1920834999764338,4,0,4,0,16.167578624968883,,,,,,,,,16.16095133300405,16.167578624968883,16.167578624968883,16.167578624968883,17.667583999980707,17.860801499977242,1,0,0.3134260000078939,0.1920834999764338,17.870300957991276,17.872462250001263,17.872462250001263,18.86089233297389,18.860914207994938,18.867596875003073,19.360988165950403,,,,,,500733,001,2025-03-02_16h50.31.204,untitled,2024.2.4,None,2025-03-02 16h50.38.660764 -0600,
5,0,5,1,0,0.49387712503084913,0.1370533750159666,5,0,5,0,19.36767000000691,,,,,,,,,19.361107832985,19.36767000000691,19.36767000000691,19.36767000000691,20.853961290966254,21.053080207959283,1,0,0.49387712503084913,0.1370533750159666,21.06181329098763,21.064090415951796,21.064090415951796,22.05291170795681,22.052935374958906,22.05928970797686,22.55283124995185,21.064090415951796,21.064090415951796,22.05928970797686,22.05928970797686,22.55925120797474,500733,001,2025-03-02_16h50.31.204,untitled,2024.2.4,None,2025-03-02 16h50.38.660764 -0600,
6,0,6,,,,,6,0,6,0,22.55925120797474,,,,,,,,,22.55293729098048,22.55925120797474,22.55925120797474,22.55925120797474,24.045585790998302,24.24455520795891,2,0,0.27914245799183846,0.15869616699637845,24.25341299996944,24.25566279096529,24.25566279096529,,,,,24.25566279096529,24.25566279096529,,,,,,,,,,,
