thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation.stopped,fixation_cross.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,1,0,0.5615945829777047,0.15350275003584102,9,0,9,0,30.03745645802701,,,,,,,,,30.03126129199518,30.03745645802701,30.03745645802701,30.03745645802701,31.537386666983366,31.731026666995604,1,0,0.5615945829777047,0.15350275003584102,31.740275208023377,31.742447458032984,31.742447458032984,32.73905291699339,32.73907529201824,32.74570999998832,33.238999583001714,,31.742447458032984,31.742447458032984,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
10,0,10,1,0,0.3115604159538634,0.1924649170250632,10,0,10,0,33.24572254199302,,,,,,,,,33.23910266702296,33.24572254199302,33.24572254199302,33.24572254199302,34.74576279200846,34.93902983301086,1,0,0.3115604159538634,0.1924649170250632,34.950333999993745,34.95261279202532,34.95261279202532,35.947310957999434,35.947334708005656,35.95412470801966,36.447434542002156,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
11,0,11,1,0,0.5295320419827476,0.2192547909799032,11,0,11,0,36.45402574999025,,,,,,,,,36.44754891702905,36.45402574999025,36.45402574999025,36.45402574999025,37.940500167023856,38.13896462501725,1,0,0.5295320419827476,0.2192547909799032,38.14907845802372,38.15132883301703,38.15132883301703,39.14753783302149,39.14756195800146,39.154064667003695,39.64733150001848,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
12,0,12,1,0,0.35786508303135633,0.16030391695676371,12,0,12,0,39.65406966698356,,,,,,,,,39.64743366703624,39.65406966698356,39.65406966698356,39.65406966698356,41.15408520802157,41.34738441702211,1,0,0.35786508303135633,0.16030391695676371,41.35629904200323,41.35840949998237,41.35840949998237,42.34735629201168,42.34737850003876,42.354141083022114,42.83446633303538,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
13,0,13,1,0,0.2716829580022022,0.1984812499722466,13,0,13,0,42.845821125025395,,,,,,,,,42.83457075001206,42.845821125025395,42.845821125025395,42.845821125025395,44.33256720803911,44.530979458009824,1,0,0.2716829580022022,0.1984812499722466,44.53974712500349,44.5419718750054,44.5419718750054,45.53915808303282,45.53918025002349,45.54578241700074,46.039076832996216,,44.5419718750054,44.5419718750054,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
14,0,14,2,0,0.37000733299646527,0.1592839999939315,14,0,14,0,46.04580304201227,,,,,,,,,46.039188875001855,46.04580304201227,46.04580304201227,46.04580304201227,47.53210387501167,47.73128050001105,2,0,0.37000733299646527,0.1592839999939315,47.74229650001507,47.744459542038385,47.744459542038385,48.73918566701468,48.73921045800671,48.745784541999456,49.239001250010915,,47.744459542038385,47.744459542038385,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
15,0,15,2,0,0.6280362919787876,0.1421489170170389,15,0,15,0,49.24573904200224,,,,,,,,,49.23910395801067,49.24573904200224,49.24573904200224,49.24573904200224,50.73219200002495,50.93105779198231,2,0,0.6280362919787876,0.1421489170170389,50.94121299998369,50.94316500000423,50.94316500000423,51.939048667030875,51.93906941701425,51.94581212499179,52.43906225002138,,50.94316500000423,50.94316500000423,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
16,0,16,2,0,0.5366095420322381,0.18652783299330622,16,0,16,0,52.44578433298739,,,,,,,,,52.43916358303977,52.44578433298739,52.44578433298739,52.44578433298739,53.945767875004094,54.13902975001838,2,0,0.5366095420322381,0.18652783299330622,54.149435083032586,54.15156116703292,54.15156116703292,55.14735595800448,55.14737912500277,55.154138375015464,55.64738291699905,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
17,0,17,2,0,0.5273871250101365,0.18096783297369257,17,0,17,0,55.654140750004444,,,,,,,,,55.64748533302918,55.654140750004444,55.654140750004444,55.654140750004444,57.14047166699311,57.339038750040345,2,0,0.5273871250101365,0.18096783297369257,57.3485179580166,57.35091650002869,57.35091650002869,58.3391411670018,58.339167208003346,58.34583070798544,58.83925525000086,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
18,0,18,1,0,0.33655158401234075,0.15622000000439584,18,0,18,0,58.845785707992036,,,,,,,,,58.8393559170072,58.845785707992036,58.845785707992036,58.845785707992036,60.34580737503711,60.5390774999978,1,0,0.33655158401234075,0.15622000000439584,60.54805049998686,60.55017775000306,60.55017775000306,61.53915845800657,61.53918387502199,61.54579595802352,62.039057333022356,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
19,0,19,1,0,0.4447456250200048,0.17528045899234712,19,0,19,0,62.045813792035915,,,,,,,,,62.039162583008874,62.045813792035915,62.045813792035915,62.045813792035915,63.53221725003095,63.73111387499375,1,0,0.4447456250200048,0.17528045899234712,63.74202566698659,63.744176333013456,63.744176333013456,64.73908195801778,64.73910416703438,64.74581799999578,65.239083958033,,63.744176333013456,63.744176333013456,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
20,0,20,1,0,0.36159716703696176,0.16312508296687156,20,0,20,0,65.24582008301513,,,,,,,,,65.23918779200176,65.24582008301513,65.24582008301513,65.24582008301513,66.74575141700916,66.93917629198404,1,0,0.36159716703696176,0.16312508296687156,66.94919891702011,66.95133925002301,66.95133925002301,67.93911137501709,67.93913399998564,67.94579733302817,68.43906070798403,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
21,0,21,1,0,0.31278812495293096,0.17456195800332353,21,0,21,0,68.44585250003729,,,,,,,,,68.43917379202321,68.44585250003729,68.44585250003729,68.44585250003729,69.94582445803098,70.13910754199605,1,0,0.31278812495293096,0.17456195800332353,70.14922550000483,70.15144937502919,70.15144937502919,71.14740941702621,71.14743245800491,71.15411895798752,71.6474353329977,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
22,0,22,1,0,0.29101137502584606,0.17512412497308105,22,0,22,0,71.65411991701694,,,,,,,,,71.64754554198589,71.65411991701694,71.65411991701694,71.65411991701694,73.15414983301889,73.34753829200054,1,0,0.29101137502584606,0.17512412497308105,73.35684212500928,73.35900754202157,73.35900754202157,74.34736212500138,74.34738504199777,74.35468512499938,74.8476056670188,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
23,0,23,1,0,0.48880175000522286,0.22365554101997986,23,0,23,0,74.85416587500367,,,,,,,,,74.84771429200191,74.85416587500367,74.85416587500367,74.85416587500367,76.35413587500807,76.5476991669857,1,0,0.48880175000522286,0.22365554101997986,76.55638150003506,76.55856183299329,76.55856183299329,77.5476512919995,77.54767566703958,77.55422929202905,78.04749808303313,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
24,0,24,2,0,0.3630545830237679,0.20581208396470174,24,0,24,0,78.05421487503918,,,,,,,,,78.04760045802686,78.05421487503918,78.05421487503918,78.05421487503918,79.55422325001564,79.74743558303453,2,0,0.3630545830237679,0.20581208396470174,79.75815083301859,79.76026075001573,79.76026075001573,80.73914104199503,80.73916979203932,80.74102287500864,81.23120958299842,81.23750500002643,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
25,0,25,2,0,0.3409692089771852,0.1717777500161901,25,0,25,0,81.23750500002643,,,,,,,,,81.23130920802942,81.23750500002643,81.23750500002643,81.23750500002643,82.73753241699887,82.93110191699816,2,0,0.3409692089771852,0.1717777500161901,82.94133670802694,82.94366491702385,82.94366491702385,83.93910354201216,83.93912791699404,83.94585562503198,84.43922020803438,,82.94366491702385,82.94366491702385,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
26,0,26,2,0,0.6061664169537835,0.2321862910175696,26,0,26,0,84.44588020798983,,,,,,,,,84.43932549998863,84.44588020798983,84.44588020798983,84.44588020798983,85.94583433301887,86.1391869999934,2,0,0.6061664169537835,0.2321862910175696,86.14907654200215,86.1513405420119,86.1513405420119,87.14743579202332,87.14745808299631,87.15419445803855,87.64748958300333,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
27,0,27,2,0,0.3745539999799803,0.22037204098887742,27,0,27,0,87.65415512502659,,,,,,,,,87.64759233302902,87.65415512502659,87.65415512502659,87.65415512502659,89.14055870799348,89.33908912498737,2,0,0.3745539999799803,0.22037204098887742,89.34834520803997,89.35049783298746,89.35049783298746,90.34763058298267,90.34765866701491,90.35422166698845,90.8474277080386,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
28,0,28,2,0,0.3416260000085458,0.2028874999959953,28,0,28,0,90.85421758302255,,,,,,,,,90.84753766702488,90.85421758302255,90.85421758302255,90.85421758302255,92.35423529200489,92.54749783303123,2,0,0.3416260000085458,0.2028874999959953,92.55613966699457,92.55852983298246,92.55852983298246,93.54767245799303,93.54771158302901,93.5541462500114,94.03454762499314,,,,,,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
29,0,29,1,0,0.4971019999939017,0.20802737498888746,29,0,29,0,94.04617095802678,,,,,,,,,94.0346650829888,94.04617095802678,94.04617095802678,94.04617095802678,95.53205545799574,95.73110595799517,1,0,0.4971019999939017,0.20802737498888746,95.7395789999864,95.74160529201617,95.74160529201617,96.72606683301274,96.72608779201983,96.73755091702333,97.22279129200615,97.22441212501144,95.74160529201617,95.74160529201617,96.73755091702333,96.73755091702333,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
30,0,30,1,0,0.3217702079564333,0.21040645899483934,30,0,30,0,97.22441212501144,,,,,,,,,97.22289062500931,97.22441212501144,97.22441212501144,97.22441212501144,98.72100745799253,98.90924154198729,1,0,0.3217702079564333,0.21040645899483934,98.91961512499256,98.92917925002985,98.92917925002985,99.92302887502592,99.92305562499678,99.92921995802317,100.42279937502462,100.4291849170113,98.92140724998899,98.92140724998899,99.92921995802317,99.92921995802317,354059,001,2025-03-02_16h52.46.592,untitled,2024.2.4,None,2025-03-02 16h52.52.672851 -0600,
31,0,31,,,,,31,0,31,0,100.4291849170113,,,,,,,,,100.42290004203096,100.4291849170113,100.4291849170113,100.4291849170113,101.915407625027,102.11441999999806,1,0,0.4024345420184545,0.17930854199221358,102.12446175003424,102.13207925000461,102.13207925000461,,,,,,102.12622420798289,102.12622420798289,,,,,,,,,,
