thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,getReady.started,get_ready_text.started,advance_press.started,getReady.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,left_box.stopped,right_box.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.01125054102158174,0.015334541036281735,0.015334541036281735,1.061892666039057,space,1.0234994579805061,None,,,,,,,,,,,,,,,,,,,,,,,852053,001,2025-02-28_15h50.21.157,untitled,2024.2.4,None,2025-02-28 15h50.26.828803 -0600,
0,0,0,1,0,0.6171722089638934,0.24788199999602512,0,0,0,0,1.073848915984854,,,,,,,,,1.0625705409911461,1.073848915984854,1.073848915984854,1.073848915984854,2.562199875013903,2.775432708032895,2.775432708032895,2.7611602499964647,1,0,0.6171722089638934,0.24788199999602512,2.7728522079996765,2.775432708032895,2.775432708032895,3.7644487909856252,3.7644487909856252,3.761365582991857,3.7614005409996025,3.7644487909856252,4.26740366598824,4.261367291037459,852053,001,2025-02-28_15h50.21.157,untitled,2024.2.4,None,2025-02-28 15h50.26.828803 -0600,
1,0,1,2,0,0.5414120419882238,0.2169911660021171,1,0,1,0,4.26740366598824,,,,,,,,,4.261470666038804,4.26740366598824,4.26740366598824,4.26740366598824,5.759093958011363,5.965694833023008,5.965694833023008,5.952646207995713,2,0,0.5414120419882238,0.2169911660021171,5.963620875030756,5.965694833023008,5.965694833023008,6.967386958014686,6.967386958014686,6.960955707996618,6.960976625035983,6.967386958014686,7.45920320803998,7.452786708017811,852053,001,2025-02-28_15h50.21.157,untitled,2024.2.4,None,2025-02-28 15h50.26.828803 -0600,
2,0,2,2,0,0.35389245802070946,0.1754592499928549,2,0,2,0,7.45920320803998,,,,,,,,,7.4528955410351045,7.45920320803998,7.45920320803998,7.45920320803998,8.959167291002814,9.164800541009754,9.164800541009754,9.152933625038713,2,0,0.35389245802070946,0.1754592499928549,9.16264662501635,9.164800541009754,9.164800541009754,10.167386582994368,10.167386582994368,10.161127708037384,10.161148915998638,10.167386582994368,10.659048625035211,10.65278704103548,852053,001,2025-02-28_15h50.21.157,untitled,2024.2.4,None,2025-02-28 15h50.26.828803 -0600,
3,0,3,2,0,0.3384372500004247,0.1839310000068508,3,0,3,0,10.659048625035211,,,,,,,,,10.652892165991943,10.659048625035211,10.659048625035211,10.659048625035211,12.159081624995451,12.364227208017837,12.364227208017837,12.352817666018382,2,0,0.3384372500004247,0.1839310000068508,12.362104250001721,12.364227208017837,12.364227208017837,13.367394041037187,13.367394041037187,13.361013250018004,13.361035000008997,13.367394041037187,13.867530875024386,13.86174216598738,852053,001,2025-02-28_15h50.21.157,untitled,2024.2.4,None,2025-02-28 15h50.26.828803 -0600,
4,0,4,2,0,0.28827883303165436,0.18021629197755828,4,0,4,0,13.867530875024386,,,,,,,,,13.86184399999911,13.867530875024386,13.867530875024386,13.867530875024386,15.367439875029959,15.571536500006914,15.571536500006914,15.561105875007343,2,0,0.28827883303165436,0.18021629197755828,15.569349416007753,15.571536500006914,15.571536500006914,16.56783750001341,16.56783750001341,16.56110162503319,16.561121958016884,16.56783750001341,17.067432500014547,17.06092845799867,852053,001,2025-02-28_15h50.21.157,untitled,2024.2.4,None,2025-02-28 15h50.26.828803 -0600,
5,0,5,2,0,0.28231879201484844,0.19555245799710974,5,0,5,0,17.067432500014547,,,,,,,,,17.061016916006338,17.067432500014547,17.067432500014547,17.067432500014547,18.567450375005137,18.77198933303589,18.77198933303589,18.761478125001304,2,0,0.28231879201484844,0.19555245799710974,18.76957470801426,18.77198933303589,18.77198933303589,19.767438416020013,19.767438416020013,19.761308833025396,19.761331624991726,19.767438416020013,20.267411625012755,20.261414666019846,852053,001,2025-02-28_15h50.21.157,untitled,2024.2.4,None,2025-02-28 15h50.26.828803 -0600,
6,0,6,,,,,6,0,6,0,20.267411625012755,,,,,,,,,20.261518249986693,20.267411625012755,20.267411625012755,20.267411625012755,,,,,,,,,,,,,,,,,,,,,,,,,,
