thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,getReady.started,get_ready_text.started,advance_press.started,getReady.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.013232833007350564,0.01848212501499802,0.01848212501499802,7.013966541970149,space,6.975526958005503,None,,,,,,,,,,,,,,,,,,,,,,,443866,001,2025-02-28_15h26.22.674,untitled,2024.2.4,None,2025-02-28 15h26.29.184176 -0600,
0,0,0,1,0,0.5764000000199303,0.2203357089892961,0,0,0,0,7.0258785000187345,,,,,,,,,7.014502750011161,7.0258785000187345,7.0258785000187345,7.0258785000187345,8.513522166991606,8.714142250013538,1,0,0.5764000000199303,0.2203357089892961,8.72993587498786,8.733035666984506,8.733035666984506,9.718278083018959,9.71829962497577,9.721864832972642,10.210768875025678,10.207114792021457,,,,,443866,001,2025-02-28_15h26.22.674,untitled,2024.2.4,None,2025-02-28 15h26.29.184176 -0600,
1,0,1,1,0,0.47760716604534537,0.20775420899735764,1,0,1,0,10.210768875025678,,,,,,,,,10.207211416971404,10.210768875025678,10.210768875025678,10.210768875025678,11.709289541991893,11.898479417024646,1,0,0.47760716604534537,0.20775420899735764,11.90747462498257,11.909673666988965,11.909673666988965,12.894290041993372,12.894308125018142,12.905485874973238,13.400092332973145,13.394149374973495,11.909673666988965,11.909673666988965,12.900103707972448,12.900103707972448,443866,001,2025-02-28_15h26.22.674,untitled,2024.2.4,None,2025-02-28 15h26.29.184176 -0600,
2,0,2,1,0,0.5453833339852281,0.20038258301792666,2,0,2,0,13.400092332973145,,,,,,,,,13.394244458002504,13.404042457987089,13.404042457987089,13.404042457987089,14.900151791982353,15.094013582973275,1,0,0.5453833339852281,0.20038258301792666,15.103616916981991,15.110788292018697,15.110788292018697,16.10206562501844,16.102083750010934,16.10839616699377,16.60842733300524,16.602331582980696,15.105909499980044,15.105909499980044,16.10839616699377,16.10839616699377,443866,001,2025-02-28_15h26.22.674,untitled,2024.2.4,None,2025-02-28 15h26.29.184176 -0600,
3,0,3,1,0,0.35734649997903034,0.20371112501015887,3,0,3,0,16.60842733300524,,,,,,,,,16.602430625003763,16.60842733300524,16.60842733300524,16.60842733300524,18.094991207995918,18.29430816700915,1,0,0.35734649997903034,0.20371112501015887,18.304627583012916,18.312380541989114,18.312380541989114,19.299044792016502,19.29906191700138,19.30263708299026,19.796524374978617,19.793967458012048,18.306311708001886,18.306311708001886,19.30263708299026,19.30263708299026,443866,001,2025-02-28_15h26.22.674,untitled,2024.2.4,None,2025-02-28 15h26.29.184176 -0600,
4,0,4,1,0,0.4515462910057977,0.20913262496469542,4,0,4,0,19.796524374978617,,,,,,,,,19.79406695801299,19.808794957993086,19.808794957993086,19.808794957993086,21.3084440829698,21.493660042004194,1,0,0.4515462910057977,0.20913262496469542,21.502761083014775,21.508142667007633,21.508142667007633,22.502380624995567,22.502400333003607,22.508359166968148,22.996907708002254,22.993703457992524,21.504234416992404,21.504234416992404,22.508359166968148,22.508359166968148,443866,001,2025-02-28_15h26.22.674,untitled,2024.2.4,None,2025-02-28 15h26.29.184176 -0600,
5,0,5,1,0,0.4183261249563657,0.21145475003868341,5,0,5,0,22.996907708002254,,,,,,,,,22.993808624974918,23.008294124971144,23.008294124971144,23.008294124971144,24.49639574997127,24.70223758299835,1,0,0.4183261249563657,0.21145475003868341,24.711151416995563,24.71433629200328,24.71433629200328,25.710997249989305,25.71101779199671,25.716797125001904,26.21677566698054,26.21065650001401,24.71433629200328,24.71433629200328,25.716797125001904,25.716797125001904,443866,001,2025-02-28_15h26.22.674,untitled,2024.2.4,None,2025-02-28 15h26.29.184176 -0600,
