thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,getReady.started,get_ready_text.started,advance_press.started,getReady.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,left_box.stopped,right_box.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.010671874973922968,0.01659108401509002,0.01659108401509002,1.9614238750073127,space,1.9224969999631867,None,,,,,,,,,,,,,,,,,,,,,,,901658,001,2025-02-28_15h36.08.864,untitled,2024.2.4,None,2025-02-28 15h36.15.989217 -0600,
0,0,0,2,0,0.4146846249932423,0.1846767090028152,0,0,0,0,1.9731349169742316,,,,,,,,,1.9621412089909427,1.9731349169742316,1.9731349169742316,1.9731349169742316,3.4641440419945866,3.6735770420054905,3.6735770420054905,3.658535959024448,2,0,0.4146846249932423,0.1846767090028152,3.671145375003107,3.6735770420054905,3.6735770420054905,4.66416229197057,4.66416229197057,4.661029167007655,4.661048999987543,4.66416229197057,5.15729875001125,5.155533458979335,901658,001,2025-02-28_15h36.08.864,untitled,2024.2.4,None,2025-02-28 15h36.15.989217 -0600,
1,0,1,2,0,0.6749755420023575,0.2530708329868503,1,0,1,0,5.15729875001125,,,,,,,,,5.155632208974566,5.15729875001125,5.15729875001125,5.15729875001125,6.647510625014547,6.858250459015835,6.858250459015835,6.846485666988883,2,0,0.6749755420023575,0.2530708329868503,6.856090834015049,6.858250459015835,6.858250459015835,7.852896666969173,7.852896666969173,7.846346375008579,7.846367458987515,7.852896666969173,8.344542833976448,8.338525084021967,901658,001,2025-02-28_15h36.08.864,untitled,2024.2.4,None,2025-02-28 15h36.15.989217 -0600,
2,0,2,2,0,0.4122630420024507,0.18823974998667836,2,0,2,0,8.344542833976448,,,,,,,,,8.33863424998708,8.348289209010545,8.348289209010545,8.348289209010545,9.844486750022043,10.053371709014755,10.053371709014755,10.042021166998893,2,0,0.4122630420024507,0.18823974998667836,10.051705666992348,10.061165084014647,10.061165084014647,11.048267417005263,11.048267417005263,11.046453916991595,11.046474666974973,11.048267417005263,11.540879209002014,11.537987917021383,901658,001,2025-02-28_15h36.08.864,untitled,2024.2.4,None,2025-02-28 15h36.15.989217 -0600,
3,0,3,2,0,0.4469824170228094,0.19951574999140576,3,0,3,0,11.540879209002014,,,,,,,,,11.538088125002105,11.559122167003807,11.559122167003807,11.559122167003807,13.052816417010035,13.257742166984826,13.257742166984826,13.243419750011526,2,0,0.4469824170228094,0.19951574999140576,13.253486834000796,13.269835959014017,13.269835959014017,14.258842166978866,14.258842166978866,14.254786834004335,14.254808666999452,14.258842166978866,14.748707542021293,14.746502541995142,901658,001,2025-02-28_15h36.08.864,untitled,2024.2.4,None,2025-02-28 15h36.15.989217 -0600,
4,0,4,1,0,0.5250116250244901,0.21583766699768603,4,0,4,0,14.748707542021293,,,,,,,,,14.746607708977535,14.748707542021293,14.748707542021293,14.748707542021293,16.244591667025816,16.445664416998625,16.445664416998625,16.433474124991335,1,0,0.5250116250244901,0.21583766699768603,16.443971291999333,16.45285404199967,16.45285404199967,17.452782250009477,17.452782250009477,17.44704716699198,17.44706658401992,17.452782250009477,17.944516959018074,17.938399959006347,901658,001,2025-02-28_15h36.08.864,untitled,2024.2.4,None,2025-02-28 15h36.15.989217 -0600,
5,0,5,1,0,0.3079411250073463,0.19891441700747237,5,0,5,0,17.944516959018074,,,,,,,,,17.93850420898525,17.94875745900208,17.94875745900208,17.94875745900208,19.44458641699748,19.650256792025175,19.650256792025175,19.638635416980833,1,0,0.3079411250073463,0.19891441700747237,19.648493124987,19.656265459023416,19.656265459023416,20.652851124992594,20.652851124992594,20.64136700000381,20.64138979197014,20.656766833970323,21.150692166993394,21.146473750006407,901658,001,2025-02-28_15h36.08.864,untitled,2024.2.4,None,2025-02-28 15h36.15.989217 -0600,
6,0,6,1,0,1.2064290000125766,0.1757629580097273,6,0,6,0,21.150692166993394,,,,,,,,,21.14657054201234,21.150692166993394,21.150692166993394,21.150692166993394,22.644537875021342,22.85139337502187,22.85139337502187,22.838826459017582,1,0,1.2064290000125766,0.1757629580097273,22.849648542003706,22.856138709001243,22.856138709001243,23.85314079199452,23.85314079199452,23.840725374990143,23.840746541973203,23.856916167016607,24.352904416969977,24.346743041998707,901658,001,2025-02-28_15h36.08.864,untitled,2024.2.4,None,2025-02-28 15h36.15.989217 -0600,
7,0,7,,,,,7,0,7,0,24.352904416969977,,,,,,,,,24.34684999997262,24.352904416969977,24.352904416969977,24.352904416969977,,,,,,,,,,,,,,,,,,,,,,,,,,
