thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,fixation_cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,0,0.6948654169682413,0.09967458300525323,0,0,0,0,0.01810933300293982,,0.013943041034508497,0.01810933300293982,0.01810933300293982,0.01810933300293982,1.5054038329981267,1.7033818329800852,1,0,0.6948654169682413,0.09967458300525323,1.71269775001565,1.7157579580089077,1.7157579580089077,2.712187500030268,2.7122134160017595,2.722520750015974,3.201187458005734,,,,,,934587,001,2025-02-28_14h48.20.666,untitled,2024.2.4,None,2025-02-28 14h48.26.678654 -0600,
1,0,1,2,0,0.5081547910231166,0.1922217920073308,1,0,1,0,3.2040783329866827,,3.201287958014291,3.2040783329866827,3.2040783329866827,3.2040783329866827,4.699116958014201,4.892263624991756,2,0,0.5081547910231166,0.1922217920073308,4.897940583003219,4.900000791007187,4.900000791007187,5.887237875023857,5.887259999988601,5.889213707996532,6.379034749988932,4.900000791007187,4.900000791007187,5.889213707996532,5.889213707996532,6.385011582984589,934587,001,2025-02-28_14h48.20.666,untitled,2024.2.4,None,2025-02-28 14h48.26.678654 -0600,
2,0,2,1,0,0.5636244579800405,0.19572787499055266,2,0,2,0,6.385011582984589,,6.379130333021749,6.389899540983606,6.389899540983606,6.389899540983606,7.885287499986589,8.086932750011329,1,0,0.5636244579800405,0.19572787499055266,8.093829250021372,8.099042124988046,8.099042124988046,9.088092625024728,9.088114082987886,9.09332295798231,9.578836916014552,8.099042124988046,8.099042124988046,9.09332295798231,9.09332295798231,9.584943791036494,934587,001,2025-02-28_14h48.20.666,untitled,2024.2.4,None,2025-02-28 14h48.26.678654 -0600,
3,0,3,,,,,3,0,3,0,9.584943791036494,,9.578926375019364,9.589778666035272,9.589778666035272,9.589778666035272,11.078957249992527,11.27422912500333,1,0,0.5528054579626769,0.18698916700668633,11.279867125034798,11.297474750026595,11.297474750026595,,,,,11.281735291006044,11.281735291006044,,,,,,,,,,,
