thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,0,0.38837495900224894,0.17134941602125764,0,0,0,0,0.01657566602807492,,0.011462583031971008,0.01657566602807492,0.01657566602807492,0.01657566602807492,1.5041683330200613,1.7026703750016168,1,0,0.38837495900224894,0.17134941602125764,1.7091235410189256,1.7136177499778569,1.7136177499778569,2.702818749996368,2.7028441660222597,2.7088452500174753,3.209020457987208,3.1972009579767473,,,,,840032,001,2025-02-28_15h06.17.022,untitled,2024.2.4,None,2025-02-28 15h06.22.223398 -0600,
1,0,1,2,0,0.4473066250211559,0.17589016701094806,1,0,1,0,3.209020457987208,,3.197294374986086,3.209020457987208,3.209020457987208,3.209020457987208,4.697915291006211,4.902456249983516,2,0,0.4473066250211559,0.17589016701094806,4.906900290981866,4.92624912498286,4.92624912498286,5.902214624977205,5.9022362909745425,5.904766833002213,6.397823541017715,6.395094665989745,,,,,840032,001,2025-02-28_15h06.17.022,untitled,2024.2.4,None,2025-02-28 15h06.22.223398 -0600,
2,0,2,1,0,0.29135366599075496,0.15589529200224206,2,0,2,0,6.397823541017715,,6.395195625023916,6.397823541017715,6.397823541017715,6.397823541017715,7.889145875000395,8.087149041006342,1,0,0.29135366599075496,0.15589529200224206,8.091303749999497,8.096182457986288,8.096182457986288,9.086519166012295,9.086541416007094,9.092769958020654,9.584122208005283,9.578133124974556,8.096182457986288,8.096182457986288,9.092769958020654,9.092769958020654,840032,001,2025-02-28_15h06.17.022,untitled,2024.2.4,None,2025-02-28 15h06.22.223398 -0600,
3,0,3,2,0,0.3387213749811053,0.1874906670418568,3,0,3,0,9.584122208005283,,9.578224707976915,9.589089124987368,9.589089124987368,9.589089124987368,11.083885165979154,11.275120457983576,2,0,0.3387213749811053,0.1874906670418568,11.27934212499531,11.300909041019622,11.300909041019622,12.28581229102565,12.28583324997453,12.287427290983032,12.784133916022256,12.773002666013781,11.281046791002154,11.281046791002154,12.287427290983032,12.287427290983032,840032,001,2025-02-28_15h06.17.022,untitled,2024.2.4,None,2025-02-28 15h06.22.223398 -0600,
4,0,4,,,,,4,0,4,0,12.784133916022256,,12.773100958031137,12.792758875002619,12.792758875002619,12.792758875002619,,,,,,,,,,,,,,,,,,,,,,,,,,
