thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,0,0.6138666669721715,0.21917604201007634,0,0,0,0,0.015195874962955713,,0.011144457967020571,0.015195874962955713,0.015195874962955713,0.015195874962955713,1.5183614999987185,1.7035325000179,1,0,0.6138666669721715,0.21917604201007634,1.715338249981869,1.717692416976206,1.717692416976206,2.7033944170107134,2.703416707983706,2.707455541996751,3.2050758749828674,3.1954309169668704,,,,,608300,001,2025-02-28_15h11.08.317,untitled,2024.2.4,None,2025-02-28 15h11.21.131638 -0600,
1,0,1,1,0,0.4624033750151284,0.1915091669652611,1,0,1,0,3.2050758749828674,,3.195530458004214,3.2050758749828674,3.2050758749828674,3.2050758749828674,4.710015000018757,4.891514541988727,1,0,0.4624033750151284,0.1915091669652611,4.902453167014755,4.904803582991008,4.904803582991008,5.891881124989595,5.891903041978367,5.901777292019688,6.3933179170126095,6.387266166973859,4.904803582991008,4.904803582991008,5.901777292019688,5.901777292019688,608300,001,2025-02-28_15h11.08.317,untitled,2024.2.4,None,2025-02-28 15h11.21.131638 -0600,
2,0,2,1,0,0.44761541701154783,0.15615720802452415,2,0,2,0,6.3933179170126095,,6.3873644169652835,6.3933179170126095,6.3933179170126095,6.3933179170126095,7.893297582981177,8.079062166973017,1,0,0.44761541701154783,0.15615720802452415,8.088343957962934,8.101713957963511,8.101713957963511,9.08723133301828,9.087252207973506,9.09732374997111,9.593451416993048,9.58326845796546,8.090121374989394,8.090121374989394,9.09732374997111,9.09732374997111,608300,001,2025-02-28_15h11.08.317,untitled,2024.2.4,None,2025-02-28 15h11.21.131638 -0600,
3,0,3,1,0,0.3484436249709688,0.1765958340256475,3,0,3,0,9.593451416993048,,9.583362250006758,9.60500141698867,9.60500141698867,9.60500141698867,11.095719792007003,11.295678749971557,1,0,0.3484436249709688,0.1765958340256475,11.30694716697326,11.30945800000336,11.30945800000336,12.295132041967008,12.29515416698996,12.297810082964133,12.793367541977204,12.787101207999513,11.30945800000336,11.30945800000336,12.297810082964133,12.297810082964133,608300,001,2025-02-28_15h11.08.317,untitled,2024.2.4,None,2025-02-28 15h11.21.131638 -0600,
4,0,4,1,0,0.34962745901430026,0.19607304100645706,4,0,4,0,12.793367541977204,,12.787201832979918,12.793367541977204,12.793367541977204,12.793367541977204,14.285013749962673,14.481255457969382,1,0,0.34962745901430026,0.19607304100645706,14.490133000013884,14.495738041994628,14.495738041994628,15.483366041968111,15.483385166968219,15.501626916986424,15.99323279201053,15.986890624975786,14.492034082999453,14.492034082999453,15.4933420830057,15.4933420830057,608300,001,2025-02-28_15h11.08.317,untitled,2024.2.4,None,2025-02-28 15h11.21.131638 -0600,
5,0,5,1,0,0.32188441703328863,0.15060854196781293,5,0,5,0,15.99323279201053,,15.986983667011373,15.99323279201053,15.99323279201053,15.99323279201053,17.496652750007343,17.678985417005606,1,0,0.32188441703328863,0.15060854196781293,17.688923333014827,17.696131083008368,17.696131083008368,18.683380374975968,18.68340174999321,18.701662832987495,19.20185762498295,19.195427124970593,17.69048670801567,17.69048670801567,18.693356167001184,18.693356167001184,608300,001,2025-02-28_15h11.08.317,untitled,2024.2.4,None,2025-02-28 15h11.21.131638 -0600,
