thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,all_keys.rt,all_keys.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,j,0.7096703000133857,None,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,148.14251040003728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.87261520000175,152.8888310000766,154.90370810008608,154.88763220002875,,,,,,,,148.12791370006744,148.14251040003728,148.14251040003728,148.14251040003728,148.8604684000602,j,0.7096703000133857,None,148.86402120010462,148.8751594000496,148.8751594000496,150.37425270001404,150.38897030008957,150.39805499999784,150.39805499999784,152.87254250003025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071385,right,2025-04-29_15h45.55.716,RL_practice,2024.2.4,59.99131321963629,2025-04-29 15h46.05.872871 -0700,
1,0,1,,,,,,,k,0.5554761999519542,None,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,154.90370810008608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.483392400085,159.49943800002802,160.49923429999035,160.48316580010578,,,,,,,,154.88793620001525,154.90370810008608,154.90370810008608,154.90370810008608,155.47136319999117,k,0.5554761999519542,None,155.47487350006122,155.48650960007217,155.48650960007217,156.98503020009957,156.99576630000956,157.00283080001827,157.00283080001827,159.483318899991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071385,right,2025-04-29_15h45.55.716,RL_practice,2024.2.4,59.99131321963629,2025-04-29 15h46.05.872871 -0700,
2,0,2,,,,,,,k,0.8055225000716746,None,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,160.49923429999035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.3287055999972,165.34488380001858,166.34451730002183,166.32845430006273,,,,,,,,160.48343600006774,160.49923429999035,160.49923429999035,160.49923429999035,161.31674410006963,k,0.8055225000716746,None,161.32023040007334,161.33213640004396,161.33213640004396,162.83066140010487,162.8483727000421,162.85517310001887,162.85517310001887,165.3286329000257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071385,right,2025-04-29_15h45.55.716,RL_practice,2024.2.4,59.99131321963629,2025-04-29 15h46.05.872871 -0700,
3,0,3,,,,,,,k,0.417291900026612,None,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,166.34451730002183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.79103960003704,170.80701990006492,173.82214240008034,173.80592360009905,,,,,,,,166.32873290008865,166.34451730002183,166.34451730002183,166.34451730002183,166.77882850007154,k,0.417291900026612,None,166.782541600056,166.79454410006292,166.79454410006292,168.29331219999585,168.31043700000737,168.31753660005052,168.31753660005052,170.79096510005184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071385,right,2025-04-29_15h45.55.716,RL_practice,2024.2.4,59.99131321963629,2025-04-29 15h46.05.872871 -0700,
4,0,4,,,,,,,k,0.7048379000043496,None,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,173.82214240008034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.5518464000197,178.5676611000672,181.0827350000618,181.06680850009434,,,,,,,,173.80619920010213,173.82214240008034,173.82214240008034,173.82214240008034,174.53977030003443,k,0.7048379000043496,None,174.54349430010188,174.55457150004804,174.55457150004804,176.05359970009886,176.07102320005652,176.07779780006967,176.07779780006967,178.55177470005583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071385,right,2025-04-29_15h45.55.716,RL_practice,2024.2.4,59.99131321963629,2025-04-29 15h46.05.872871 -0700,
5,0,5,,,,,,,j,0.39764929993543774,None,,,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,181.0827350000618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.49592800007667,185.5119167000521,186.5116709000431,186.49571740010288,,,,,,,,181.06708830001298,181.0827350000618,181.0827350000618,181.0827350000618,181.48438750009518,j,0.39764929993543774,None,181.48813549999613,181.49909789999947,181.49909789999947,182.99808270006906,183.01529710006434,183.0236701000249,183.0236701000249,185.49585380009376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071385,right,2025-04-29_15h45.55.716,RL_practice,2024.2.4,59.99131321963629,2025-04-29 15h46.05.872871 -0700,
6,0,6,,,,,,,j,0.4908523999620229,None,,,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,186.5116709000431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.02468060003594,191.04075580008794,193.55636040004902,193.53959050006233,,,,,,,,186.49598230002448,186.5116709000431,186.5116709000431,186.5116709000431,187.01324080000632,j,0.4908523999620229,None,187.0168087000493,187.02804870007094,187.02804870007094,188.52678640000522,188.54429770004936,188.55102740006987,188.55102740006987,191.02460860006977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071385,right,2025-04-29_15h45.55.716,RL_practice,2024.2.4,59.99131321963629,2025-04-29 15h46.05.872871 -0700,
7,0,7,,,,,,,j,0.3209214999806136,None,,,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,193.55636040004902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.90270740003325,197.9186730000656,200.9333242001012,200.91702940000687,,,,,,,,193.5398470000364,193.55636040004902,193.55636040004902,193.55636040004902,193.89086550008506,j,0.3209214999806136,None,193.89442400005646,193.90596060000826,193.90596060000826,195.4051000000909,195.4222691000905,195.4296901000198,195.4296901000198,197.9026338000549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071385,right,2025-04-29_15h45.55.716,RL_practice,2024.2.4,59.99131321963629,2025-04-29 15h46.05.872871 -0700,
8,0,8,,,,,,,k,1.0283271999796852,None,,,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,200.9333242001012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.97981330007315,205.9963693000609,207.01181340008043,206.99518210010137,,,,,,,,200.91728190006688,200.9333242001012,200.9333242001012,200.9333242001012,201.96728090010583,k,1.0283271999796852,None,201.97088690008968,201.98281690001022,201.98281690001022,203.48177110007964,203.4958793000551,203.50304450001568,203.50304450001568,205.9797379000811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071385,right,2025-04-29_15h45.55.716,RL_practice,2024.2.4,59.99131321963629,2025-04-29 15h46.05.872871 -0700,
9,0,9,,,,,,,j,0.4971212000818923,None,,,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,207.01181340008043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.52543770009652,211.54137910006102,213.55651910009328,213.54027300002053,,,,,,,,206.995351199992,207.01181340008043,207.01181340008043,207.01181340008043,207.5135024000192,j,0.4971212000818923,None,207.5171934000682,207.52827730006538,207.52827730006538,209.0275611000834,209.04479700000957,209.0520719999913,209.0520719999913,211.52536470000632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071385,right,2025-04-29_15h45.55.716,RL_practice,2024.2.4,59.99131321963629,2025-04-29 15h46.05.872871 -0700,
