thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin_img.stopped,magic_coin_text.stopped,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,left_box_switch_out.stopped,right_box_switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,k,1.37487079994753,None,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,123.96920920023695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.3525017001666,129.36794620007277,130.86907690018415,130.85173160023987,,,,,,,,123.95287420041859,123.96920920023695,123.96920920023695,123.96920920023695,125.34985580015928,k,1.37487079994753,None,125.35143170040101,125.36930330004543,125.36930330004543,126.85318050021306,126.86292570037767,126.87360330019146,126.87360330019146,129.35246219998226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
1,0,1,,,,,,,k,0.6023832000792027,None,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,130.86907690018415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.50266200024635,135.51817970024422,137.01903280010447,137.0019796001725,,,,,,,,130.8518581003882,130.86907690018415,130.86907690018415,130.86907690018415,131.48622720036656,k,0.6023832000792027,None,131.48765390040353,131.50242450041696,131.50242450041696,132.9861298999749,132.99320060014725,133.0036536999978,133.0036536999978,135.50261300010607,133.0036536999978,133.0036536999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
2,0,2,,,,,,,k,0.5307645997963846,None,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,137.01903280010447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.56511329999194,141.58091140026227,144.5818029004149,144.5649547004141,,,,,,,,137.00213580019772,137.01903280010447,137.01903280010447,137.01903280010447,137.5550240003504,k,0.5307645997963846,None,137.5565863000229,137.5689379000105,137.5689379000105,139.0529310000129,139.0606627999805,139.07060179999098,139.07060179999098,141.56506870035082,139.07060179999098,139.07060179999098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
3,0,3,,,,,,,k,0.6754133002832532,None,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,144.5818029004149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.26501299999654,149.2807953003794,150.78116570040584,150.7643001000397,,,,,,,,144.5650845002383,144.5818029004149,144.5818029004149,144.5818029004149,145.26551180006936,k,0.6754133002832532,None,145.26685360027477,145.28143350034952,145.28143350034952,146.76645440002903,146.77288760012016,146.78164520021528,146.78164520021528,149.26497280038893,,,149.2807953003794,149.2807953003794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
4,0,4,,,,,,,k,0.6941313003189862,None,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,150.78116570040584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.48220550036058,155.4975109002553,157.9975628000684,157.98079420020804,,,,,,,,150.76444690022618,150.78116570040584,150.78116570040584,150.78116570040584,151.48261670023203,k,0.6941313003189862,None,151.4842429002747,151.49778240034357,151.49778240034357,152.9822069001384,152.98930070037022,152.9988736002706,152.9988736002706,155.48216940043494,152.9988736002706,152.9988736002706,155.4975109002553,155.4975109002553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
5,0,5,,,,,,,k,0.6212609000504017,None,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,157.9975628000684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.6310750003904,162.646958200261,164.1479408000596,164.1306022000499,,,,,,,,157.9809183999896,157.9975628000684,157.9975628000684,157.9975628000684,158.63255240023136,k,0.6212609000504017,None,158.63415569998324,158.64735800027847,158.64735800027847,160.13119270000607,160.13734300015494,160.14810980018228,160.14810980018228,162.6310405000113,160.14810980018228,160.14810980018228,162.646958200261,162.646958200261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
6,0,6,,,,,,,k,0.5702585000544786,None,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,164.1479408000596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.73162130033597,168.74702460039407,170.24723630025983,170.23045390006155,,,,,,,,164.130723700393,164.1479408000596,164.1479408000596,164.1479408000596,164.73132590018213,k,0.5702585000544786,None,164.73282360006124,164.74725320003927,164.74725320003927,166.23086750041693,166.2362700002268,166.2483323002234,166.2483323002234,168.73158020013943,166.2483323002234,166.2483323002234,168.74702460039407,168.74702460039407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
7,0,7,,,,,,,j,0.36694859992712736,None,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,170.24723630025983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.61418869998306,174.6297754002735,177.63021300034598,177.6135091003962,,,,,,,,170.23061540024355,170.24723630025983,170.24723630025983,170.24723630025983,170.61547850025818,j,0.36694859992712736,None,170.61678609997034,170.63076490024105,170.63076490024105,172.11444470006973,172.12166860001162,172.13066270016134,172.13066270016134,174.61415620008484,172.13066270016134,172.13066270016134,174.6297754002735,174.6297754002735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
8,0,8,,,,,,,j,1.7408324996940792,None,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,177.63021300034598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.39704590011388,183.413045800291,186.41387240029871,186.3964162999764,,,,,,,,177.613655900117,177.63021300034598,177.63021300034598,177.63021300034598,179.38101460039616,j,1.7408324996940792,None,179.3823298001662,179.39734950009733,179.39734950009733,180.88057749997824,180.8871719003655,180.90150260040537,180.90150260040537,183.3970006001182,180.90150260040537,180.90150260040537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
9,0,9,,,,,,,j,0.6164564001373947,None,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,186.41387240029871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.03050740016624,191.04633550019935,194.04631930030882,194.03093150025234,,,,,,,,186.3965637004003,186.41387240029871,186.41387240029871,186.41387240029871,187.03125620028004,j,0.6164564001373947,None,187.03293320024386,187.04670790024102,187.04670790024102,188.53117249999195,188.53734950022772,188.54698100034148,188.54698100034148,191.0304736001417,188.54698100034148,188.54698100034148,191.04633550019935,191.04633550019935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22222,right,2025-05-07_14h00.52.991,RL_practice,2024.2.4,60.038352484068774,2025-05-07 14h01.04.458085 -0500,
