thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,prac_left_box.stopped,prac_right_box.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,outcome_left_box.stopped,outcome_right_box.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,k,1.4996611670358106,None,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,134.61480999994092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.11899108299986,140.1215337079484,143.1089592919452,143.10431979200803,,,,,,,,,,134.60720029193908,134.61480999994092,134.61480999994092,134.61480999994092,136.11737799993716,k,1.4996611670358106,None,136.11970091692638,136.1278082919307,136.1278082919307,137.63602045795415,137.63602045795415,137.6117561670253,137.63105566694867,137.63602045795415,137.63602045795415,140.1189438329311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
1,0,1,,,,,,,k,0.44426899997051805,None,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,143.1089592919452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.5614018329652,147.56450283294544,149.06144962494727,149.04738112492487,,,,,,,,,,143.10453899996355,143.1089592919452,143.1089592919452,143.1089592919452,143.5611744580092,k,0.44426899997051805,None,143.56360816699453,143.57161283295136,143.57161283295136,145.0745805830229,145.0745805830229,145.05484008300118,145.07014379196335,145.0745805830229,145.0745805830229,147.561360666994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
2,0,2,,,,,,,k,2.5135353340301663,None,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,149.06144962494727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.5865373329725,155.59073862503283,157.0802970000077,157.07666399993468,,,,,,,,,,149.0475855829427,149.06144962494727,149.06144962494727,149.06144962494727,151.5798912079772,k,2.5135353340301663,None,151.5822755829431,151.59259366698097,151.59259366698097,,,153.08517758292146,153.1043635419337,153.11003841692582,153.11003841692582,155.58649120794144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
3,0,3,,,,,,,k,0.8524236659286544,None,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,157.0802970000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.951343624969,161.9551516249776,164.44759829202667,164.4434327079216,,,,,,,,,,157.07689012493938,157.0802970000077,157.0802970000077,157.0802970000077,157.94452249992173,k,0.8524236659286544,None,157.94701883301605,157.95547199994326,157.95547199994326,159.46028816699982,159.46028816699982,159.43938191700727,159.45597499993164,159.46028816699982,159.46028816699982,161.95129479200114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
4,0,4,,,,,,,k,1.2151328750187531,None,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,164.44759829202667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.6666222079657,169.671390375006,171.16819450003095,171.16242995799985,,,,,,,,,,164.44366970798,164.44759829202667,164.44759829202667,164.44759829202667,165.66537345794495,k,1.2151328750187531,None,165.66782062500715,165.67711970792152,165.67711970792152,167.18249129201286,167.18249129201286,167.1630975829903,167.17821024998557,167.18249129201286,167.18249129201286,169.66655437496956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
5,0,5,,,,,,,k,0.8439503749832511,None,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,171.16819450003095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.02022162498906,176.02558887493797,179.0130150829209,179.00925341702532,,,,,,,,,,171.16266837494913,171.16819450003095,171.16819450003095,171.16819450003095,172.01474562496878,k,0.8439503749832511,None,172.0162651669234,172.02235208300408,172.02235208300408,173.5337624999229,173.5337624999229,173.51320120797027,173.52931920799892,173.5337624999229,173.5337624999229,176.02014537493233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
6,0,6,,,,,,,j,0.37325208296533674,None,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,179.0130150829209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.39890000002924,183.40580900001805,184.4051174169872,184.39034695795272,,,,,,,,,,179.00944329192862,179.0130150829209,179.0130150829209,179.0130150829209,179.38944512500893,j,0.37325208296533674,None,179.39179108291864,179.3994578749407,179.3994578749407,,,180.8930276669562,180.9100704579614,180.91439166700002,180.91439166700002,183.3988629169762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
7,0,7,,,,,,,j,0.6876732079545036,None,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,184.4051174169872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.10237483296078,189.1052053750027,191.6061800000025,191.60267824993934,,,,,,,,,,184.39050283294637,184.4051174169872,184.4051174169872,184.4051174169872,185.09505437500775,j,0.6876732079545036,None,185.09724812500644,185.10480579198338,185.10480579198338,186.60787204199005,186.60787204199005,186.58759187499527,186.60294941696338,186.60787204199005,186.60787204199005,189.1023129579844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
8,0,8,,,,,,,j,0.48228320805355906,None,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,191.6061800000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.10329975001514,196.10676087497268,199.09962279198226,199.0939995419467,,,,,,,,,,191.60284800000954,191.6061800000025,191.6061800000025,191.6061800000025,192.096303874976,j,0.48228320805355906,None,192.09903749998193,192.10697600001004,192.10697600001004,193.61398916703183,193.61398916703183,193.59254524996504,193.60955212498084,193.61398916703183,193.61398916703183,196.1032600000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
9,0,9,,,,,,,j,0.7803165409713984,None,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,199.09962279198226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.88884608296212,203.90303099993616,204.90152129193302,204.89605183294043,,,,,,,,,,199.09428408299573,199.09962279198226,199.09962279198226,199.09962279198226,199.8857934579719,j,0.7803165409713984,None,199.8880609999178,199.89585333294235,199.89585333294235,201.39982795796823,201.39982795796823,201.3785969170276,201.3951090829214,201.39982795796823,201.39982795796823,203.88880529196467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999,right,2025-06-02_10h32.42.122,RL_practice,2024.2.4,None,2025-06-02 10h32.54.110360 -0700,
