thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin_img.stopped,magic_coin_text.stopped,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_left_box.stopped,prac_right_box.stopped,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_box_switch_out.stopped,right_box_switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,k,0.8586348001845181,None,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,121.54800939979032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.43126489967108,126.44714819965884,129.4486452997662,129.43119799997658,,,,,,,,121.53216370008886,121.54800939979032,121.54800939979032,121.54800939979032,122.41646139975637,k,0.8586348001845181,None,122.41851149965078,122.4317465997301,122.4317465997301,123.93375060008839,123.93375060008839,123.91611299989745,123.92700190003961,123.93375060008839,123.93375060008839,126.43119099969044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,2025-05-15_11h28.04.509,RL_practice,2024.2.4,59.77514986558352,2025-05-15 11h28.21.623229 -0500,
1,0,1,,,,,,,k,0.45240959990769625,None,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,129.4486452997662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.91647719964385,133.93157480005175,134.931995799765,134.91585280001163,,,,,,,,129.43135839980096,129.4486452997662,129.4486452997662,129.4486452997662,129.91614799993113,k,0.45240959990769625,None,129.91825119964778,129.93174170004204,129.93174170004204,131.43136909976602,131.43136909976602,131.41572989989072,131.42541139991954,131.43136909976602,131.43136909976602,133.9164307997562,133.93157480005175,133.93157480005175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,2025-05-15_11h28.04.509,RL_practice,2024.2.4,59.77514986558352,2025-05-15 11h28.21.623229 -0500,
2,0,2,,,,,,,k,0.7141436999663711,None,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,134.931995799765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.64916909998283,139.66402219980955,141.66474879998714,141.6483902996406,,,,,,,,134.91607500007376,134.931995799765,134.931995799765,134.931995799765,135.64937860006467,k,0.7141436999663711,None,135.6515671997331,135.665442999918,135.665442999918,137.16446639969945,137.16446639969945,137.14870959986,137.15865079965442,137.16446639969945,137.16446639969945,139.64912379998714,139.66402219980955,139.66402219980955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,2025-05-15_11h28.04.509,RL_practice,2024.2.4,59.77514986558352,2025-05-15 11h28.21.623229 -0500,
3,0,3,,,,,,,k,1.2503070002421737,None,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,141.66474879998714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.91550119966269,146.93153289984912,148.43113389983773,148.4147987999022,,,,,,,,141.64859639992937,141.66474879998714,141.66474879998714,141.66474879998714,142.9160724999383,k,1.2503070002421737,None,142.91826839977875,142.9309835000895,142.9309835000895,144.4309316999279,144.4309316999279,144.41517050005496,144.42523390008137,144.4309316999279,144.4309316999279,146.9154489999637,146.93153289984912,146.93153289984912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,2025-05-15_11h28.04.509,RL_practice,2024.2.4,59.77514986558352,2025-05-15 11h28.21.623229 -0500,
4,0,4,,,,,,,k,2.33511900017038,None,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,148.43113389983773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.78104999987409,154.79658249998465,156.29807019978762,156.28181799966842,,,,,,,,148.4149604998529,148.43113389983773,148.43113389983773,148.43113389983773,150.7824786999263,k,2.33511900017038,None,150.78475519968197,150.7977426997386,150.7977426997386,152.29716670000926,152.29716670000926,152.28196599986404,152.29199879989028,152.29716670000926,152.29716670000926,154.7809867998585,154.79658249998465,154.79658249998465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,2025-05-15_11h28.04.509,RL_practice,2024.2.4,59.77514986558352,2025-05-15 11h28.21.623229 -0500,
5,0,5,,,,,,,k,0.978099700063467,None,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,156.29807019978762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.28106210008264,161.29639199981466,162.7966984999366,162.7807591999881,,,,,,,,156.28198019973934,156.29807019978762,156.29807019978762,156.29807019978762,157.28169910004362,k,0.978099700063467,None,157.28388920007274,157.29754310008138,157.29754310008138,158.79740859987214,158.79740859987214,158.78081959998235,158.78965839976445,158.79740859987214,158.79740859987214,161.28100960003212,161.29639199981466,161.29639199981466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,2025-05-15_11h28.04.509,RL_practice,2024.2.4,59.77514986558352,2025-05-15 11h28.21.623229 -0500,
6,0,6,,,,,,,k,0.3158831000328064,None,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,162.7966984999366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.1302159000188,167.14595639985055,168.64659339981154,168.6298217996955,,,,,,,,162.78092540008947,162.7966984999366,162.7966984999366,162.7966984999366,163.11536619998515,k,0.3158831000328064,None,163.11762979999185,163.12998420000076,163.12998420000076,164.63076319964603,164.63076319964603,164.61386739974841,164.62280059978366,164.63076319964603,164.63076319964603,167.13015950005502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,2025-05-15_11h28.04.509,RL_practice,2024.2.4,59.77514986558352,2025-05-15 11h28.21.623229 -0500,
7,0,7,,,,,,,k,0.4519859002903104,None,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,168.64659339981154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.11423559999093,173.13002939987928,174.63077550008893,174.61439999984577,,,,,,,,168.6299834996462,168.64659339981154,168.64659339981154,168.64659339981154,169.11422619968653,k,0.4519859002903104,None,169.11715300008655,169.12979390006512,169.12979390006512,,,170.61458029970527,170.62357699964195,170.63025519996881,170.63025519996881,173.11416599992663,173.13002939987928,173.13002939987928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,2025-05-15_11h28.04.509,RL_practice,2024.2.4,59.77514986558352,2025-05-15 11h28.21.623229 -0500,
8,0,8,,,,,,,j,0.2718759998679161,None,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,174.63077550008893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.91422350006178,178.9299588999711,181.4303119997494,181.4137749997899,,,,,,,,174.61460779979825,174.63077550008893,174.63077550008893,174.63077550008893,174.91459989966825,j,0.2718759998679161,None,174.9169135997072,174.93049019994214,174.93049019994214,176.4299471997656,176.4299471997656,176.41456889966503,176.4244670998305,176.4299471997656,176.4299471997656,178.91417700005695,178.9299588999711,178.9299588999711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,2025-05-15_11h28.04.509,RL_practice,2024.2.4,59.77514986558352,2025-05-15 11h28.21.623229 -0500,
9,0,9,,,,,,,k,0.4014134998433292,None,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,181.4303119997494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.84752639988437,185.86287359986454,187.86354079982266,187.84713089978322,,,,,,,,181.41393969999626,181.4303119997494,181.4303119997494,181.4303119997494,181.84685249999166,k,0.4014134998433292,None,181.84930879995227,181.86280460003763,181.86280460003763,183.3632245999761,183.3632245999761,183.34643829986453,183.35696400003508,183.3632245999761,183.3632245999761,185.84747269982472,185.86287359986454,185.86287359986454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55555,right,2025-05-15_11h28.04.509,RL_practice,2024.2.4,59.77514986558352,2025-05-15 11h28.21.623229 -0500,
