thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,cue_resp.rt,cue_resp.duration,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.cue_resp.rt,trials.cue_resp.duration,trials.all_keys.rt,trials.all_keys.duration,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
8,0,8,space,4.392554400023073,None,5,2.8438530997373164,None,40.517565899994224,k,None,40.81717359973118,40.817439899779856,43.81669579958543,43.81673550000414,44.81689799996093,44.81693429965526,46.31605529971421,0.27726729959249496,None,,,,,,,0,0,0,0,8,0,8,0,118.34450969984755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.517565899994224,118.33005949994549,118.34450969984755,118.34450969984755,118.34450969984755,118.34450969984755,118.62956069968641,k,right,1,10,3,0,4,3,None,40.81717359973118,40.817439899779856,118.62991949962452,118.64527749968693,118.64527749968693,121.64467879990116,121.64467879990116,121.62910989997908,43.81669579958543,43.81673550000414,121.63893999997526,121.64467879990116,121.64467879990116,,,122.62932829977944,stimuli/box_coin_transparent.png,44.81689799996093,44.81693429965526,122.629417499993,122.64439709996805,124.14515149965882,124.12849109992385,46.31605529971421,0.27726729959249496,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
9,0,9,space,4.392554400023073,None,5,2.8438530997373164,None,46.31753849983215,j,None,46.68387429974973,46.68420040002093,48.182090799789876,48.18212959961966,49.18256439967081,49.18261109990999,51.18152799969539,0.3378348001278937,None,,,,,,,0,0,0,0,9,0,9,0,124.14515149965882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.31753849983215,124.13002049969509,124.14515149965882,124.14515149965882,124.14515149965882,124.14515149965882,124.49625989980996,j,right,1,10,3,0,4,3,None,46.68387429974973,46.68420040002093,124.49668019963428,124.51147119980305,124.51147119980305,126.01128309965134,126.01128309965134,125.99450859986246,48.182090799789876,48.18212959961966,126.00418679974973,126.01128309965134,126.01128309965134,,,126.99498009961098,stimuli/box_empty_transparent.png,49.18256439967081,49.18261109990999,126.99510789988562,127.01083199959248,129.01109159970656,128.9939565998502,51.18152799969539,0.3378348001278937,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
10,0,10,space,4.392554400023073,None,5,2.8438530997373164,None,51.18371589994058,k,None,51.582702699583024,51.5830844999291,53.0824292995967,53.08246799977496,54.0824112999253,54.08244439959526,55.08353369962424,0.3756723999977112,None,,,,,,,0,0,0,0,10,0,10,0,129.01109159970656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.18371589994058,128.99621179979295,129.01109159970656,129.01109159970656,129.01109159970656,129.01109159970656,129.39506399957463,k,right,1,10,4,0,5,4,None,51.582702699583024,51.5830844999291,129.39556809980422,129.41061039967462,129.41061039967462,130.9110679998994,130.9110679998994,130.89484189962968,53.0824292995967,53.08246799977496,130.9052395997569,130.9110679998994,130.9110679998994,131.9107446996495,131.9107446996495,131.8948444998823,stimuli/box_coin_transparent.png,54.0824112999253,54.08244439959526,131.894921799656,131.9107446996495,132.911323599983,132.89596210001037,55.08353369962424,0.3756723999977112,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
11,0,11,space,4.392554400023073,None,5,2.8438530997373164,None,55.08596149971709,k,None,55.40033199964091,55.40061179967597,57.41503429971635,57.415071999654174,58.4162934999913,58.41632859967649,59.91576039977372,0.29330149991437793,None,,,,,,,0,0,0,0,11,0,11,0,132.911323599983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.08596149971709,132.89846179960296,132.911323599983,132.911323599983,132.911323599983,132.911323599983,133.2127132997848,k,right,1,10,5,0,6,5,None,55.40033199964091,55.40061179967597,133.21309169987217,133.2281039999798,133.2281039999798,135.24528729962185,135.24528729962185,135.22744950000197,57.41503429971635,57.415071999654174,135.23877259995788,135.24528729962185,135.24528729962185,,,136.22871459973976,stimuli/box_coin_transparent.png,58.4162934999913,58.41632859967649,136.2288089999929,136.24461309984326,137.74454349977896,137.72819589963183,59.91576039977372,0.29330149991437793,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
12,0,12,space,4.392554400023073,None,5,2.8438530997373164,None,59.91734219994396,k,None,60.31659229984507,60.31689209956676,61.31631019990891,61.31635729968548,62.31554099963978,62.315581899601966,65.31532809976488,0.38081760006025434,None,,,,,,,0,0,0,0,12,0,12,0,137.74454349977896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.91734219994396,137.72982389992103,137.74454349977896,137.74454349977896,137.74454349977896,137.74454349977896,138.1289801998064,k,right,0,10,5,0,7,5,None,60.31659229984507,60.31689209956676,138.1293731997721,138.14449919993058,138.14449919993058,139.14404559973627,139.14404559973627,139.12871879991144,61.31631019990891,61.31635729968548,139.1371811996214,139.14404559973627,139.14404559973627,140.1442023999989,140.1442023999989,140.127970200032,stimuli/box_empty_transparent.png,62.31554099963978,62.315581899601966,140.12806699983776,140.1442023999989,143.1441453997977,143.12776239961386,65.31532809976488,0.38081760006025434,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
13,0,13,space,4.392554400023073,None,5,2.8438530997373164,None,65.31712939962745,k,None,65.716872099787,65.71718469960615,66.21589439967647,66.215933999978,67.21628219960257,67.21631699986756,69.21542259957641,0.37086680019274354,None,,,,,,,0,0,0,0,13,0,13,0,143.1441453997977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.31712939962745,143.12961799977347,143.1441453997977,143.1441453997977,143.1441453997977,143.1441453997977,143.52923229988664,k,right,1,10,6,0,8,6,None,65.716872099787,65.71718469960615,143.52967049973086,143.54484339989722,143.54484339989722,144.04419379960746,144.04419379960746,144.0283073997125,66.21589439967647,66.215933999978,144.0379847995937,144.04419379960746,144.04419379960746,145.04392529977486,145.04392529977486,145.02871409989893,stimuli/box_coin_transparent.png,67.21628219960257,67.21631699986756,145.02879539970309,145.04392529977486,147.04362959973514,147.027854999993,69.21542259957641,0.37086680019274354,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
14,0,14,space,4.392554400023073,None,5,2.8438530997373164,None,69.2169351996854,k,None,69.56662269961089,69.56690549990162,71.06623069988564,71.06627749977633,72.06562599958852,72.06566409999505,73.06531549990177,0.32620619982481003,None,,,,,,,0,0,0,0,14,0,14,0,147.04362959973514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2169351996854,147.02941689966246,147.04362959973514,147.04362959973514,147.04362959973514,147.04362959973514,147.37899119965732,k,right,1,10,7,0,9,7,None,69.56662269961089,69.56690549990162,147.3793855998665,147.39525599963963,147.39525599963963,148.89387929998338,148.89387929998338,148.878639199771,71.06623069988564,71.06627749977633,148.88884599972516,148.89387929998338,148.89387929998338,149.89396709995344,149.89396709995344,149.87805669987574,stimuli/box_coin_transparent.png,72.06562599958852,72.06566409999505,149.8781465999782,149.89396709995344,150.89410059992224,150.87775119999424,73.06531549990177,0.32620619982481003,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
15,0,15,space,4.392554400023073,None,5,2.8438530997373164,None,73.0668420996517,k,None,73.60018319962546,73.60046049999073,74.61537469970062,74.61541349999607,75.61567289987579,75.6157076000236,77.61598889995366,0.5154206999577582,None,,,,,,,0,0,0,0,15,0,15,0,150.89410059992224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0668420996517,150.87932369997725,150.89410059992224,150.89410059992224,150.89410059992224,150.89410059992224,151.41256870003417,k,right,1,10,8,0,10,8,None,73.60018319962546,73.60046049999073,151.41294049983844,151.42911659972742,151.42911659972742,152.44443719973788,152.44443719973788,152.4277903996408,74.61537469970062,74.61541349999607,152.43850149959326,152.44443719973788,152.44443719973788,,,153.42810409981757,stimuli/box_coin_transparent.png,75.61567289987579,75.6157076000236,153.42818949976936,153.44380209967494,155.44477259973064,155.42842609994113,77.61598889995366,0.5154206999577582,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
16,0,16,space,4.392554400023073,None,5,2.8438530997373164,None,77.61753739975393,j,None,78.08329869993031,78.08369529992342,80.09787719976157,80.09792279964313,81.09825489996001,81.0982949999161,82.0988843999803,0.4483940997160971,None,,,,,,,0,0,0,0,16,0,16,0,155.44477259973064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.61753739975393,155.430019099731,155.44477259973064,155.44477259973064,155.44477259973064,155.44477259973064,155.89566859975457,j,right,1,10,8,0,10,8,None,78.08329869993031,78.08369529992342,155.8961814995855,155.91101409960538,155.91101409960538,157.9276806996204,157.9276806996204,157.910286499653,80.09787719976157,80.09792279964313,157.9199532996863,157.9276806996204,157.9276806996204,,,158.91068019997329,stimuli/box_empty_transparent.png,81.09825489996001,81.0982949999161,158.91078319959342,158.92676989967003,159.92740559997037,159.91132099973038,82.0988843999803,0.4483940997160971,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
17,0,17,space,4.392554400023073,None,5,2.8438530997373164,None,82.10040409956127,k,None,82.61646339995787,82.61672970000654,83.61557719996199,83.61562439985573,84.61537519982085,84.61540779983625,85.61449419986457,0.48948119999840856,None,,,,,,,0,0,0,0,17,0,17,0,159.92740559997037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.10040409956127,159.91288569988683,159.92740559997037,159.92740559997037,159.92740559997037,159.92740559997037,160.42885329993442,k,right,0,10,8,0,11,8,None,82.61646339995787,82.61672970000654,160.42920939996839,160.44429419981316,160.44429419981316,161.44320089975372,161.44320089975372,161.42798629961908,83.61557719996199,83.61562439985573,161.43645519996062,161.44320089975372,161.44320089975372,162.44303829967976,162.44303829967976,162.42780849989504,stimuli/box_empty_transparent.png,84.61537519982085,84.61540779983625,162.4278857000172,162.44303829967976,163.44305839994922,163.42692569969222,85.61449419986457,0.48948119999840856,None,,,,,,,,,,,,,,,,55555,right,no,None,2025-05-15_11h34.03.973,RL_out-of-scanner,2024.2.4,59.42572172362194,2025-05-15 11h34.18.394943 -0500,
