thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,coins_won_text.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029465300031006336,0.035203699953854084,0.035203699953854084,63.50993310008198,j,63.459377699997276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.51028920011595,63.519002799876034,63.519002799876034,78.40262319985777,j,14.87170819984749,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
0,0,0,space,2.55885409982875,None,5,4.078784499783069,None,0.0023615998215973377,j,0.7096130000427365,None,None,0.7334292996674776,0.733833400066942,1.7336707999929786,1.7337139998562634,2.7333247996866703,2.7333566998131573,4.731622099876404,,,,,,,0,0,0,0,0,0,0,0,85.10226800013334,,,,,,,,,,,,,,,,78.40303769987077,78.41817119996995,78.41817119996995,80.9868974997662,space,2.55885409982875,None,80.98697530012578,81.00289150001481,81.00289150001481,85.0865730997175,5,4.078784499783069,None,0.0023615998215973377,85.08900630008429,85.10226800013334,85.10226800013334,85.10226800013334,85.10226800013334,85.81994279986247,j,0.7096130000427365,None,right,1,15,0,0,0,0,None,0.7334292996674776,0.733833400066942,85.82048289990053,85.83593659987673,85.83593659987673,86.8367930999957,86.8367930999957,86.82023030007258,1.7336707999929786,1.7337139998562634,86.83024869998917,86.8367930999957,86.8367930999957,87.83516039978713,87.83516039978713,87.81992259994149,stimuli/box_empty_transparent.png,2.7333247996866703,2.7333566998131573,87.81999350013211,87.83516039978713,89.83499420015141,89.81820499990135,4.731622099876404,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
1,0,1,space,2.55885409982875,None,5,4.078784499783069,None,4.733917799778283,j,0.9958775998093188,None,['j'],5.75107689993456,5.751418199855834,7.24920369964093,7.249243299942464,8.265173399820924,8.265210799872875,9.76616539992392,[0.33372579980641603],[0.13837550021708012],,,,,0,0,0,0,1,0,1,0,89.83499420015141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.733917799778283,89.82057680003345,89.83499420015141,89.83499420015141,89.83499420015141,89.83499420015141,90.83760099997744,j,0.9958775998093188,None,right,1,15,0,0,0,0,['j'],5.75107689993456,5.751418199855834,90.8380609001033,90.85246299998835,90.85246299998835,92.3530966998078,92.3530966998078,92.33577359979972,7.24920369964093,7.249243299942464,92.34427709970623,92.3530966998078,92.3530966998078,,,93.35176050011069,stimuli/box_empty_transparent.png,8.265173399820924,8.265210799872875,93.35185489989817,93.36772979982197,94.86834809975699,94.85276190005243,9.76616539992392,[0.33372579980641603],[0.13837550021708012],,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
2,0,2,space,2.55885409982875,None,5,4.078784499783069,None,9.768146499991417,k,0.3060500998981297,None,None,10.099372299853712,10.099660099949688,11.099265200085938,11.099308599717915,12.099539999850094,12.09958150004968,15.099236099980772,,,,,,,0,0,0,0,2,0,2,0,94.86834809975699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.768146499991417,94.85479669971392,94.86834809975699,94.86834809975699,94.86834809975699,94.86834809975699,95.18589679989964,k,0.3060500998981297,None,right,1,15,1,0,1,1,None,10.099372299853712,10.099660099949688,95.18630860000849,95.20150109985843,95.20150109985843,96.20192499971017,96.20192499971017,96.18583650002256,11.099265200085938,11.099308599717915,96.19589129975066,96.20192499971017,96.20192499971017,97.20170600013807,97.20170600013807,97.18612889992073,stimuli/box_coin_transparent.png,12.099539999850094,12.09958150004968,97.18623310001567,97.20170600013807,100.20226259995252,100.18583589978516,15.099236099980772,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
3,0,3,space,2.55885409982875,None,5,4.078784499783069,None,15.10079830000177,k,0.45611280016601086,None,None,15.58353709988296,15.58385009970516,17.583078099880368,17.58312309999019,18.58322690008208,18.583259399980307,19.582128799986094,,,,,,,0,0,0,0,3,0,3,0,100.20226259995252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.10079830000177,100.18744139978662,100.20226259995252,100.20226259995252,100.20226259995252,100.20226259995252,100.67007570015267,k,0.45611280016601086,None,right,0,15,1,0,2,1,None,15.58353709988296,15.58385009970516,100.67049819976091,100.68535669986159,100.68535669986159,102.68483239971101,102.68483239971101,102.66965219983831,17.583078099880368,17.58312309999019,102.67836719984189,102.68483239971101,102.68483239971101,103.68488080007955,103.68488080007955,103.66982309985906,stimuli/box_empty_transparent.png,18.58322690008208,18.583259399980307,103.66989899985492,103.68488080007955,104.68541699973866,104.66872419975698,19.582128799986094,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
4,0,4,space,2.55885409982875,None,5,4.078784499783069,None,19.583742099814117,j,0.5803974000737071,None,None,20.18350060004741,20.183816799893975,21.183372399769723,21.18341749999672,22.182058999780566,22.182091400027275,24.681833599694073,,,,,,,0,0,0,0,4,0,4,0,104.68541699973866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.583742099814117,104.67038600007072,104.68541699973866,104.68541699973866,104.68541699973866,104.68541699973866,105.27005770010874,j,0.5803974000737071,None,right,0,15,1,0,2,1,None,20.18350060004741,20.183816799893975,105.27045919978991,105.28530179988593,105.28530179988593,106.28480529971421,106.28480529971421,106.26994480006397,21.183372399769723,21.18341749999672,106.27959010004997,106.28480529971421,106.28480529971421,107.28416649997234,107.28416649997234,107.26865610014647,stimuli/box_empty_transparent.png,22.182058999780566,22.182091400027275,107.26873089978471,107.28416649997234,109.78546490008011,109.76842979993671,24.681833599694073,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
5,0,5,space,2.55885409982875,None,5,4.078784499783069,None,24.68362069968134,k,0.39718890003859997,None,None,25.099741599988192,25.100041599944234,28.599401999730617,28.599447699729353,29.598958999849856,29.598991399630904,31.598386299796402,,,,,,,0,0,0,0,5,0,5,0,109.78546490008011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.68362069968134,109.77027079975232,109.78546490008011,109.78546490008011,109.78546490008011,109.78546490008011,110.18628689972684,k,0.39718890003859997,None,right,1,15,2,0,3,2,None,25.099741599988192,25.100041599944234,110.18668799987063,110.20204340014607,110.20204340014607,113.70118719991297,113.70118719991297,113.68597490014508,28.599401999730617,28.599447699729353,113.69624699978158,113.70118719991297,113.70118719991297,114.70153369987383,114.70153369987383,114.6855568997562,stimuli/box_coin_transparent.png,29.598958999849856,29.598991399630904,114.68563019996509,114.70153369987383,116.70209509972483,116.68498530006036,31.598386299796402,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
6,0,6,space,2.55885409982875,None,5,4.078784499783069,None,31.59989279974252,j,0.34989830013364553,None,None,31.982917599845678,31.983241899870336,32.98196249967441,32.98200650000945,33.98206140007824,33.98209919966757,34.98197819991037,,,,,,,0,0,0,0,6,0,6,0,116.70209509972483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.59989279974252,116.6865368001163,116.70209509972483,116.70209509972483,116.70209509972483,116.70209509972483,117.06947400001809,j,0.34989830013364553,None,right,1,15,2,0,3,2,None,31.982917599845678,31.983241899870336,117.0698839998804,117.08517669979483,117.08517669979483,118.08454479975626,118.08454479975626,118.06852620001882,32.98196249967441,32.98200650000945,118.07813829975203,118.08454479975626,118.08454479975626,119.08374230004847,119.08374230004847,119.06865409994498,stimuli/box_empty_transparent.png,33.98206140007824,33.98209919966757,119.06874440005049,119.08374230004847,120.08497359976172,120.06857739994302,34.98197819991037,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
7,0,7,space,2.55885409982875,None,5,4.078784499783069,None,34.98364829970524,k,0.3221972999162972,None,None,35.33327989978716,35.333541200030595,37.332017899956554,37.332055300008506,38.33197159972042,38.33200389984995,40.33230679994449,,,,,,,0,0,0,0,7,0,7,0,120.08497359976172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.98364829970524,120.07029239973053,120.08497359976172,120.08497359976172,120.08497359976172,120.08497359976172,120.41983609972522,k,0.3221972999162972,None,right,1,15,3,0,4,3,None,35.33327989978716,35.333541200030595,120.42018269980326,120.43533789971843,120.43533789971843,122.43464400013909,122.43464400013909,122.41859170002863,37.332017899956554,37.332055300008506,122.42851789994165,122.43464400013909,122.43464400013909,123.43459319975227,123.43459319975227,123.41856739996001,stimuli/box_coin_transparent.png,38.33197159972042,38.33200389984995,123.41864359984174,123.43459319975227,125.43461610004306,125.41890319995582,40.33230679994449,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
