thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin_img.stopped,magic_coin_text.stopped,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,left_box_lr.stopped,right_box_lr.stopped,prac_left_box.stopped,prac_right_box.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_box_switch_out.stopped,right_box_switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,k,0.5317183001898229,None,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,99.24323859997094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.79240769986063,103.80988019984215,105.32531599979848,105.30875810002908,,,,,,,,,,,,99.22820939961821,99.24323859997094,99.24323859997094,99.24323859997094,99.77839019987732,k,0.5317183001898229,None,99.78055589972064,99.79358810000122,99.79358810000122,101.29510489990935,101.29510489990935,101.27782760001719,101.28760519996285,101.29510489990935,101.29510489990935,103.79234559973702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,2025-05-15_09h51.51.787,RL_practice,2024.2.4,60.05046632079814,2025-05-15 09h52.21.448198 -0500,
1,0,1,,,,,,,k,0.4873552997596562,None,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,105.32531599979848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.82764719985425,109.84239749982953,110.8431049999781,110.82686489960179,,,,,,,,,,,,105.30892079975456,105.32531599979848,105.32531599979848,105.32531599979848,105.8282474996522,k,0.4873552997596562,None,105.83031799970195,105.84419809980318,105.84419809980318,107.34418449969962,107.34418449969962,107.32733489992097,107.33801459986717,107.34418449969962,107.34418449969962,109.82757729990408,109.84239749982953,109.84239749982953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,2025-05-15_09h51.51.787,RL_practice,2024.2.4,60.05046632079814,2025-05-15 09h52.21.448198 -0500,
2,0,2,,,,,,,k,0.3785105999559164,None,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,110.8431049999781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.22743209963664,115.24270759988576,116.24318719981238,116.22653899993747,,,,,,,,,,,,110.82704459968954,110.8431049999781,110.8431049999781,110.8431049999781,111.22737259976566,k,0.3785105999559164,None,111.22955459961668,111.24280349956825,111.24280349956825,112.74331919988617,112.74331919988617,112.72733189957216,112.73727379972115,112.74331919988617,112.74331919988617,115.22738789999858,115.24270759988576,115.24270759988576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,2025-05-15_09h51.51.787,RL_practice,2024.2.4,60.05046632079814,2025-05-15 09h52.21.448198 -0500,
3,0,3,,,,,,,k,0.3480210998095572,None,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,116.24318719981238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.59353119973093,120.60943099996075,122.60940979979932,122.59338389988989,,,,,,,,,,,,116.22670329967514,116.24318719981238,116.24318719981238,116.24318719981238,116.59446869976819,k,0.3480210998095572,None,116.59655399993062,116.61040529981256,116.61040529981256,118.10921279992908,118.10921279992908,118.09353969991207,118.10334179969504,118.10921279992908,118.10921279992908,120.59347780002281,120.60943099996075,120.60943099996075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,2025-05-15_09h51.51.787,RL_practice,2024.2.4,60.05046632079814,2025-05-15 09h52.21.448198 -0500,
4,0,4,,,,,,,k,0.4444299000315368,None,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,122.60940979979932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.06084269983694,127.07606210000813,129.07470399979502,129.05994589999318,,,,,,,,,,,,122.59357649972662,122.60940979979932,122.60940979979932,122.60940979979932,123.06017979979515,k,0.4444299000315368,None,123.06234900001436,123.07555929990485,123.07555929990485,124.57611609995365,124.57611609995365,124.56018349993974,124.57017740001902,124.57611609995365,124.57611609995365,127.06079999962822,127.07606210000813,127.07606210000813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,2025-05-15_09h51.51.787,RL_practice,2024.2.4,60.05046632079814,2025-05-15 09h52.21.448198 -0500,
5,0,5,,,,,,,k,0.35528780007734895,None,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,129.07470399979502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.4599158000201,133.47632989985868,134.99222979974002,134.9760021995753,,,,,,,,,,,,129.06016929959878,129.07470399979502,129.07470399979502,129.07470399979502,129.44360109977424,k,0.35528780007734895,None,129.44566159974784,129.4591849995777,129.4591849995777,,,130.95821559987962,130.9664523997344,130.97510089958087,130.97510089958087,133.45986539963633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,2025-05-15_09h51.51.787,RL_practice,2024.2.4,60.05046632079814,2025-05-15 09h52.21.448198 -0500,
6,0,6,,,,,,,k,1.3324289000593126,None,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,134.99222979974002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.32590849976987,140.3425216996111,141.8420521998778,141.82608359958977,,,,,,,,,,,,134.97621519956738,134.99222979974002,134.99222979974002,134.99222979974002,136.32577649969608,k,1.3324289000593126,None,136.32789259962738,136.34111459972337,136.34111459972337,137.84139749966562,137.84139749966562,137.82598399976268,137.83435070002452,137.84139749966562,137.84139749966562,140.3258553999476,140.3425216996111,140.3425216996111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,2025-05-15_09h51.51.787,RL_practice,2024.2.4,60.05046632079814,2025-05-15 09h52.21.448198 -0500,
7,0,7,,,,,,,k,0.6836836999282241,None,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,141.8420521998778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.5431688996032,146.55863179964945,148.57455549994484,148.55806229962036,,,,,,,,,,,,141.8262491999194,141.8420521998778,141.8420521998778,141.8420521998778,142.54177249968052,k,0.6836836999282241,None,142.54436079971492,142.55765279987827,142.55765279987827,,,144.04305629990995,144.05168769974262,144.0581656997092,144.0581656997092,146.54309789976105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,2025-05-15_09h51.51.787,RL_practice,2024.2.4,60.05046632079814,2025-05-15 09h52.21.448198 -0500,
8,0,8,,,,,,,j,0.40568080032244325,None,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,148.57455549994484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.99301259964705,153.0083701997064,156.02388729993254,156.00720569957048,,,,,,,,,,,,148.55827889963984,148.57455549994484,148.57455549994484,148.57455549994484,148.99331109970808,j,0.40568080032244325,None,148.99548059981316,149.00862059975043,149.00862059975043,150.5084657999687,150.5084657999687,150.4922750997357,150.50232239998877,150.5084657999687,150.5084657999687,152.99296719999984,153.0083701997064,153.0083701997064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,2025-05-15_09h51.51.787,RL_practice,2024.2.4,60.05046632079814,2025-05-15 09h52.21.448198 -0500,
9,0,9,,,,,,,j,0.4007040001451969,None,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,156.02388729993254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.4575447998941,160.4734232998453,161.47460019961,161.45831529982388,,,,,,,,,,,,156.0074113998562,156.02388729993254,156.02388729993254,156.02388729993254,156.44155449979007,j,0.4007040001451969,None,156.444998299703,156.45712209958583,156.45712209958583,,,157.94234969979152,157.95283690001816,157.95888349972665,157.95888349972665,160.45748429978266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,right,2025-05-15_09h51.51.787,RL_practice,2024.2.4,60.05046632079814,2025-05-15 09h52.21.448198 -0500,
