thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,all_keys.rt,all_keys.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.all_keys.rt,trials.all_keys.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,k,2.368999500060454,None,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,115.88597349985503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.28094159998,122.29682020004839,124.3122564998921,124.29610290005803,,,,,,,,115.871490099933,115.88597349985503,115.88597349985503,115.88597349985503,118.26904479996301,k,2.368999500060454,None,118.27256549987942,118.28423089999706,118.28423089999706,119.78312509995885,119.80028919992037,119.81811310001649,119.81811310001649,122.28089020005427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
1,0,1,,,,,,,j,0.5345564999151975,None,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,124.3122564998921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.87616320000961,128.89186279987916,130.40789969987236,130.3913298000116,,,,,,,,124.29627240006812,124.3122564998921,124.3122564998921,124.3122564998921,124.86298640002497,j,0.5345564999151975,None,124.86518299998716,124.87855360005051,124.87855360005051,126.37766680005006,126.38681970001198,126.39468259993009,126.39468259993009,128.8760903000366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
2,0,2,,,,,,,j,0.994862399995327,None,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,130.40789969987236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.4206182998605,135.43636559997685,136.43627889989875,136.41980609996244,,,,,,,,130.39159850007854,130.40789969987236,130.40789969987236,130.40789969987236,131.40807999996468,j,0.994862399995327,None,131.41176839987747,131.42358230007812,131.42358230007812,132.9068799999077,132.92047749995254,132.92789559997618,132.92789559997618,135.4205481999088,132.92789559997618,132.92789559997618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
3,0,3,,,,,,,k,0.5052479000296444,None,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,136.43627889989875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.96613990003243,140.9820890999399,143.49734320002608,143.48135820007883,,,,,,,,136.42008279985748,136.43627889989875,136.43627889989875,136.43627889989875,136.95420200005174,k,0.5052479000296444,None,136.95807330007665,136.96925770002417,136.96925770002417,138.46819119993597,138.48514640005305,138.49239429994486,138.49239429994486,140.96607039985247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
4,0,4,,,,,,,k,0.7241810001432896,None,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,143.49734320002608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.24357949988917,148.25958279985934,149.2591878999956,149.24284459999762,,,,,,,,143.48162219999358,143.49734320002608,143.49734320002608,143.49734320002608,144.23113629990257,k,0.7241810001432896,None,144.23475770000368,144.24663210008293,144.24663210008293,145.74561599991284,145.76304350001737,145.76991989999078,145.76991989999078,148.24350810004398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
5,0,5,,,,,,,k,0.5183985999319702,None,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,149.2591878999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.80623500002548,153.82248219987378,155.33777009998448,155.3214769999031,,,,,,,,149.2431004999671,149.2591878999956,149.2591878999956,149.2591878999956,149.7939307000488,k,0.5183985999319702,None,149.79747069999576,149.80901219998486,149.80901219998486,151.3077940000221,151.32215559994802,151.32948169996962,151.32948169996962,153.80616719997488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
6,0,6,,,,,,,k,0.43356629996560514,None,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,155.33777009998448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.78416000003926,159.80039509991184,161.29960709996521,161.2839520999696,,,,,,,,155.32176179997623,155.33777009998448,155.33777009998448,155.33777009998448,155.77278980007395,k,0.43356629996560514,None,155.776730600046,155.7874099998735,155.7874099998735,157.28634679992683,157.300444399938,157.30741690006107,157.30741690006107,159.78411290002987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
7,0,7,,,,,,,j,0.5335574999917299,None,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,161.29960709996521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.84648910001852,165.86232950002886,167.8610843999777,167.84571080002934,,,,,,,,161.28422520007007,161.29960709996521,161.29960709996521,161.29960709996521,161.83472799998708,j,0.5335574999917299,None,161.83844990003854,161.8494438000489,161.8494438000489,163.3327597999014,163.34969649999402,163.3568029999733,163.3568029999733,165.84642080008052,163.3568029999733,163.3568029999733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
8,0,8,,,,,,,k,2.119436400011182,None,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,167.8610843999777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0070147998631,174.02253769990057,175.53822820005007,175.5219087000005,,,,,,,,167.8459935998544,167.8610843999777,167.8610843999777,167.8610843999777,169.9943710998632,k,2.119436400011182,None,169.99647650006227,170.00939859985374,170.00939859985374,171.49281869991682,171.5064052999951,171.51354159996845,171.51354159996845,174.00694180000573,171.51354159996845,171.51354159996845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
9,0,9,,,,,,,j,0.7849534000270069,None,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,175.53822820005007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.3514034000691,180.3674641000107,182.38270090008155,182.3665147998836,,,,,,,,175.52216509985738,175.53822820005007,175.53822820005007,175.53822820005007,176.33980399998836,j,0.7849534000270069,None,176.34340430004522,176.35463439999148,176.35463439999148,177.85346430004574,177.87030160007998,177.87752450001426,177.87752450001426,180.35133389988914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281126,right,2025-05-15_08h37.55.754,RL_practice,2024.2.4,59.5529834719634,2025-05-15 08h38.04.154422 -0700,
