thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
8,0,8,space,2.064062099903822,None,5,2.7026381003670394,None,42.39939429983497,j,0.4162413999438286,None,None,42.83240430010483,42.832707199733704,45.83182069985196,45.83187199989334,46.84761659987271,46.84765370003879,48.348451300058514,,,,,,,0,0,0,0,8,0,8,0,109.2835528999567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.39939429983497,109.26865500025451,109.2835528999567,109.2835528999567,109.2835528999567,109.2835528999567,109.70157420029864,j,0.4162413999438286,None,right,1,11,4,0,4,4,None,42.83240430010483,42.832707199733704,109.70196640025824,109.71701430017129,109.71701430017129,112.71786130033433,112.71786130033433,112.70101090008393,45.83182069985196,45.83187199989334,112.70915010012686,112.71786130033433,112.71786130033433,113.71682420000434,stimuli/box_empty_transparent.png,46.84761659987271,46.84765370003879,113.71692770021036,113.73310120031238,115.23406170029193,115.21766340034083,48.348451300058514,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
9,0,9,space,2.064062099903822,None,5,2.7026381003670394,None,48.35001999977976,k,0.6042382000014186,None,None,48.982189000118524,48.98250119993463,50.481376599986106,50.48141469992697,51.481132300104946,51.481169200036675,53.481354699935764,,,,,,,0,0,0,0,9,0,9,0,115.23406170029193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.35001999977976,115.21927889995277,115.23406170029193,115.23406170029193,115.23406170029193,115.23406170029193,115.8513430999592,k,0.6042382000014186,None,right,0,11,4,0,5,4,None,48.982189000118524,48.98250119993463,115.85176580026746,115.86742080003023,115.86742080003023,117.36676130024716,117.36676130024716,117.35056890035048,50.481376599986106,50.48141469992697,117.3597383000888,117.36676130024716,117.36676130024716,118.35034010000527,stimuli/box_empty_transparent.png,51.481132300104946,51.481169200036675,118.350430900231,118.3667201003991,120.36621060036123,120.35056910011917,53.481354699935764,118.3667201003991,118.3667201003991,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
10,0,10,space,2.064062099903822,None,5,2.7026381003670394,None,53.48282489972189,j,0.4332184996455908,None,None,53.93240509973839,53.9328016997315,55.43176419986412,55.43180349981412,56.43146440014243,56.431505399756134,57.43104059994221,,,,,,,0,0,0,0,10,0,10,0,120.36621060036123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.48282489972189,120.35208460036665,120.36621060036123,120.36621060036123,120.36621060036123,120.36621060036123,120.80156210018322,j,0.4332184996455908,None,right,0,11,4,0,5,4,None,53.93240509973839,53.9328016997315,120.80206570029259,120.81641060020775,120.81641060020775,122.31695919996127,122.31695919996127,122.30095549998805,55.43176419986412,55.43180349981412,122.3092435002327,122.31695919996127,122.31695919996127,123.30066950013861,stimuli/box_empty_transparent.png,56.43146440014243,56.431505399756134,123.30077290022746,123.31589160021394,124.31641300022602,124.30024849995971,57.43104059994221,123.31589160021394,123.31589160021394,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
11,0,11,space,2.064062099903822,None,5,2.7026381003670394,None,57.43326890002936,j,0.661179100163281,None,None,58.115754100028425,58.11617930000648,60.113983899820596,60.11402169987559,61.11452020006254,61.11456390004605,62.613977199885994,,,,,,,0,0,0,0,11,0,11,0,124.31641300022602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.43326890002936,124.30254450021312,124.31641300022602,124.31641300022602,124.31641300022602,124.31641300022602,124.98489970015362,j,0.661179100163281,None,right,0,11,4,0,5,4,None,58.115754100028425,58.11617930000648,124.98545150039718,124.99943080032244,124.99943080032244,127.0009498000145,127.0009498000145,126.9831767003052,60.113983899820596,60.11402169987559,126.99142440035939,127.0009498000145,127.0009498000145,127.98371820012107,stimuli/box_empty_transparent.png,61.11452020006254,61.11456390004605,127.98383369995281,128.00001360010356,129.49961880035698,129.4831842002459,62.613977199885994,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
12,0,12,space,2.064062099903822,None,5,2.7026381003670394,None,62.6162124001421,j,0.4118985002860427,None,None,63.048916399944574,63.049264499917626,64.0477343997918,64.0477744997479,65.04722320009023,65.04725519986823,68.04666059976444,,,,,,,0,0,0,0,12,0,12,0,129.49961880035698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6162124001421,129.48548640031368,129.49961880035698,129.49961880035698,129.49961880035698,129.49961880035698,129.91808860003948,j,0.4118985002860427,None,right,0,11,4,0,5,4,None,63.048916399944574,63.049264499917626,129.91852520033717,129.93301440030336,129.93301440030336,130.9332870002836,130.9332870002836,130.91691810032353,64.0477343997918,64.0477744997479,130.92519850004464,130.9332870002836,130.9332870002836,131.91643590014428,stimuli/box_empty_transparent.png,65.04722320009023,65.04725519986823,131.91650950023904,131.93219060031697,134.93255690019578,134.91587610030547,68.04666059976444,131.93219060031697,131.93219060031697,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
13,0,13,space,2.064062099903822,None,5,2.7026381003670394,None,68.04854660015553,k,0.4417485003359616,None,None,68.51492139976472,68.5152742001228,69.0136342998594,69.01368060009554,70.0302297999151,70.0302935000509,72.02983180014417,,,,,,,0,0,0,0,13,0,13,0,134.93255690019578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.04854660015553,134.91781720006838,134.93255690019578,134.93255690019578,134.93255690019578,134.93255690019578,135.384076599963,k,0.4417485003359616,None,right,1,11,5,0,6,5,None,68.51492139976472,68.5152742001228,135.38454090012237,135.39942650031298,135.39942650031298,135.90085289999843,135.90085289999843,135.8828206001781,69.0136342998594,69.01368060009554,135.8954998003319,135.90085289999843,135.90085289999843,136.89943170035258,stimuli/box_coin_transparent.png,70.0302297999151,70.0302935000509,136.899560500402,136.91542270034552,138.9156210999936,138.89904410019517,72.02983180014417,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
14,0,14,space,2.064062099903822,None,5,2.7026381003670394,None,72.0313923000358,k,0.3116616001352668,None,None,72.36471700016409,72.36495869979262,73.88109749974683,73.88113699993119,74.88113489979878,74.88116980018094,75.87968060001731,,,,,,,0,0,0,0,14,0,14,0,138.9156210999936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0313923000358,138.90065290033817,138.9156210999936,138.9156210999936,138.9156210999936,138.9156210999936,139.2338886000216,k,0.3116616001352668,None,right,1,11,6,0,7,6,None,72.36471700016409,72.36495869979262,139.23421580018476,139.25128800002858,139.25128800002858,140.76688930019736,140.76688930019736,140.75028700008988,73.88109749974683,73.88113699993119,140.76110920030624,140.76688930019736,140.76688930019736,141.75034380005673,stimuli/box_coin_transparent.png,74.88113489979878,74.88116980018094,141.7504292000085,141.7654440002516,142.768643300049,142.7488951999694,75.87968060001731,141.7654440002516,141.7654440002516,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
15,0,15,space,2.064062099903822,None,5,2.7026381003670394,None,75.88115569995716,k,0.46448029996827245,None,None,76.3810931998305,76.38134530000389,77.38037979975343,77.38043119991198,78.380294600036,78.38032669993117,80.3793759001419,,,,,,,0,0,0,0,15,0,15,0,142.768643300049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.88115569995716,142.75041710026562,142.768643300049,142.768643300049,142.768643300049,142.768643300049,143.25026130024344,k,0.46448029996827245,None,right,1,11,7,0,8,7,None,76.3810931998305,76.38134530000389,143.25060310028493,143.26569369994104,143.26569369994104,144.26607990032062,144.26607990032062,144.24955740012228,77.38037979975343,77.38043119991198,144.26008900022134,144.26607990032062,144.26607990032062,145.24950060015544,stimuli/box_coin_transparent.png,78.380294600036,78.38032669993117,145.24958349997178,145.26513850037009,147.2652926002629,147.2485911003314,80.3793759001419,145.26513850037009,145.26513850037009,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
16,0,16,space,2.064062099903822,None,5,2.7026381003670394,None,80.38087989995256,j,0.7280155997723341,None,None,81.13223400013521,81.1325603001751,83.1298401998356,83.12987810000777,84.13044570013881,84.13048209995031,85.12952410010621,,,,,,,0,0,0,0,16,0,16,0,147.2652926002629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.38087989995256,147.25014020036906,147.2652926002629,147.2652926002629,147.2652926002629,147.2652926002629,148.00139910029247,j,0.7280155997723341,None,right,1,11,7,0,8,7,None,81.13223400013521,81.1325603001751,148.00181880034506,148.01554740034044,148.01554740034044,150.01577110029757,150.01577110029757,149.99903410021216,83.1298401998356,83.12987810000777,150.00937510002404,150.01577110029757,150.01577110029757,150.99965350003913,stimuli/box_empty_transparent.png,84.13044570013881,84.13048209995031,150.99974330002442,151.01529850019142,152.01538750017062,151.99873840017244,85.12952410010621,151.01529850019142,151.01529850019142,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
17,0,17,space,2.064062099903822,None,5,2.7026381003670394,None,85.13105199998245,k,0.3933872003108263,None,None,85.54767089989036,85.54801040003076,86.5466414000839,86.54668019991368,87.56308449991047,87.56311800004914,88.56370369996876,,,,,,,0,0,0,0,17,0,17,0,152.01538750017062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13105199998245,152.00031230039895,152.01538750017062,152.01538750017062,152.01538750017062,152.01538750017062,152.41681470023468,k,0.3933872003108263,None,right,1,11,8,0,9,8,None,85.54767089989036,85.54801040003076,152.41728190006688,152.43195500038564,152.43195500038564,153.43323840014637,153.43323840014637,153.41583169996738,86.5466414000839,86.54668019991368,153.4274913002737,153.43323840014637,153.43323840014637,154.4322929000482,stimuli/box_coin_transparent.png,87.56308449991047,87.56311800004914,154.43237900035456,154.44827560009435,155.4490871001035,155.43291530013084,88.56370369996876,,,,,,,,,,,,,,33333,right,no,None,2025-05-09_11h08.27.465,RL_out-of-scanner,2024.2.4,59.52901828888127,2025-05-09 11h08.48.227010 -0500,
