thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin_img.stopped,magic_coin_text.stopped,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,prac_left_box.stopped,prac_right_box.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_box_switch_out.stopped,right_box_switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,k,1.1169278998859227,None,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,105.41547900019214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.54919130029157,110.56526539986953,112.56543709989637,112.54861189983785,,,,,,,,,,105.40001949993894,105.41547900019214,105.41547900019214,105.41547900019214,106.53351850016043,k,1.1169278998859227,None,106.53567659994587,106.54883409989998,106.54883409989998,108.05047729983926,108.05047729983926,108.03379940008745,108.04370959987864,108.05047729983926,108.05047729983926,110.54911949997768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
1,0,1,,,,,,,k,0.530004299711436,None,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,112.56543709989637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.11582730012015,117.13177719991654,120.13243729993701,120.11643239995465,,,,,,,,,,112.54886060021818,112.56543709989637,112.56543709989637,112.56543709989637,113.10023820027709,k,0.530004299711436,None,113.1029423000291,113.11518390011042,113.11518390011042,114.61650789994746,114.61650789994746,114.59944320004433,114.61087400000542,114.61650789994746,114.61650789994746,117.11574320029467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
2,0,2,,,,,,,k,0.6467543998733163,None,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,120.13243729993701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.7838715002872,124.79873980022967,126.29853340005502,126.28215439990163,,,,,,,,,,120.11660060007125,120.13243729993701,120.13243729993701,120.13243729993701,120.78394380025566,k,0.6467543998733163,None,120.78619199991226,120.79922900022939,120.79922900022939,122.29969889996573,122.29969889996573,122.28419629996642,122.29418030008674,122.29969889996573,122.29969889996573,124.78381770011038,124.79873980022967,124.79873980022967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
3,0,3,,,,,,,k,0.46116850012913346,None,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,126.29853340005502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.7668594000861,130.78240119991824,132.78229829994962,132.7664761999622,,,,,,,,,,126.28231880022213,126.29853340005502,126.29853340005502,126.29853340005502,126.76636529993266,k,0.46116850012913346,None,126.7685114000924,126.78284829994664,126.78284829994664,128.28240490006283,128.28240490006283,128.26681610010564,128.27657550014555,128.28240490006283,128.28240490006283,130.76679089991376,130.78240119991824,130.78240119991824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
4,0,4,,,,,,,k,0.43473280034959316,None,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,132.78229829994962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.24906150018796,137.26524139987305,139.2658259999007,139.24878810020164,,,,,,,,,,132.76667740009725,132.78229829994962,132.78229829994962,132.78229829994962,133.2335810000077,k,0.43473280034959316,None,133.23611660022289,133.24946480011567,133.24946480011567,,,134.74801019998267,134.75793300010264,134.76502839988098,134.76502839988098,137.24900159984827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
5,0,5,,,,,,,k,0.45111790020018816,None,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,139.2658259999007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.73329410003498,143.74793990002945,144.74923219997436,144.73224479984492,,,,,,,,,,139.24897880014032,139.2658259999007,139.2658259999007,139.2658259999007,139.73367020022124,k,0.45111790020018816,None,139.73577739996836,139.74936350015923,139.74936350015923,141.2495114998892,141.2495114998892,141.232427299954,141.24308100016788,141.2495114998892,141.2495114998892,143.7332486002706,143.74793990002945,143.74793990002945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
6,0,6,,,,,,,j,0.5956843998283148,None,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,144.74923219997436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.36471359990537,149.38060710020363,150.88223019987345,150.86605190020055,,,,,,,,,,144.73240699991584,144.74923219997436,144.74923219997436,144.74923219997436,145.34974109986797,j,0.5956843998283148,None,145.35227699996904,145.36581410001963,145.36581410001963,,,146.8643602002412,146.87441590009257,146.8814273001626,146.8814273001626,149.3646428002976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
7,0,7,,,,,,,k,0.3450412997044623,None,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,150.88223019987345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.24855259992182,155.26408379990608,158.2638774998486,158.2471342999488,,,,,,,,,,150.8662324999459,150.88223019987345,150.88223019987345,150.88223019987345,151.2330277999863,k,0.3450412997044623,None,151.23511329991743,151.24868049984798,151.24868049984798,,,152.7474671001546,152.75654920004308,152.7647009002976,152.7647009002976,155.2485000002198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
8,0,8,,,,,,,j,0.8769422001205385,None,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,158.2638774998486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.14910069992766,163.16495910007507,166.16399220004678,166.14894849993289,,,,,,,,,,158.24734009988606,158.2638774998486,158.2638774998486,158.2638774998486,159.14859740016982,j,0.8769422001205385,None,159.15111600002274,159.16411110013723,159.16411110013723,,,160.64916600007564,160.66024579992518,160.66598880011588,160.66598880011588,163.14904789999127,163.16495910007507,163.16495910007507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
9,0,9,,,,,,,k,0.5376524003222585,None,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,166.16399220004678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.73036900022998,170.74661060003564,171.74776090029627,171.7319550998509,,,,,,,,,,166.1491612000391,166.16399220004678,166.16399220004678,166.16399220004678,166.71587330009788,k,0.5376524003222585,None,166.71837150026113,166.73187209991738,166.73187209991738,168.2313855001703,168.2313855001703,168.21540200011805,168.22341189999133,168.2313855001703,168.2313855001703,170.73030410008505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33333,right,2025-05-09_11h02.51.773,RL_practice,2024.2.4,60.088750991531406,2025-05-09 11h03.10.547868 -0500,
