thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
8,0,8,space,35.62098659994081,None,5,2.950730500044301,None,40.40221660002135,k,0.3067528000101447,None,None,40.73455419996753,40.734747000038624,43.7484077999834,43.74846379994415,44.74772630003281,44.74774849996902,46.262443100102246,,,,,,,0,0,0,0,8,0,8,0,209.03543009981513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.40221660002135,209.0207575999666,209.03543009981513,209.03543009981513,209.03543009981513,209.03543009981513,209.35301689989865,k,0.3067528000101447,None,right,0,10,6,0,7,6,None,40.73455419996753,40.734747000038624,209.3532870998606,209.36840829998255,209.36840829998255,212.38294139993377,212.38294139993377,212.36685769981705,43.7484077999834,43.74846379994415,212.37325209984556,212.38294139993377,212.38294139993377,213.36623139982112,stimuli/box_empty_transparent.png,44.74772630003281,44.74774849996902,213.36628539999947,213.38185000000522,214.89724969980307,214.8809503999073,46.262443100102246,213.38185000000522,213.38185000000522,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
9,0,9,space,35.62098659994081,None,5,2.950730500044301,None,46.26426389999688,j,0.4296305999159813,None,None,46.713093400001526,46.713310400024056,48.21158690005541,48.2116155999247,49.2265528999269,49.22659659991041,51.24194029998034,,,,,,,0,0,0,0,9,0,9,0,214.89724969980307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.26426389999688,214.8828214998357,214.89724969980307,214.89724969980307,214.89724969980307,214.89724969980307,215.33155859983526,j,0.4296305999159813,None,right,0,10,6,0,7,6,None,46.713093400001526,46.713310400024056,215.33185069984756,215.34700219985098,215.34700219985098,216.84704439993948,216.84704439993948,216.8300728998147,48.21158690005541,48.2116155999247,216.8359493999742,216.84704439993948,216.84704439993948,217.8450368999038,stimuli/box_empty_transparent.png,49.2265528999269,49.22659659991041,217.84513409994543,217.86128429998644,219.87682409980334,219.86042879987508,51.24194029998034,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
10,0,10,space,35.62098659994081,None,5,2.950730500044301,None,51.24315969995223,j,0.42967410013079643,None,None,51.69220090005547,51.692533100023866,53.20742750004865,53.20745419990271,54.22240400011651,54.22245240001939,55.23847520002164,,,,,,,0,0,0,0,10,0,10,0,219.87682409980334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.24315969995223,219.86170109990053,219.87682409980334,219.87682409980334,219.87682409980334,219.87682409980334,220.3106645999942,j,0.42967410013079643,None,right,0,10,6,0,7,6,None,51.69220090005547,51.692533100023866,220.3110864998307,220.32663219980896,220.32663219980896,221.84266530000605,221.84266530000605,221.8259148998186,53.20742750004865,53.20745419990271,221.8315566999372,221.84266530000605,221.84266530000605,222.84088709997013,stimuli/box_empty_transparent.png,54.22240400011651,54.22245240001939,222.84101730003022,222.85784989991225,223.87359229987487,223.85696399980225,55.23847520002164,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
11,0,11,space,35.62098659994081,None,5,2.950730500044301,None,55.23980599991046,k,0.3541239001788199,None,None,55.62261090008542,55.62282450008206,57.63740219990723,57.637433799915016,58.65259560011327,58.652650400064886,60.16787889995612,,,,,,,0,0,0,0,11,0,11,0,223.87359229987487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.23980599991046,223.8583470999729,223.87359229987487,223.87359229987487,223.87359229987487,223.87359229987487,224.24106489983387,k,0.3541239001788199,None,right,1,10,7,0,8,7,None,55.62261090008542,55.62282450008206,224.24136879993603,224.25651139998809,224.25651139998809,226.27220479981042,226.27220479981042,226.25588509999216,57.63740219990723,57.637433799915016,226.2630774998106,226.27220479981042,226.27220479981042,227.27107369992882,stimuli/box_coin_transparent.png,58.65259560011327,58.652650400064886,227.2712255998049,227.28685029991902,228.80299609992653,228.78636719984934,60.16787889995612,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
12,0,12,space,35.62098659994081,None,5,2.950730500044301,None,60.16935129999183,k,0.9021305998321623,None,None,61.101901399903,61.102083900012076,62.11665110010654,62.116711100097746,63.132162200054154,63.1322071000468,66.14646849990822,,,,,,,0,0,0,0,12,0,12,0,228.80299609992653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.16935129999183,228.78789749997668,228.80299609992653,228.80299609992653,228.80299609992653,228.80299609992653,229.7203778999392,k,0.9021305998321623,None,right,0,10,7,0,9,7,None,61.101901399903,61.102083900012076,229.72061939979903,229.73575059999712,229.73575059999712,230.75178739987314,230.75178739987314,230.7351108000148,62.11665110010654,62.116711100097746,230.74197759991512,230.75178739987314,230.75178739987314,231.75064719980583,stimuli/box_empty_transparent.png,63.132162200054154,63.1322071000468,231.7507654998917,231.76670079980977,234.78134500002488,234.7649589998182,66.14646849990822,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
13,0,13,space,35.62098659994081,None,5,2.950730500044301,None,66.14775900007226,k,0.3777757999487221,None,None,66.54752500005998,66.54770520003513,67.04642009991221,67.04644740000367,68.06152110011317,68.06154439994134,70.0768927000463,,,,,,,0,0,0,0,13,0,13,0,234.78134500002488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.14775900007226,234.76629829988815,234.78134500002488,234.78134500002488,234.78134500002488,234.78134500002488,235.16600119997747,k,0.3777757999487221,None,right,1,10,8,0,10,8,None,66.54752500005998,66.54770520003513,235.16624099994078,235.18181600002572,235.18181600002572,235.68139489996247,235.68139489996247,235.66490899981,67.04642009991221,67.04644740000367,235.6721256999299,235.68139489996247,235.68139489996247,236.68002169998363,stimuli/box_coin_transparent.png,68.06152110011317,68.06154439994134,236.68008319986984,236.69605089980178,238.7115006998647,238.69538069982082,70.0768927000463,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
14,0,14,space,35.62098659994081,None,5,2.950730500044301,None,70.07804680010304,k,0.4806971000507474,None,None,70.57740100007504,70.57760039996356,72.09241420007311,72.09244260005653,73.10765059990808,73.10769130010158,74.10695439996198,,,,,,,0,0,0,0,14,0,14,0,238.7115006998647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.07804680010304,238.69659019983374,238.7115006998647,238.7115006998647,238.7115006998647,238.7115006998647,239.19586430001073,k,0.4806971000507474,None,right,0,10,8,0,11,8,None,70.57740100007504,70.57760039996356,239.19614019989967,239.21151069994085,239.21151069994085,240.72710879985243,240.72710879985243,240.71090239984915,72.09241420007311,72.09244260005653,240.71704299980775,240.72710879985243,240.72710879985243,241.72613869979978,stimuli/box_empty_transparent.png,73.10765059990808,73.10769130010158,241.7262493998278,241.7421677999664,242.74226589989848,242.72545949998312,74.10695439996198,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
15,0,15,space,35.62098659994081,None,5,2.950730500044301,None,74.10813660011627,k,0.567670299904421,None,None,74.70777509990148,74.70799740008079,75.70616469997913,75.70619029994123,76.72188839991577,76.72193820006214,78.73694660002366,,,,,,,0,0,0,0,15,0,15,0,242.74226589989848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.10813660011627,242.72668039985,242.74226589989848,242.74226589989848,242.74226589989848,242.74226589989848,243.32622299995273,k,0.567670299904421,None,right,1,10,9,0,12,9,None,74.70777509990148,74.70799740008079,243.32654369994998,243.3414594999049,243.3414594999049,244.3409515998792,244.3409515998792,244.32465579989366,75.70616469997913,75.70619029994123,244.3313202999998,244.3409515998792,244.3409515998792,245.34037299989723,stimuli/box_coin_transparent.png,76.72188839991577,76.72193820006214,245.34049419988878,245.35579719999805,247.37136289989576,247.35545269981958,78.73694660002366,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
16,0,16,space,35.62098659994081,None,5,2.950730500044301,None,78.73789070011117,j,0.4122084002010524,None,None,79.1702845999971,79.17049250006676,81.18485990003683,81.18490230012685,82.200476200087,82.20051410002634,83.19940649997443,,,,,,,0,0,0,0,16,0,16,0,247.37136289989576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.73789070011117,247.3564321999438,247.37136289989576,247.37136289989576,247.37136289989576,247.37136289989576,247.7887575000059,j,0.4122084002010524,None,right,1,10,9,0,12,9,None,79.1702845999971,79.17049250006676,247.78903019987047,247.8045440998394,247.8045440998394,249.81980389985256,249.81980389985256,249.80333049991168,81.18485990003683,81.18490230012685,249.809198099887,249.81980389985256,249.81980389985256,250.8189675998874,stimuli/box_empty_transparent.png,82.200476200087,82.20051410002634,250.81907219998538,250.834814599948,251.8348639998585,251.817903699819,83.19940649997443,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
17,0,17,space,35.62098659994081,None,5,2.950730500044301,None,83.20080689992756,k,0.4999261999037117,None,None,83.73370889993384,83.73400539997965,84.73246639990248,84.73251769994386,85.747261099983,85.74728440004401,86.76320940000005,,,,,,,0,0,0,0,17,0,17,0,251.8348639998585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.20080689992756,251.81934709986672,251.8348639998585,251.8348639998585,251.8348639998585,251.8348639998585,252.35214839992113,k,0.4999261999037117,None,right,0,10,9,0,13,9,None,83.73370889993384,83.73400539997965,252.35255769989453,252.36757449992,252.36757449992,253.36783079989254,253.36783079989254,253.35090979980305,84.73246639990248,84.73251769994386,253.35660899989307,253.36783079989254,253.36783079989254,254.36576309986413,stimuli/box_empty_transparent.png,85.747261099983,85.74728440004401,254.36582199996337,254.3825500998646,255.3984493999742,255.3817169999238,86.76320940000005,,,,,,,,,,,,,,917653,right,no,None,2025-05-16_13h25.05.159,RL_out-of-scanner,2024.2.4,59.86715476169726,2025-05-16 13h25.23.183743 -0700,
