thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03239039983600378,0.03779800049960613,0.03779800049960613,45.79583920072764,j,45.7479716995731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,no,None,2025-05-21_13h12.07.863,RL_out-of-scanner,2024.2.4,60.0937703897127,2025-05-21 13h12.39.206334 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.796180500648916,45.805429900065064,45.805429900065064,60.70603900030255,j,14.893697200343013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,no,None,2025-05-21_13h12.07.863,RL_out-of-scanner,2024.2.4,60.0937703897127,2025-05-21 13h12.39.206334 -0500,
0,0,0,space,4.109915900044143,None,5,7.605671299621463,None,0.0023990003392100334,j,0.5289837997406721,None,None,0.55047080013901,0.5507629001513124,1.549936099909246,1.5499725006520748,2.5502482000738382,2.550279300659895,4.549716800451279,,,,,,,0,0,0,0,0,0,0,0,72.4882127000019,,,,,,,,,,,,,,,,60.706542500294745,60.721219800412655,60.721219800412655,64.84002820029855,space,4.109915900044143,None,64.84010630007833,64.85569099988788,64.85569099988788,72.47176290024072,5,7.605671299621463,None,0.0023990003392100334,72.47423310019076,72.4882127000019,72.4882127000019,72.4882127000019,72.4882127000019,73.02222640067339,j,0.5289837997406721,None,right,1,13,0,0,0,0,None,0.55047080013901,0.5507629001513124,73.02259160019457,73.03803580068052,73.03803580068052,74.0385802006349,74.0385802006349,74.02170740067959,1.549936099909246,1.5499725006520748,74.0289550004527,74.0385802006349,74.0385802006349,75.03753050044179,75.03753050044179,75.02203700039536,stimuli/box_empty_transparent.png,2.5502482000738382,2.550279300659895,75.0221057003364,75.03753050044179,77.03816100023687,77.02149910014123,4.549716800451279,,,,,,,,,,,,,,,,77777,right,no,None,2025-05-21_13h12.07.863,RL_out-of-scanner,2024.2.4,60.0937703897127,2025-05-21 13h12.39.206334 -0500,
1,0,1,space,4.109915900044143,None,5,7.605671299621463,None,4.551556100137532,k,0.2639504997059703,None,None,4.834828500635922,4.835146999917924,6.333612600341439,6.333660500124097,7.349646700546145,7.349677400663495,8.849663999862969,,,,,,,0,0,0,0,1,0,1,0,77.03816100023687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.551556100137532,77.02341760043055,77.03816100023687,77.03816100023687,77.03816100023687,77.03816100023687,77.30656679999083,k,0.2639504997059703,None,right,1,13,1,0,1,1,None,4.834828500635922,4.835146999917924,77.30699180066586,77.32167700026184,77.32167700026184,78.82262810040265,78.82262810040265,78.80536390002817,6.333612600341439,6.333660500124097,78.81478620041162,78.82262810040265,78.82262810040265,,,79.82142669986933,stimuli/box_coin_transparent.png,7.349646700546145,7.349677400663495,79.82150499988347,79.83803360071033,81.33857110049576,81.3214495005086,8.849663999862969,,,,,,,,,,,,,,,,77777,right,no,None,2025-05-21_13h12.07.863,RL_out-of-scanner,2024.2.4,60.0937703897127,2025-05-21 13h12.39.206334 -0500,
2,0,2,space,4.109915900044143,None,5,7.605671299621463,None,8.851344699971378,k,0.533988299779594,None,None,9.417397700250149,9.417814400047064,10.416547000408173,10.416581200435758,11.416714600287378,11.41675310023129,14.415817400440574,,,,,,,0,0,0,0,2,0,2,0,81.33857110049576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.851344699971378,81.32318890001625,81.33857110049576,81.33857110049576,81.33857110049576,81.33857110049576,81.88912039995193,k,0.533988299779594,None,right,0,13,1,0,2,1,None,9.417397700250149,9.417814400047064,81.88965690042824,81.90488850045949,81.90488850045949,82.90509770065546,82.90509770065546,82.88831850048155,10.416547000408173,10.416581200435758,82.8968144999817,82.90509770065546,82.90509770065546,83.90428090002388,83.90428090002388,83.88849980011582,stimuli/box_empty_transparent.png,11.416714600287378,11.41675310023129,83.888582800515,83.90428090002388,86.90761139988899,86.88760109990835,14.415817400440574,,,,,,,,,,,,,,,,77777,right,no,None,2025-05-21_13h12.07.863,RL_out-of-scanner,2024.2.4,60.0937703897127,2025-05-21 13h12.39.206334 -0500,
3,0,3,space,4.109915900044143,None,5,7.605671299621463,None,14.417502299882472,j,0.2930215997621417,None,None,14.734315400011837,14.734714900143445,16.73341920040548,16.733464900404215,17.74985030014068,17.749884500168264,18.74956599995494,,,,,,,0,0,0,0,3,0,3,0,86.90761139988899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.417502299882472,86.88933979999274,86.90761139988899,86.90761139988899,86.90761139988899,86.90761139988899,87.20604149997234,j,0.2930215997621417,None,right,0,13,1,0,2,1,None,14.734315400011837,14.734714900143445,87.20656340010464,87.22114080004394,87.22114080004394,89.22237940039486,89.22237940039486,89.2051754007116,16.73341920040548,16.733464900404215,89.21406150050461,89.22237940039486,89.22237940039486,,,90.22163179982454,stimuli/box_empty_transparent.png,17.74985030014068,17.749884500168264,90.22171860001981,90.23722309991717,91.23757120035589,91.22135040070862,18.74956599995494,,,,,,,,,,,,,,,,77777,right,no,None,2025-05-21_13h12.07.863,RL_out-of-scanner,2024.2.4,60.0937703897127,2025-05-21 13h12.39.206334 -0500,
4,0,4,space,4.109915900044143,None,5,7.605671299621463,None,18.75126050040126,k,0.5314560998231173,None,None,19.300940100103617,19.301185900345445,20.299825600348413,20.299870500341058,21.299790600314736,21.29982480034232,23.799300599843264,,,,,,,0,0,0,0,4,0,4,0,91.23757120035589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.75126050040126,91.22310070041567,91.23757120035589,91.23757120035589,91.23757120035589,91.23757120035589,91.77269560005516,k,0.5314560998231173,None,right,1,13,2,0,3,2,None,19.300940100103617,19.301185900345445,91.77301899995655,91.78766989987344,91.78766989987344,92.78847390040755,92.78847390040755,92.7715838002041,20.299825600348413,20.299870500341058,92.78175299987197,92.78847390040755,92.78847390040755,93.78707419987768,93.78707419987768,93.77157060056925,stimuli/box_coin_transparent.png,21.299790600314736,21.29982480034232,93.77166520059109,93.78707419987768,96.28758340049535,96.27108930051327,23.799300599843264,,,,,,,,,,,,,,,,77777,right,no,None,2025-05-21_13h12.07.863,RL_out-of-scanner,2024.2.4,60.0937703897127,2025-05-21 13h12.39.206334 -0500,
5,0,5,space,4.109915900044143,None,5,7.605671299621463,None,23.800892599858344,k,0.2978835003450513,None,None,24.117171400226653,24.11749320011586,27.616157799959183,27.6161996005103,28.632594800554216,28.632625999860466,30.631979200057685,,,,,,,0,0,0,0,5,0,5,0,96.28758340049535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.800892599858344,96.2727329004556,96.28758340049535,96.28758340049535,96.28758340049535,96.28758340049535,96.58892550040036,k,0.2978835003450513,None,right,1,13,3,0,4,3,None,24.117171400226653,24.11749320011586,96.5893406001851,96.60416659992188,96.60416659992188,100.10492790024728,100.10492790024728,100.0879190005362,27.616157799959183,27.6161996005103,100.09841820038855,100.10492790024728,100.10492790024728,,,101.104378500022,stimuli/box_coin_transparent.png,28.632594800554216,28.632625999860466,101.104457099922,101.120741000399,103.12065920047462,103.10376329999417,30.631979200057685,,,,,,,,,,,,,,,,77777,right,no,None,2025-05-21_13h12.07.863,RL_out-of-scanner,2024.2.4,60.0937703897127,2025-05-21 13h12.39.206334 -0500,
6,0,6,space,4.109915900044143,None,5,7.605671299621463,None,30.63388179987669,k,0.2539517004042864,None,None,30.916622799821198,30.916844400577247,31.91593880020082,31.91598550044,32.91593400016427,32.91596870031208,33.915501000359654,,,,,,,0,0,0,0,6,0,6,0,103.12065920047462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.63388179987669,103.10572620015591,103.12065920047462,103.12065920047462,103.12065920047462,103.12065920047462,103.38837790023535,k,0.2539517004042864,None,right,1,13,4,0,5,4,None,30.916622799821198,30.916844400577247,103.38867550063878,103.40392760001123,103.40392760001123,104.40451890043914,104.40451890043914,104.38769040070474,31.91593880020082,31.91598550044,104.3970493003726,104.40451890043914,104.40451890043914,105.40345490071923,105.40345490071923,105.38771590031683,stimuli/box_coin_transparent.png,32.91593400016427,32.91596870031208,105.38780240062624,105.40345490071923,106.40393420029432,106.38728180062026,33.915501000359654,,,,,,,,,,,,,,,,77777,right,no,None,2025-05-21_13h12.07.863,RL_out-of-scanner,2024.2.4,60.0937703897127,2025-05-21 13h12.39.206334 -0500,
7,0,7,space,4.109915900044143,None,5,7.605671299621463,None,33.91705560032278,k,0.30170360021293163,None,None,34.23614720068872,34.23638970032334,36.23254710063338,36.232586700469255,37.23244039993733,37.232470099814236,39.23206310067326,,,,,,,0,0,0,0,7,0,7,0,106.40393420029432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.91705560032278,106.38888899981976,106.40393420029432,106.40393420029432,106.40393420029432,106.40393420029432,106.70790520031005,k,0.30170360021293163,None,right,1,13,5,0,6,5,None,34.23614720068872,34.23638970032334,106.70821690000594,106.7204686999321,106.7204686999321,108.72096930071712,108.72096930071712,108.7043150998652,36.23254710063338,36.232586700469255,108.71392140071839,108.72096930071712,108.72096930071712,109.72027260065079,109.72027260065079,109.70422490034252,stimuli/box_coin_transparent.png,37.23244039993733,37.232470099814236,109.70429950021207,109.72027260065079,111.72044950071722,111.70384770072997,39.23206310067326,,,,,,,,,,,,,,,,77777,right,no,None,2025-05-21_13h12.07.863,RL_out-of-scanner,2024.2.4,60.0937703897127,2025-05-21 13h12.39.206334 -0500,
