thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin_img.stopped,magic_coin_text.stopped,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_left_box.stopped,prac_right_box.stopped,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,left_box_switch_out.stopped,right_box_switch_out.stopped,switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,k,1.2733682002872229,None,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,109.81415759958327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.09800349920988,115.11354449950159,117.11390689946711,117.09730519913137,,,,,,,,109.7986425999552,109.81415759958327,109.81415759958327,109.81415759958327,111.09785549994558,k,1.2733682002872229,None,111.09952659998089,111.11375969927758,111.11375969927758,112.61465839948505,112.61465839948505,112.59807970002294,112.60750519949943,112.61465839948505,112.61465839948505,115.11354449950159,115.11354449950159,115.09795379918069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
1,0,1,,,,,,,k,0.32517499942332506,None,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,117.11390689946711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.46393089927733,121.47970939986408,123.48029209952801,123.46382049936801,,,,,,,,117.09748819936067,117.11390689946711,117.11390689946711,117.11390689946711,117.44886639993638,k,0.32517499942332506,None,117.45062589924783,117.46714259963483,117.46714259963483,,,118.96401499956846,118.97423039935529,118.98111669998616,118.98111669998616,,,121.4638805994764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
2,0,2,,,,,,,k,0.550050400197506,None,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,123.48029209952801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.03065349999815,128.04623600002378,130.04646619968116,130.02991099935025,,,,,,,,123.46403809916228,123.48029209952801,123.48029209952801,123.48029209952801,124.03149589989334,k,0.550050400197506,None,124.03327689971775,124.04695509932935,124.04695509932935,125.54720759950578,125.54720759950578,125.53092069923878,125.53980379924178,125.54720759950578,125.54720759950578,128.04623600002378,128.04623600002378,128.0306102996692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
3,0,3,,,,,,,k,0.5960253998637199,None,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,130.04646619968116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.64678299985826,134.662593299523,137.6632739994675,137.64673019945621,,,,,,,,130.03011289983988,130.04646619968116,130.04646619968116,130.04646619968116,130.6474108994007,k,0.5960253998637199,None,130.6491525992751,130.66333689913154,130.66333689913154,132.16383960004896,132.16383960004896,132.14747899957,132.15710489917547,132.16383960004896,132.16383960004896,134.662593299523,134.662593299523,134.6467267991975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
4,0,4,,,,,,,k,0.7753735994920135,None,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,137.6632739994675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.46331839915365,142.47931469976902,144.97955509927124,144.9632821995765,,,,,,,,137.6469845995307,137.6632739994675,137.6632739994675,137.6632739994675,138.44797539990395,k,0.7753735994920135,None,138.4515935992822,138.4634535992518,138.4634535992518,139.9662653999403,139.9662653999403,139.94781239982694,139.96063849981874,139.9662653999403,139.9662653999403,,,142.4632683992386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
5,0,5,,,,,,,k,0.46627689991146326,None,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,144.97955509927124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.44681129977107,149.4624806996435,151.96294309943914,151.94743669964373,,,,,,,,144.96346049942076,144.97955509927124,144.97955509927124,144.97955509927124,145.44756879936904,k,0.46627689991146326,None,145.45103709958494,145.4628426991403,145.4628426991403,146.9635291993618,146.9635291993618,146.9469639994204,146.95719739980996,146.9635291993618,146.9635291993618,149.4624806996435,149.4624806996435,149.44675829913467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
6,0,6,,,,,,,j,0.31998979952186346,None,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,151.96294309943914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.29674149956554,156.31213509943336,158.8123199995607,158.79588739946485,,,,,,,,151.94758599996567,151.96294309943914,151.96294309943914,151.96294309943914,152.2971073994413,j,0.31998979952186346,None,152.3001093994826,152.3127034995705,152.3127034995705,153.8131008995697,153.8131008995697,153.79673909954727,153.8076744992286,153.8131008995697,153.8131008995697,156.31213509943336,156.31213509943336,156.29667209926993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
7,0,7,,,,,,,j,0.32494619954377413,None,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,158.8123199995607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.16341749951243,163.1788877993822,164.17923309933394,164.16292059980333,,,,,,,,158.79603399988264,158.8123199995607,158.8123199995607,158.8123199995607,159.14669589977711,j,0.32494619954377413,None,159.14831649977714,159.16246479935944,159.16246479935944,160.6646959995851,160.6646959995851,160.64696029946208,160.6545730996877,160.6646959995851,160.6646959995851,,,163.16335069946945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
8,0,8,,,,,,,j,0.5057848999276757,None,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,164.17923309933394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.69619979988784,168.71186359971762,170.71201919950545,170.6952356994152,,,,,,,,164.16312249936163,164.17923309933394,164.17923309933394,164.17923309933394,164.69691979978234,j,0.5057848999276757,None,164.69955259934068,164.71263439953327,164.71263439953327,166.21302259992808,166.21302259992808,166.1964039998129,166.20477079972625,166.21302259992808,166.21302259992808,168.71186359971762,168.71186359971762,168.696151599288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
9,0,9,,,,,,,j,0.6127918995916843,None,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,170.71201919950545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.32913449965417,175.3450257992372,177.84503479953855,177.82866169977933,,,,,,,,170.69541049934924,170.71201919950545,170.71201919950545,170.71201919950545,171.3293042993173,j,0.6127918995916843,None,171.33105110004544,171.34540699981153,171.34540699981153,172.8458364000544,172.8458364000544,172.82888869941235,172.83730529993773,172.8458364000544,172.8458364000544,175.3450257992372,175.3450257992372,175.32909049931914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77777,right,2025-05-21_13h05.55.290,RL_practice,2024.2.4,60.51653258881378,2025-05-21 13h06.46.382275 -0500,
