thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,all_keys.keys,cue_resp.rt,cue_resp.duration,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,prac_left_box.stopped,prac_right_box.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_box_switch_out.stopped,right_box_switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.cue_resp.rt,trials.cue_resp.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,k,0.7181836999952793,None,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,80.33616890013218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.07102889986709,85.08571340003982,86.08594720019028,86.06993700005114,,,,,,,,,,80.32080730004236,80.33616890013218,80.33616890013218,80.33616890013218,81.07070400007069,k,0.7181836999952793,None,81.07288490002975,81.08580220025033,81.08580220025033,82.5881202002056,82.5881202002056,82.56912510003895,82.58083519991487,82.5881202002056,82.5881202002056,85.07097220001742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
1,0,1,,,,,,,j,0.49355879984796047,None,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,86.08594720019028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5873373998329,90.60233240015805,93.10233030002564,93.08670860016719,,,,,,,,,,86.07010529981926,86.08594720019028,86.08594720019028,86.08594720019028,86.58751659980044,j,0.49355879984796047,None,86.58970150025561,86.60319030005485,86.60319030005485,88.10203000018373,88.10203000018373,88.08728969981894,88.09559299983084,88.10203000018373,88.10203000018373,90.58728720014915,90.60233240015805,90.60233240015805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
2,0,2,,,,,,,k,0.4824804002419114,None,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,93.10233030002564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.6028963001445,97.61906639998779,99.11926330020651,99.10273079993203,,,,,,,,,,93.08688599988818,93.10233030002564,93.10233030002564,93.10233030002564,93.58673950005323,k,0.4824804002419114,None,93.58912870008498,93.60280079999939,93.60280079999939,,,95.10174209997058,95.11362309986725,95.11947580007836,95.11947580007836,97.6028252998367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
3,0,3,,,,,,,k,1.216805400326848,None,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,99.11926330020651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.35330320009962,104.36910710018128,106.88468090025708,106.86781120020896,,,,,,,,,,99.10293899988756,99.11926330020651,99.11926330020651,99.11926330020651,100.35203579999506,k,1.216805400326848,None,100.35421690018848,100.36821659980342,100.36821659980342,,,101.85244459984824,101.86263380013406,101.8680898998864,101.8680898998864,104.35323339980096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
4,0,4,,,,,,,j,1.6327043999917805,None,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,106.88468090025708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.53467960003763,112.5506251999177,115.05205130018294,115.03613700019196,,,,,,,,,,106.86798859992996,106.88468090025708,106.88468090025708,106.88468090025708,108.51995619991794,j,1.6327043999917805,None,108.52254230016842,108.53514420008287,108.53514420008287,110.03604150004685,110.03604150004685,110.01962530007586,110.0278429002501,110.03604150004685,110.03604150004685,112.53462320007384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
5,0,5,,,,,,,k,0.4803924998268485,None,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,115.05205130018294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.53572840010747,119.55128300003707,121.55188529985026,121.53579710004851,,,,,,,,,,115.03634939994663,115.05205130018294,115.05205130018294,115.05205130018294,115.53585880016908,k,0.4803924998268485,None,115.53804619982839,115.55148260015994,115.55148260015994,117.0512264999561,117.0512264999561,117.0360810002312,117.04438390024006,117.0512264999561,117.0512264999561,119.5356815000996,119.55128300003707,119.55128300003707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
6,0,6,,,,,,,j,0.37863639974966645,None,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,121.55188529985026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.93546790024266,125.95179060008377,127.45198660017923,127.43546220008284,,,,,,,,,,121.53596040001139,121.55188529985026,121.55188529985026,121.55188529985026,121.93644209997728,j,0.37863639974966645,None,121.93865589983761,121.95183080015704,121.95183080015704,123.45231880014762,123.45231880014762,123.43588980007917,123.44622790021822,123.45231880014762,123.45231880014762,125.93541999999434,125.95179060008377,125.95179060008377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
7,0,7,,,,,,,j,0.7550005000084639,None,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,127.45198660017923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.21870670001954,132.234104400035,133.23485200013965,133.21841200022027,,,,,,,,,,127.43563320022076,127.45198660017923,127.45198660017923,127.45198660017923,128.21839570021257,j,0.7550005000084639,None,128.2204619999975,128.23457590024918,128.23457590024918,129.73393090022728,129.73393090022728,129.71840870007873,129.7282292000018,129.73393090022728,129.73393090022728,132.21866060001776,132.234104400035,132.234104400035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
8,0,8,,,,,,,k,0.9784719999879599,None,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,133.23485200013965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.23507599998266,138.2503885999322,141.25145049998537,141.23438740009442,,,,,,,,,,133.2185765998438,133.23485200013965,133.23485200013965,133.23485200013965,134.2187055000104,k,0.9784719999879599,None,134.2211492001079,134.234980000183,134.234980000183,,,135.73389260005206,135.74284690013155,135.75100880023092,135.75100880023092,138.23501420021057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
9,0,9,,,,,,,j,0.5220055999234319,None,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,141.25145049998537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.78502430021763,145.80065160011873,148.80009419983253,148.78383050020784,,,,,,,,,,141.23454960016534,141.25145049998537,141.25145049998537,141.25145049998537,141.78441630024463,j,0.5220055999234319,None,141.78786539984867,141.80029859999195,141.80029859999195,143.3015883001499,143.3015883001499,143.28482049982995,143.29554989980534,143.3015883001499,143.3015883001499,145.78497749986127,145.80065160011873,145.80065160011873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111111,right,2025-04-28_11h00.17.878,RL_practice,2024.2.4,60.04552651535435,2025-04-28 11h00.34.728598 -0500,
