thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,left_box_lr.stopped,right_box_lr.stopped,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,j,1.5753624000353739,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,160.3035133999074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.89887299994007,165.91500149993226,167.4305500999326,167.4141291999258,,,,,,,,160.28878499998245,160.3035133999074,160.3035133999074,160.3035133999074,161.88730979990214,j,1.5753624000353739,None,161.890811799909,161.9021863999078,161.9021863999078,163.40088739991188,163.4151039000135,163.4241589999292,163.4241589999292,165.89880029996857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
1,0,1,,,,,,,k,0.3958142000483349,None,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,167.4305500999326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.8445158000104,171.8606067999499,173.37622769991867,173.3602787000127,,,,,,,,167.41429799993057,167.4305500999326,167.4305500999326,167.4305500999326,167.83172189991456,k,0.3958142000483349,None,167.83520029997453,167.84710299992003,167.84710299992003,169.3461343999952,169.36343629995827,169.37078130000737,169.37078130000737,171.84444379992783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
2,0,2,,,,,,,k,0.7927621999988332,None,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,173.37622769991867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.1897208999144,178.20554479991551,180.72021419997327,180.7038884999929,,,,,,,,173.36045479995664,173.37622769991867,173.37622769991867,173.37622769991867,174.1768173999153,k,0.7927621999988332,None,174.178908700007,174.19209999998566,174.19209999998566,175.69133940001484,175.70888729998842,175.7158771000104,175.7158771000104,178.18965249997564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
3,0,3,,,,,,,k,0.42793370003346354,None,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,180.72021419997327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.16699999989942,185.18314929993358,188.19757289998233,188.1812514999183,,,,,,,,180.70406139991246,180.72021419997327,180.72021419997327,180.72021419997327,181.15424579998944,k,0.42793370003346354,None,181.15637609991245,181.16990159999114,181.16990159999114,182.66896879998967,182.68691859999672,182.69412150001153,182.69412150001153,185.16692240000702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
4,0,4,,,,,,,k,0.6859644999494776,None,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,188.19757289998233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.91084479994606,192.9267053999938,195.4420109000057,195.42589579999913,,,,,,,,188.181511499919,188.19757289998233,188.19757289998233,188.19757289998233,188.89828859991394,k,0.6859644999494776,None,188.90179299993906,188.91380989993922,188.91380989993922,190.41289999999572,190.43020890001208,190.43736380001064,190.43736380001064,192.91077519999817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
5,0,5,,,,,,,k,0.5315754000330344,None,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,195.4420109000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.98877249995712,200.0048290999839,202.0199958999874,202.00370299990755,,,,,,,,195.42615740001202,195.4420109000057,195.4420109000057,195.4420109000057,195.97586839995347,k,0.5315754000330344,None,195.97802569996566,195.99136669992004,195.99136669992004,197.47490469994955,197.488971499959,197.49649429996498,197.49649429996498,199.98870240000542,197.49649429996498,197.49649429996498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
6,0,6,,,,,,,j,0.376082899980247,None,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,202.0199958999874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.41671009990387,206.43263319996186,208.9478854999179,208.93169279990252,,,,,,,,202.00396020000335,202.0199958999874,202.0199958999874,202.0199958999874,202.40448589995503,j,0.376082899980247,None,202.40800559998024,202.41992719995324,202.41992719995324,203.91870199993718,203.936478999909,203.94389579992276,203.94389579992276,206.41663969994988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
7,0,7,,,,,,,j,0.5331988000543788,None,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,208.9478854999179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.4946391999256,213.51049949997105,215.0263015999226,215.00991919997614,,,,,,,,208.93198539991863,208.9478854999179,208.9478854999179,208.9478854999179,209.48297989997081,j,0.5331988000543788,None,209.4865707999561,209.49757939996198,209.49757939996198,210.9963094999548,211.01359119999688,211.02029999997467,211.02029999997467,213.49456859997008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
8,0,8,,,,,,,j,0.5285859000869095,None,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,215.0263015999226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.5728401999222,219.5889764999738,220.58839920000173,220.57216659991536,,,,,,,,215.01017429993954,215.0263015999226,215.0263015999226,215.0263015999226,215.56059259991162,j,0.5285859000869095,None,215.5640825999435,215.57586260000244,215.57586260000244,217.05914579995442,217.07652559992857,217.08358819992281,217.08358819992281,219.57276949996594,217.08358819992281,217.08358819992281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
9,0,9,,,,,,,j,0.3800863999640569,None,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,220.58839920000173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.9854401999619,225.0012358999811,227.01678439998068,227.00059710000642,,,,,,,,220.57242919993587,220.58839920000173,220.58839920000173,220.58839920000173,220.97361829993315,j,0.3800863999640569,None,220.97731320001185,220.9884880000027,220.9884880000027,222.48758620000444,222.50490609998815,222.51218690001406,222.51218690001406,224.98536839999724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562514,right,2025-05-07_14h11.49.416,RL_practice,2024.2.4,59.63921849994817,2025-05-07 14h11.57.846795 -0700,
