thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,restart_key.keys,restart_key.rt,restart_key.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin_img.stopped,magic_coin_text.stopped,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,left_box_lr.stopped,right_box_lr.stopped,prac_left_box.stopped,prac_right_box.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,left_switch_selec.stopped,right_switch_selec.stopped,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,left_box_switch_out.stopped,right_box_switch_out.stopped,switch_out.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,understanding_check.stopped,pracLoop.restart_key.keys,pracLoop.restart_key.rt,pracLoop.restart_key.duration,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,j,1.3453234997577965,None,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,114.33353090006858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.68346530012786,119.69927300000563,121.20086540002376,121.18449029978365,,,,,,,,,,,,114.31839319970459,114.33353090006858,114.33353090006858,114.33353090006858,115.68483639974147,j,1.3453234997577965,None,115.6869105999358,115.7004031999968,115.7004031999968,117.20036950008944,117.20036950008944,117.18475109990686,117.19315889989957,117.20036950008944,117.20036950008944,119.69927300000563,119.69927300000563,119.68341349996626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
1,0,1,,,,,,,j,1.001402999740094,None,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,121.20086540002376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.21801450010389,126.23359089996666,128.23348659975454,128.21707030013204,,,,,,,,,,,,121.18468259973451,121.20086540002376,121.20086540002376,121.20086540002376,122.21792339999229,j,1.001402999740094,None,122.22047189995646,122.23389389971271,122.23389389971271,123.73481039982289,123.73481039982289,123.71730579994619,123.72907149977982,123.73481039982289,123.73481039982289,126.23359089996666,126.23359089996666,126.21796169970185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
2,0,2,,,,,,,k,0.5437433999031782,None,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,128.23348659975454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.78430389985442,132.80009019980207,134.80118760000914,134.7837338000536,,,,,,,,,,,,128.21724299993366,128.23348659975454,128.23348659975454,128.23348659975454,128.7846397999674,k,0.5437433999031782,None,128.78701640013605,128.8006013999693,128.8006013999693,130.29995839996263,130.29995839996263,130.28418789990246,130.295013200026,130.29995839996263,130.29995839996263,132.80009019980207,132.80009019980207,132.78425160003826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
3,0,3,,,,,,,j,1.0187578001059592,None,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,134.80118760000914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.83447480015457,139.84987859986722,142.3657786999829,142.34940009983256,,,,,,,,,,,,134.78389659989625,134.80118760000914,134.80118760000914,134.80118760000914,135.834127899725,j,1.0187578001059592,None,135.83635689970106,135.85050190007314,135.85050190007314,137.34978780010715,137.34978780010715,137.33366539981216,137.34362659975886,137.34978780010715,137.34978780010715,139.84987859986722,139.84987859986722,139.83442099997774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
4,0,4,,,,,,,k,0.4257868998683989,None,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,142.3657786999829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.80031109973788,146.81633060006425,148.81596279982477,148.79938049986959,,,,,,,,,,,,142.34964289981872,142.3657786999829,142.3657786999829,142.3657786999829,142.80006279982626,k,0.4257868998683989,None,142.80253760004416,142.81581379985437,142.81581379985437,,,144.30036249989644,144.31021150015295,144.31808329978958,144.31808329978958,,,146.80025199986994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
5,0,5,,,,,,,k,0.7985858996398747,None,,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,148.81596279982477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.63236209983006,153.64832670008764,154.64947069995105,154.63311740010977,,,,,,,,,,,,148.79963060002774,148.81596279982477,148.81596279982477,148.81596279982477,149.6166411000304,k,0.7985858996398747,None,149.61861780006438,149.63336650002748,149.63336650002748,151.13357200007886,151.13357200007886,151.11720439977944,151.1251956000924,151.13357200007886,151.13357200007886,,,153.63229819992557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
6,0,6,,,,,,,j,0.915624899789691,None,,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,154.64947069995105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.56618990004063,159.58150709979236,162.08265150012448,162.0664695999585,,,,,,,,,,,,154.633283900097,154.64947069995105,154.64947069995105,154.64947069995105,155.5672964998521,j,0.915624899789691,None,155.56954709999263,155.58325779996812,155.58325779996812,157.08255399996415,157.08255399996415,157.06691109994426,157.07714599976316,157.08255399996415,157.08255399996415,159.58150709979236,159.58150709979236,159.5661390000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
7,0,7,,,,,,,j,0.5883523002266884,None,,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,162.08265150012448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.68353809975088,166.69876960013062,169.1991865001619,169.18336679972708,,,,,,,,,,,,162.06663460005075,162.08265150012448,162.08265150012448,162.08265150012448,162.68466909974813,j,0.5883523002266884,None,162.6867355001159,162.69904919993132,162.69904919993132,164.1987632997334,164.1987632997334,164.18328600004315,164.19384409999475,164.1987632997334,164.1987632997334,166.69876960013062,166.69876960013062,166.68349439976737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
8,0,8,,,,,,,k,0.9285948998294771,None,,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,169.1991865001619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.13314280007035,174.14848440000787,177.14814579999074,177.1313215000555,,,,,,,,,,,,169.18353240005672,169.1991865001619,169.1991865001619,169.1991865001619,170.13345590000972,k,0.9285948998294771,None,170.13566019991413,170.14947249973193,170.14947249973193,171.64902679994702,171.64902679994702,171.6324863000773,171.6420247000642,171.64902679994702,171.64902679994702,174.14848440000787,174.14848440000787,174.13309590006247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
9,0,9,,,,,,,j,0.6829917002469301,None,,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,177.14814579999074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.8323177001439,181.84834539983422,183.34832660015672,183.33168620010838,,,,,,,,,,,,177.1314825997688,177.14814579999074,177.14814579999074,177.14814579999074,177.83284229971468,j,0.6829917002469301,None,177.83609890006483,177.84821029985324,177.84821029985324,179.34858779981732,179.34858779981732,179.33325150003657,179.34300060011446,179.34858779981732,179.34858779981732,181.84834539983422,181.84834539983422,181.83226699987426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66666,right,2025-05-15_13h01.24.633,RL_practice,2024.2.4,58.437429842235915,2025-05-15 13h01.40.478259 -0500,
