thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,trials.all_keys.rt,trials.all_keys.duration,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
8,0,8,space,14.694444600027055,None,space,3.209216400049627,None,41.46914719976485,j,0.3206277000717819,None,None,41.81773479981348,41.818218200001866,44.830518999602646,44.83057220000774,45.84586119977757,45.84591129980981,47.36164499958977,,,,,,,0,0,0,0,8,0,8,0,143.80796819971874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.46914719976485,143.79474319983274,143.80796819971874,143.80796819971874,143.80796819971874,143.80796819971874,144.14311499986798,j,0.3206277000717819,None,right,0,14,4,0,5,4,None,41.81773479981348,41.818218200001866,144.14380249986425,144.15784370014444,144.15784370014444,147.1772364997305,147.1772364997305,147.15598569996655,44.830518999602646,44.83057220000774,147.17041900008917,147.1772364997305,147.1772364997305,148.17131569981575,stimuli/box_empty_transparent.png,45.84586119977757,45.84591129980981,148.17148530017585,148.18731479998678,149.70343919983134,149.68714369973168,47.36164499958977,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
9,0,9,space,14.694444600027055,None,space,3.209216400049627,None,47.36415719985962,j,1.0223450004123151,None,None,48.412742499727756,48.41323299985379,49.926927199587226,49.926984699908644,50.94194419961423,50.94199649989605,52.9574482999742,,,,,,,0,0,0,0,9,0,9,0,149.70343919983134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.36415719985962,149.68979070009664,149.70343919983134,149.70343919983134,149.70343919983134,149.70343919983134,150.73816809989512,j,1.0223450004123151,None,right,0,14,4,0,5,4,None,48.412742499727756,48.41323299985379,150.73881480004638,150.7525504999794,150.7525504999794,152.27427459973842,152.27427459973842,152.2523830998689,49.926927199587226,49.926984699908644,152.2674357998185,152.27427459973842,152.27427459973842,153.26743650017306,stimuli/box_empty_transparent.png,50.94194419961423,50.94199649989605,153.2675689999014,153.28322600014508,155.29905379982665,155.28294620011002,52.9574482999742,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
10,0,10,space,14.694444600027055,None,space,3.209216400049627,None,52.96000919956714,k,0.273507300298661,None,None,53.258002599701285,53.258402599953115,54.756341399624944,54.75639459956437,55.77113959984854,55.77118589961901,56.77082439977676,,,,,,,0,0,0,0,10,0,10,0,155.29905379982665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.96000919956714,155.2856008997187,155.29905379982665,155.29905379982665,155.29905379982665,155.29905379982665,155.58343230001628,k,0.273507300298661,None,right,1,14,5,0,6,5,None,53.258002599701285,53.258402599953115,155.58398120012134,155.59842819999903,155.59842819999903,157.10256450017914,157.10256450017914,157.08180780010298,54.756341399624944,54.75639459956437,157.09589530015364,157.10256450017914,157.10256450017914,158.09663320006803,stimuli/box_coin_transparent.png,55.77113959984854,55.77118589961901,158.0967580997385,158.11283979984,159.11241979990155,159.0963352001272,56.77082439977676,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
11,0,11,space,14.694444600027055,None,space,3.209216400049627,None,56.7722772997804,k,0.4964979002252221,None,None,57.28879679972306,57.289249499794096,59.3020331999287,59.3020674996078,60.317606299649924,60.31765270000324,61.83326239977032,,,,,,,0,0,0,0,11,0,11,0,159.11241979990155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7722772997804,159.0978449000977,159.11241979990155,159.11241979990155,159.11241979990155,159.11241979990155,159.614217299968,k,0.4964979002252221,None,right,1,14,6,0,7,6,None,57.28879679972306,57.289249499794096,159.614832600113,159.6288851997815,159.6288851997815,161.64424049993977,161.64424049993977,161.62752259988338,59.3020331999287,59.3020674996078,161.63773550000042,161.64424049993977,161.64424049993977,162.6431006998755,stimuli/box_coin_transparent.png,60.317606299649924,60.31765270000324,162.64322410011664,162.65934649994597,164.1751032001339,164.1587724997662,61.83326239977032,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
12,0,12,space,14.694444600027055,None,space,3.209216400049627,None,61.83472739998251,k,0.44634229969233274,None,None,62.30049799988046,62.30076149990782,63.29996879957616,63.30002089962363,64.31456939969212,64.31461619958282,67.32920939987525,,,,,,,0,0,0,0,12,0,12,0,164.1751032001339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.83472739998251,164.16029480006546,164.1751032001339,164.1751032001339,164.1751032001339,164.1751032001339,164.62595869973302,k,0.44634229969233274,None,right,1,14,7,0,8,7,None,62.30049799988046,62.30076149990782,164.62632169993594,164.64110169978812,164.64110169978812,165.6501361997798,165.6501361997798,165.6254210001789,63.29996879957616,63.30002089962363,165.6430591000244,165.6501361997798,165.6501361997798,166.6400644001551,stimuli/box_coin_transparent.png,64.31456939969212,64.31461619958282,166.64018720015883,166.6561957001686,169.6709489999339,169.65470879990608,67.32920939987525,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
13,0,13,space,14.694444600027055,None,space,3.209216400049627,None,67.33171019982547,k,0.46463129995390773,None,None,67.8132333997637,67.8138137999922,68.31239779992029,68.31245309999213,69.32723379973322,69.32728690002114,71.34242789959535,,,,,,,0,0,0,0,13,0,13,0,169.6709489999339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.33171019982547,169.65730400010943,169.6709489999339,169.6709489999339,169.6709489999339,169.6709489999339,170.13866319973022,k,0.46463129995390773,None,right,1,14,8,0,9,8,None,67.8132333997637,67.8138137999922,170.1394046000205,170.15347420005128,170.15347420005128,170.66258430015296,170.66258430015296,170.63786059990525,68.31239779992029,68.31245309999213,170.6555316997692,170.66258430015296,170.66258430015296,171.6527281999588,stimuli/box_coin_transparent.png,69.32723379973322,69.32728690002114,171.65285750012845,171.6687068999745,173.68421059986576,173.66792650008574,71.34242789959535,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
14,0,14,space,14.694444600027055,None,space,3.209216400049627,None,71.34505369979888,k,0.5434053996577859,None,None,71.9103790000081,71.91081949975342,73.42495259968564,73.42500639986247,74.43984230002388,74.43988889968023,75.43932429980487,,,,,,,0,0,0,0,14,0,14,0,173.68421059986576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.34505369979888,173.67065500002354,173.68421059986576,173.68421059986576,173.68421059986576,173.68421059986576,174.23580530006438,k,0.5434053996577859,None,right,0,14,8,0,10,8,None,71.9103790000081,71.91081949975342,174.23639959981665,174.25039110006765,174.25039110006765,175.7717419997789,175.7717419997789,175.75041820015758,73.42495259968564,73.42500639986247,175.76477660005912,175.7717419997789,175.7717419997789,176.76533770002425,stimuli/box_empty_transparent.png,74.43984230002388,74.43988889968023,176.7654848000966,176.78129610000178,177.7810291000642,177.7648219000548,75.43932429980487,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
15,0,15,space,14.694444600027055,None,space,3.209216400049627,None,75.44191259983927,j,0.8775626998394728,None,None,76.34067059960216,76.34113049972802,77.33812469989061,77.33817929960787,78.35336449975148,78.35341009963304,80.36878369981423,,,,,,,0,0,0,0,15,0,15,0,177.7810291000642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.44191259983927,177.76750849978998,177.7810291000642,177.7810291000642,177.7810291000642,177.7810291000642,178.66605579992756,j,0.8775626998394728,None,right,0,14,8,0,10,8,None,76.34067059960216,76.34113049972802,178.6667109997943,178.68025359977037,178.68025359977037,179.68506600009277,179.68506600009277,179.66358140017837,77.33812469989061,77.33817929960787,179.67809800012037,179.68506600009277,179.68506600009277,180.6788602997549,stimuli/box_empty_transparent.png,78.35336449975148,78.35341009963304,180.67898180009797,180.69481980009004,182.71047799987718,182.6942833000794,80.36878369981423,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
16,0,16,space,14.694444600027055,None,space,3.209216400049627,None,80.37151499977335,k,0.3037956999614835,None,None,80.70299459993839,80.7034097998403,82.71725449990481,82.71731159975752,83.7323873997666,83.73243959993124,84.74828379973769,,,,,,,0,0,0,0,16,0,16,0,182.71047799987718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.37151499977335,182.69714799989015,182.71047799987718,182.71047799987718,182.71047799987718,182.71047799987718,183.02841420006007,k,0.3037956999614835,None,right,1,14,9,0,11,9,None,80.70299459993839,80.7034097998403,183.02899219980463,183.04352620011196,183.04352620011196,185.06829820014536,185.06829820014536,185.0426843999885,82.71725449990481,82.71731159975752,185.06146040000021,185.06829820014536,185.06829820014536,186.05788190010935,stimuli/box_coin_transparent.png,83.7323873997666,83.73243959993124,186.05801150016487,186.07404890004545,187.09015459986404,187.073783100117,84.74828379973769,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
17,0,17,space,14.694444600027055,None,space,3.209216400049627,None,84.75098709994927,k,1.2041349997743964,None,None,85.98279969999567,85.98320869961753,86.98022149968892,86.98027529986575,87.99563649995252,87.995684299618,88.99512989958748,,,,,,,0,0,0,0,17,0,17,0,187.09015459986404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.75098709994927,187.07659319974482,187.09015459986404,187.09015459986404,187.09015459986404,187.09015459986404,188.30822680005804,k,1.2041349997743964,None,right,1,14,10,0,12,10,None,85.98279969999567,85.98320869961753,188.308827099856,188.32241040002555,188.32241040002555,189.32992419973016,189.32992419973016,189.30569319985807,86.98022149968892,86.98027529986575,189.32350279996172,189.32992419973016,189.32992419973016,190.3211257001385,stimuli/box_coin_transparent.png,87.99563649995252,87.995684299618,190.32125779986382,190.33726330008358,191.33685459988192,191.32062949985266,88.99512989958748,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
18,0,18,space,14.694444600027055,None,space,3.209216400049627,None,88.99695389997214,k,0.29144510021433234,None,None,89.313138499856,89.31358139961958,92.8257420998998,92.82579759974033,93.84113229997456,93.8411779999733,95.8563412996009,,,,,,,0,0,0,0,18,0,18,0,191.33685459988192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.99695389997214,191.32252370007336,191.33685459988192,191.33685459988192,191.33685459988192,191.33685459988192,191.63856509979814,k,0.29144510021433234,None,right,0,14,10,0,13,10,None,89.313138499856,89.31358139961958,191.63916150014848,191.6532101999037,191.6532101999037,195.17219559988007,195.17219559988007,195.15119830006734,92.8257420998998,92.82579759974033,195.1651805001311,195.17219559988007,195.17219559988007,196.1666271998547,stimuli/box_empty_transparent.png,93.84113229997456,93.8411779999733,196.1667502000928,196.1828149999492,198.19784560007975,198.1818405999802,95.8563412996009,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
19,0,19,space,14.694444600027055,None,space,3.209216400049627,None,95.8588093998842,k,0.5279614999890327,None,None,96.4079331997782,96.40833839960396,97.40570529969409,97.40575929963961,98.42049389984459,98.42054149974138,99.93648339994252,,,,,,,0,0,0,0,19,0,19,0,198.19784560007975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8588093998842,198.1844008998014,198.19784560007975,198.19784560007975,198.19784560007975,198.19784560007975,198.73335759993643,k,0.5279614999890327,None,right,1,14,11,0,14,11,None,96.4079331997782,96.40833839960396,198.7339169997722,198.74750339984894,198.74750339984894,199.75565430009738,199.75565430009738,199.73116709990427,97.40570529969409,97.40575929963961,199.74874790012836,199.75565430009738,199.75565430009738,200.74598839972168,stimuli/box_coin_transparent.png,98.42049389984459,98.42054149974138,200.74611299997196,200.76226239977404,202.2781834001653,202.26198189985007,99.93648339994252,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
20,0,20,space,14.694444600027055,None,space,3.209216400049627,None,99.93916339986026,k,0.9066377002745867,None,None,100.87089649960399,100.871299599763,102.8961584996432,102.89619269967079,103.89943929994479,103.89948789961636,105.91486059967428,,,,,,,0,0,0,0,20,0,20,0,202.2781834001653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.93916339986026,202.26476310007274,202.2781834001653,202.2781834001653,202.2781834001653,202.2781834001653,203.19630499975756,k,0.9066377002745867,None,right,1,14,12,0,15,12,None,100.87089649960399,100.871299599763,203.19687819993123,203.21061450010166,203.21061450010166,205.2375639998354,205.2375639998354,205.22165230009705,102.8961584996432,102.89619269967079,205.23209979990497,205.2375639998354,205.2375639998354,206.22493040002882,stimuli/box_coin_transparent.png,103.89943929994479,103.89948789961636,206.22505929972976,206.24104159977287,208.256967399735,208.24035960016772,105.91486059967428,,,,,,,,,,,,,,,,,,067073,right,no,None,2025-05-27_13h18.17.007,RL_out-of-scanner,2024.2.4,59.45299681431391,2025-05-27 13h18.25.779530 -0700,
