thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02178250008728355,0.02655500010587275,0.02655500010587275,61.125916200107895,j,61.094746300019324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.12613930006046,61.1394209000282,61.1394209000282,97.42794950003736,j,36.28107660007663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
0,0,0,space,21.196120899985544,None,5,0.7696290999883786,None,0.0017852000892162323,j,0.7478828000603244,None,None,0.766879600007087,0.7671141000464559,1.7655229000374675,1.765550100011751,2.781291300081648,2.7813272000057623,4.795707900077105,,,,,,,0,0,0,0,0,0,0,0,119.45978710008785,,,,,,,,,,,,,,,,97.42819890007377,97.44350050005596,97.44350050005596,118.64433000003919,space,21.196120899985544,None,118.64439370005857,118.65974380006082,118.65974380006082,119.44340290001128,5,0.7696290999883786,None,0.0017852000892162323,119.44527100003324,119.45978710008785,119.45978710008785,119.45978710008785,119.45978710008785,120.21026270010043,j,0.7478828000603244,None,right,0,8,0,0,0,0,None,0.766879600007087,0.7671141000464559,120.21058460010681,120.2258275001077,120.2258275001077,121.2257897000527,121.2257897000527,121.20894200005569,1.7655229000374675,1.765550100011751,121.21475240006112,121.2257897000527,121.2257897000527,122.22469960001763,stimuli/box_empty_transparent.png,2.781291300081648,2.7813272000057623,122.22478980000596,122.2404714000877,124.25620150007308,124.23914140008856,4.795707900077105,,,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
1,0,1,space,21.196120899985544,None,5,0.7696290999883786,None,4.797385200043209,k,0.3018243999686092,None,None,5.13010180008132,5.130292500020005,6.6449575000442564,6.644987500039861,7.660443100030534,7.660481100087054,9.175812800065614,,,,,,,0,0,0,0,1,0,1,0,124.25620150007308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.797385200043209,124.24085540010128,124.25620150007308,124.25620150007308,124.25620150007308,124.25620150007308,124.5734938000096,k,0.3018243999686092,None,right,1,8,1,0,1,1,None,5.13010180008132,5.130292500020005,124.57375810004305,124.58898030000273,124.58898030000273,126.1050090000499,126.1050090000499,126.08837430004496,6.6449575000442564,6.644987500039861,126.095247499994,126.1050090000499,126.1050090000499,127.10386230004951,stimuli/box_coin_transparent.png,7.660443100030534,7.660481100087054,127.1039586000843,127.12008870008867,128.63574810000136,128.61924640007783,9.175812800065614,,,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
2,0,2,space,21.196120899985544,None,5,0.7696290999883786,None,9.176914000068791,k,0.36328980000689626,None,None,9.559659300022759,9.559859700035304,10.558838700060733,10.558888700092211,11.573955900035799,11.573996000108309,14.587692200089805,,,,,,,0,0,0,0,2,0,2,0,128.63574810000136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.176914000068791,128.62038360000588,128.63574810000136,128.63574810000136,128.63574810000136,128.63574810000136,129.00304410001263,k,0.36328980000689626,None,right,1,8,2,0,2,2,None,9.559659300022759,9.559859700035304,129.003328800085,129.01869390008505,129.01869390008505,130.01857830001973,130.01857830001973,130.00223120010924,10.558838700060733,10.558888700092211,130.009475100087,130.01857830001973,130.01857830001973,131.01737410004716,stimuli/box_coin_transparent.png,11.573955900035799,11.573996000108309,131.0174780000234,131.03353940008674,134.0482235000236,134.03112470009364,14.587692200089805,,,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
3,0,3,space,21.196120899985544,None,5,0.7696290999883786,None,14.589182900032029,k,0.2591874999925494,None,None,14.872807100065984,14.872987700044177,16.88676970009692,16.886804100009613,17.902150600100867,17.902191700064577,18.90180520003196,,,,,,,0,0,0,0,3,0,3,0,134.0482235000236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.589182900032029,134.03265200008173,134.0482235000236,134.0482235000236,134.0482235000236,134.0482235000236,134.3162011000095,k,0.2591874999925494,None,right,1,8,3,0,3,3,None,14.872807100065984,14.872987700044177,134.3164521000581,134.3309868000215,134.3309868000215,136.3468201000942,136.3468201000942,136.33014600002207,16.88676970009692,16.886804100009613,136.33694800001103,136.3468201000942,136.3468201000942,137.34556780010462,stimuli/box_coin_transparent.png,17.902150600100867,17.902191700064577,137.34567589999642,137.361772900098,138.36164780007675,138.34523830004036,18.90180520003196,,,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
4,0,4,space,21.196120899985544,None,5,0.7696290999883786,None,18.902852400089614,k,0.35410969995427877,None,None,19.28549959999509,19.285689300042577,20.284517100080848,20.284546100068837,21.299493600032292,21.299533200100996,23.814198400010355,,,,,,,0,0,0,0,4,0,4,0,138.36164780007675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.902852400089614,138.34632130002137,138.36164780007675,138.36164780007675,138.36164780007675,138.36164780007675,138.72889190004207,k,0.35410969995427877,None,right,0,8,3,0,4,3,None,19.28549959999509,19.285689300042577,138.7291552000679,138.7443731999956,138.7443731999956,139.7442216000054,139.7442216000054,139.72793500008993,20.284517100080848,20.284546100068837,139.73347400000785,139.7442216000054,139.7442216000054,140.74291130003985,stimuli/box_empty_transparent.png,21.299493600032292,21.299533200100996,140.7430125999963,140.75917279999703,143.27397650002968,143.25763210002333,23.814198400010355,,,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
5,0,5,space,21.196120899985544,None,5,0.7696290999883786,None,23.815245300065726,j,0.2653578999452293,None,None,24.09882010007277,24.09902810002677,27.611718300031498,27.611746300011873,28.626964600058272,28.627006000024267,30.642561500077136,,,,,,,0,0,0,0,5,0,5,0,143.27397650002968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.815245300065726,143.2587152000051,143.27397650002968,143.27397650002968,143.27397650002968,143.27397650002968,143.54221940005664,j,0.2653578999452293,None,right,0,8,3,0,4,3,None,24.09882010007277,24.09902810002677,143.5424927000422,143.5570502000628,143.5570502000628,147.07171260006726,147.07171260006726,147.05513660004362,27.611718300031498,27.611746300011873,147.06069730001036,147.07171260006726,147.07171260006726,148.0703803000506,stimuli/box_empty_transparent.png,28.626964600058272,28.627006000024267,148.07049010007177,148.0867988000391,150.10204490006436,150.0859942000825,30.642561500077136,,,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
6,0,6,space,21.196120899985544,None,5,0.7696290999883786,None,30.643638300010934,j,0.31360550003591925,None,None,30.976336400024593,30.976545500103384,31.97542140004225,31.97545380005613,32.974323100061156,32.97434680000879,33.98967110004742,,,,,,,0,0,0,0,6,0,6,0,150.10204490006436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.643638300010934,150.08710910007358,150.10204490006436,150.10204490006436,150.10204490006436,150.10204490006436,150.4197315000929,j,0.31360550003591925,None,right,0,8,3,0,4,3,None,30.976336400024593,30.976545500103384,150.4200119000161,150.43488420010544,150.43488420010544,151.43455740006175,151.43455740006175,151.4188355000224,31.97542140004225,31.97545380005613,151.42498820007313,151.43455740006175,151.43455740006175,152.41775460005738,stimuli/box_empty_transparent.png,32.974323100061156,32.97434680000879,152.41780960001051,152.43310780008323,153.44906450004783,153.43310260004364,33.98967110004742,152.43310780008323,152.43310780008323,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
7,0,7,space,21.196120899985544,None,5,0.7696290999883786,None,33.99087800004054,k,0.33766479999758303,None,None,34.35689330007881,34.35707450006157,36.37129400006961,36.37134380009957,37.37061560002621,37.37063970009331,39.38544070010539,,,,,,,0,0,0,0,7,0,7,0,153.44906450004783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.99087800004054,153.434361700085,153.44906450004783,153.44906450004783,153.44906450004783,153.44906450004783,153.80029260006268,k,0.33766479999758303,None,right,1,8,4,0,5,4,None,34.35689330007881,34.35707450006157,153.8005386000732,153.81539920007344,153.81539920007344,155.8311063000001,155.8311063000001,155.81468350009527,36.37129400006961,36.37134380009957,155.82155900006182,155.8311063000001,155.8311063000001,156.81404620001558,stimuli/box_coin_transparent.png,37.37061560002621,37.37063970009331,156.81410340010189,156.829250000068,158.84491090010852,158.82887389999814,39.38544070010539,156.829250000068,156.829250000068,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
8,0,8,space,21.196120899985544,None,5,0.7696290999883786,None,39.38655220007058,k,0.31230210000649095,None,None,39.7193500000285,39.719532100018114,42.73312230000738,42.733152400003746,43.74863210006151,43.74868120008614,45.26378989999648,,,,,,,0,0,0,0,8,0,8,0,158.84491090010852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.38655220007058,158.83002190000843,158.84491090010852,158.84491090010852,158.84491090010852,158.84491090010852,159.1627508000238,k,0.31230210000649095,None,right,0,8,4,0,6,4,None,39.7193500000285,39.719532100018114,159.16299590002745,159.1782301000785,159.1782301000785,162.19296930008568,162.19296930008568,162.1765396000119,42.73312230000738,42.733152400003746,162.18217889999505,162.19296930008568,162.19296930008568,163.19204250001349,stimuli/box_empty_transparent.png,43.74863210006151,43.74868120008614,163.1921685000416,163.20786500000395,164.72394610010087,164.70722229999956,45.26378989999648,,,,,,,,,,,,,,802294,right,no,None,2025-05-08_12h34.49.423,RL_out-of-scanner,2024.2.4,60.45726246389446,2025-05-08 12h35.19.120077 -0700,
