thisN,thisTrialN,thisRepN,find_box_press.keys,find_box_press.rt,find_box_press.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue_resp_switch.keys,cue_resp_switch.rt,cue_resp_switch.duration,pointer_press.keys,pointer_press.rt,pointer_press.duration,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,all_keys.rt,all_keys.duration,restart_both.thisRepN,restart_both.thisTrialN,restart_both.thisN,restart_both.thisIndex,find_magic_box_loop.thisRepN,find_magic_box_loop.thisTrialN,find_magic_box_loop.thisN,find_magic_box_loop.thisIndex,switch_side_loop.thisRepN,switch_side_loop.thisTrialN,switch_side_loop.thisN,switch_side_loop.thisIndex,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,first_box.started,show_stimuli.started,stimuli_text.started,key_resp.started,first_box.stopped,key_resp.keys,key_resp.rt,key_resp.duration,first_coin.started,first_coin_img.started,magic_coin_text.started,first_coin.stopped,prac_both_instructions.started,prac_both_text.started,key_resp_2.started,prac_both_instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,prac_both.started,prac_left_2.started,prac_right_2.started,find_box_press.started,prac_both.stopped,find_magic_box_loop.find_box_press.keys,find_magic_box_loop.find_box_press.rt,find_magic_box_loop.find_box_press.duration,prac_both_selec.started,left_box_lr.started,right_box_lr.started,prac_both_selec.stopped,prac_both_out.started,prac_left_box.started,prac_right_box.started,prac_both_out.stopped,fix_both.started,fix_text.started,fix_text.stopped,fix_both.stopped,left_box_lr.stopped,right_box_lr.stopped,saw_reward.started,restart_proceed_text.started,key_resp_3.started,saw_reward.stopped,restart_both.key_resp_3.keys,restart_both.key_resp_3.rt,restart_both.key_resp_3.duration,switch_cue.started,left_box_switch.started,right_box_switch.started,cue_resp_switch.started,switch_cue.stopped,switch_side_loop.cue_resp_switch.keys,switch_side_loop.cue_resp_switch.rt,switch_side_loop.cue_resp_switch.duration,switch_select.started,left_switch_selec.started,right_switch_selec.started,switch_select.stopped,switch_out.started,left_box_switch_out.started,right_box_switch_out.started,switch_out.stopped,left_switch_selec.stopped,right_switch_selec.stopped,no_coin_instruc.started,summary_text.started,pointer_press.started,no_coin_instruc.stopped,pracLoop.pointer_press.keys,pracLoop.pointer_press.rt,pracLoop.pointer_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.all_keys.rt,trials.all_keys.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,understanding_check.started,restart_key.started,participant,handedness,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,k,2.009461700101383,None,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,92.25402490003034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.28249220002908,98.2987640000647,99.81459169997834,99.79818769998383,,,,,,,,,,92.23869230004493,92.25402490003034,92.25402490003034,92.25402490003034,94.27039499999955,k,2.009461700101383,None,94.27182430005632,94.28570210002363,94.28570210002363,95.78463400003966,95.7922609000234,95.80212990008295,95.80212990008295,98.28244109998923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
1,0,1,,,,,,,k,0.5116164999781176,None,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,99.81459169997834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.34478460007813,104.360483400058,107.37536260008346,107.35912440007087,,,,,,,,,,99.79839000001084,99.81459169997834,99.81459169997834,99.81459169997834,100.33214870002121,k,0.5116164999781176,None,100.33402960002422,100.34751019999385,100.34751019999385,101.83098680002149,101.8384637000272,101.84670530003496,101.84670530003496,104.34474900003988,101.84670530003496,101.84670530003496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
2,0,2,,,,,,,k,0.33170949993655086,None,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,107.37536260008346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.72197439998854,111.73821780004073,114.75285569997504,114.73600869998336,,,,,,,,,,107.35924999997951,107.37536260008346,107.37536260008346,107.37536260008346,107.7093399000587,k,0.33170949993655086,None,107.71102380007505,107.72537800006103,107.72537800006103,109.22429320006631,109.23145229998045,109.24054939998314,109.24054939998314,111.72190210002009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
3,0,3,,,,,,,k,0.3199828000506386,None,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,114.75285569997504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.09939280000981,119.1153094000183,122.13013639999554,122.1133647999959,,,,,,,,,,114.73622319998685,114.75285569997504,114.75285569997504,114.75285569997504,115.08697559998836,k,0.3199828000506386,None,115.08838049997576,115.10255509999115,115.10255509999115,116.58591700007673,116.5928706000559,116.60142880002968,116.60142880002968,119.09935829997994,116.60142880002968,116.60142880002968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
4,0,4,,,,,,,k,0.3582049000542611,None,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,122.13013639999554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.51026230002753,126.52655289997347,127.54260980000254,127.52638060005847,,,,,,,,,,122.1134986000834,122.13013639999554,122.13013639999554,122.13013639999554,122.49779300007503,k,0.3582049000542611,None,122.49917269998696,122.5131913999794,122.5131913999794,124.01202630007174,124.01904360007029,124.02890220005065,124.02890220005065,126.51019140006974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
5,0,5,,,,,,,k,0.576461200020276,None,,,,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,127.54260980000254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.13886710000224,132.15514639997855,133.1715123000322,133.15522730001248,,,,,,,,,,127.52666049997788,127.54260980000254,127.54260980000254,127.54260980000254,128.1265961000463,k,0.576461200020276,None,128.1279549000319,128.14212460001,128.14212460001,129.6409673000453,129.64693090005312,129.65809150005225,129.65809150005225,132.13883399998304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
6,0,6,,,,,,,j,0.48018720000982285,None,,,,,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,133.1715123000322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.6677917999914,137.68425719998777,139.69960990000982,139.68330999999307,,,,,,,,,,133.1553429000778,133.1715123000322,133.1715123000322,133.1715123000322,133.65527920005843,j,0.48018720000982285,None,133.6567584000295,133.67076050001197,133.67076050001197,135.1700502000749,135.17749540007208,135.1868617000291,135.1868617000291,137.66775640007108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
7,0,7,,,,,,,j,0.3631172999739647,None,,,,,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,139.69960990000982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.07929150003474,144.09570850001182,145.09486309997737,145.0788921000203,,,,,,,,,,139.68358509999234,139.69960990000982,139.69960990000982,139.69960990000982,140.06700570008252,j,0.3631172999739647,None,140.06849089998286,140.08235090004746,140.08235090004746,141.56603570003062,141.57337260001805,141.58197960001417,141.58197960001417,144.07922080007847,141.58197960001417,141.58197960001417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
8,0,8,,,,,,,j,0.5018590000690892,None,,,,,,,,,,,,,,,,,,8,0,8,0,,,,,,,,,145.09486309997737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.62526380002964,149.6409531000536,151.14064220001455,151.12418280006386,,,,,,,,,,145.07916389999446,145.09486309997737,145.09486309997737,145.09486309997737,145.61259700008668,j,0.5018590000690892,None,145.61412440007553,145.62776519998442,145.62776519998442,147.11112910008524,147.1180870999815,147.12802469998132,147.12802469998132,149.62519310007337,147.12802469998132,147.12802469998132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
9,0,9,,,,,,,j,0.31313510006293654,None,,,,,,,,,,,,,,,,,,9,0,9,0,,,,,,,,,151.14064220001455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.47014109999873,155.48677229997702,157.50177039997652,157.48525330005214,,,,,,,,,,151.12430290004704,151.14064220001455,151.14064220001455,151.14064220001455,151.45792020007502,j,0.31313510006293654,None,151.45933980005793,151.47339940001257,151.47339940001257,152.97213660005946,152.97951830003876,152.98907850007527,152.98907850007527,155.47010570007842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247209,right,2025-05-08_12h28.50.865,RL_practice,2024.2.4,60.391469555746085,2025-05-08 12h28.55.863369 -0700,
