trial_number,run_number,side_picked,good_side,accuracy,outcome,reaction_time
0.0,1,0.0,1.0,0.0,0.0,1.20612799981609
1.0,1,0.0,1.0,0.0,0.0,0.4454720998182893
2.0,1,0.0,1.0,0.0,0.0,0.6458316999487579
3.0,1,0.0,1.0,0.0,0.0,1.168109900318086
4.0,1,1.0,1.0,1.0,1.0,0.3522348999977112
5.0,1,1.0,1.0,1.0,1.0,0.4079822995699942
6.0,1,1.0,1.0,1.0,1.0,0.7005680999718606
7.0,1,1.0,1.0,1.0,1.0,1.2392634004354477
8.0,1,0.0,1.0,0.0,0.0,0.4162413999438286
9.0,1,1.0,1.0,1.0,0.0,0.6042382000014186
10.0,1,0.0,1.0,0.0,0.0,0.4332184996455908
11.0,1,0.0,1.0,0.0,0.0,0.661179100163281
12.0,1,0.0,1.0,0.0,0.0,0.4118985002860427
13.0,1,1.0,1.0,1.0,1.0,0.4417485003359616
14.0,1,1.0,1.0,1.0,1.0,0.3116616001352668
15.0,1,1.0,1.0,1.0,1.0,0.4644802999682724
16.0,1,0.0,1.0,0.0,0.0,0.7280155997723341
17.0,1,1.0,1.0,1.0,1.0,0.3933872003108263
18.0,1,0.0,1.0,0.0,0.0,0.6417216002009809
19.0,1,1.0,1.0,1.0,0.0,0.5165711999870837
20.0,1,0.0,1.0,0.0,0.0,0.7573997997678816
21.0,1,1.0,1.0,1.0,1.0,0.343754599802196
22.0,1,1.0,1.0,1.0,1.0,0.3543641003780067
23.0,1,1.0,1.0,1.0,1.0,0.4763964000158012
24.0,1,1.0,0.0,0.0,0.0,0.4318304997868836
25.0,1,1.0,0.0,0.0,0.0,0.6211208002641797
26.0,1,0.0,0.0,1.0,1.0,0.4613268002867698
27.0,1,0.0,0.0,1.0,0.0,0.5578840998932719
28.0,1,0.0,0.0,1.0,0.0,0.678161499556154
29.0,1,1.0,0.0,0.0,0.0,0.4957819003611803
30.0,1,1.0,0.0,0.0,0.0,0.5994061999954283
31.0,1,1.0,0.0,0.0,0.0,0.4057758999988436
32.0,1,0.0,0.0,1.0,1.0,0.5786948003806174
33.0,1,0.0,0.0,1.0,1.0,0.6429208996705711
34.0,1,1.0,0.0,0.0,0.0,0.5005839001387358
35.0,1,0.0,0.0,1.0,1.0,0.7112249997444451
36.0,1,0.0,0.0,1.0,0.0,0.498660100158304
37.0,1,1.0,0.0,0.0,0.0,0.9058127999305724
38.0,1,0.0,0.0,1.0,1.0,0.5094614000990987
39.0,1,0.0,0.0,1.0,1.0,0.6192538002505898
40.0,1,0.0,0.0,1.0,1.0,0.6297663999721408
41.0,1,1.0,0.0,0.0,0.0,0.4428391000255942
42.0,1,1.0,0.0,0.0,0.0,0.3263072003610432
43.0,1,0.0,0.0,1.0,0.0,0.3909108997322619
44.0,1,1.0,0.0,0.0,0.0,0.2718294998630881
45.0,1,1.0,0.0,0.0,0.0,0.3342274003662169
46.0,1,1.0,0.0,0.0,0.0,0.3649120000191033
47.0,1,1.0,0.0,0.0,0.0,0.2293630996719002
48.0,1,0.0,0.0,1.0,0.0,0.2611674997024238
49.0,1,1.0,0.0,0.0,0.0,0.3111411002464592
0.0,2,0.0,1.0,0.0,0.0,0.8263498996384442
1.0,2,0.0,1.0,0.0,0.0,0.332880700007081
2.0,2,1.0,1.0,1.0,1.0,0.3696592999622226
3.0,2,1.0,1.0,1.0,1.0,0.4535322999581694
4.0,2,1.0,1.0,1.0,1.0,0.4608055995777249
5.0,2,1.0,1.0,1.0,1.0,0.3503750003874302
6.0,2,0.0,1.0,0.0,0.0,0.3545205998234451
7.0,2,1.0,1.0,1.0,1.0,0.4796827998943627
8.0,2,0.0,1.0,0.0,0.0,0.2986154998652637
9.0,2,1.0,1.0,1.0,1.0,0.29958639992401
10.0,2,1.0,1.0,1.0,1.0,0.3238201001659035
11.0,2,1.0,1.0,1.0,0.0,0.394280900247395
12.0,2,1.0,1.0,1.0,0.0,0.2768399002961814
13.0,2,0.0,1.0,0.0,0.0,0.3794725001789629
14.0,2,1.0,1.0,1.0,0.0,0.5035300999879837
15.0,2,0.0,1.0,0.0,0.0,0.4958938001655042
16.0,2,0.0,1.0,0.0,0.0,0.2549640000797808
17.0,2,1.0,1.0,1.0,1.0,0.3104590000584721
18.0,2,1.0,1.0,1.0,1.0,0.5851503000594676
19.0,2,1.0,1.0,1.0,1.0,0.3539991001598537
20.0,2,1.0,1.0,1.0,1.0,0.4967807000502944
21.0,2,1.0,1.0,1.0,1.0,0.4041365003213286
22.0,2,1.0,1.0,1.0,1.0,0.2668139999732375
23.0,2,0.0,1.0,0.0,0.0,0.6424842001870275
