trial_number,run_number,side_picked,good_side,accuracy,outcome,reaction_time
0.0,1,0.0,1.0,0.0,0.0,0.4460662000346929
1.0,1,0.0,1.0,0.0,0.0,0.2669565000105649
2.0,1,1.0,1.0,1.0,1.0,0.4147702998016029
3.0,1,1.0,1.0,1.0,1.0,0.4341964998748153
4.0,1,1.0,1.0,1.0,1.0,0.8259023998398334
5.0,1,0.0,1.0,0.0,0.0,0.3928559999912977
6.0,1,1.0,1.0,1.0,1.0,0.6050417998339981
7.0,1,1.0,1.0,1.0,1.0,0.7429059999994934
8.0,1,1.0,1.0,1.0,0.0,0.4579592000227421
9.0,1,0.0,1.0,0.0,0.0,0.4778714999556541
10.0,1,0.0,1.0,0.0,0.0,1.4286423998419195
11.0,1,1.0,1.0,1.0,1.0,0.7218026998452842
12.0,1,1.0,1.0,1.0,1.0,0.3947502998635173
13.0,1,1.0,0.0,0.0,0.0,0.5612753999885172
14.0,1,,0.0,,,
15.0,1,0.0,0.0,1.0,1.0,0.3970496000256389
16.0,1,0.0,0.0,1.0,0.0,0.3556396001949906
17.0,1,0.0,0.0,1.0,1.0,0.6848824000917375
18.0,1,0.0,0.0,1.0,1.0,0.4843879998661577
19.0,1,0.0,0.0,1.0,1.0,0.3964370999019593
20.0,1,0.0,0.0,1.0,1.0,0.4929706999100745
21.0,1,0.0,0.0,1.0,0.0,0.3691957998089492
22.0,1,1.0,0.0,0.0,0.0,0.3851206998806447
23.0,1,1.0,0.0,0.0,0.0,0.4882475999183953
24.0,1,1.0,0.0,0.0,0.0,1.223637499846518
25.0,1,0.0,0.0,1.0,1.0,0.4679828998632729
26.0,1,0.0,0.0,1.0,0.0,0.4911558001767844
27.0,1,0.0,0.0,1.0,1.0,0.4823549001011997
28.0,1,0.0,0.0,1.0,0.0,0.5757950998377055
29.0,1,0.0,0.0,1.0,1.0,0.4520485000684857
30.0,1,,0.0,,,
31.0,1,1.0,0.0,0.0,0.0,0.312049499945715
32.0,1,0.0,0.0,1.0,1.0,0.298612599959597
33.0,1,0.0,0.0,1.0,1.0,0.6287271999754012
34.0,1,0.0,0.0,1.0,0.0,0.3100922999437898
35.0,1,,0.0,,,
36.0,1,1.0,0.0,0.0,0.0,0.272957099834457
37.0,1,0.0,0.0,1.0,1.0,0.2896992000751197
38.0,1,0.0,0.0,1.0,1.0,0.4426971999928355
39.0,1,0.0,1.0,0.0,0.0,0.3307515000924468
40.0,1,0.0,1.0,0.0,0.0,0.3818887998349964
41.0,1,0.0,1.0,0.0,0.0,0.337813600199297
42.0,1,1.0,1.0,1.0,1.0,0.2435033000074327
43.0,1,1.0,1.0,1.0,1.0,0.3963824999518692
44.0,1,1.0,1.0,1.0,0.0,0.4528591998387128
45.0,1,1.0,1.0,1.0,1.0,0.3011328999418765
46.0,1,0.0,1.0,0.0,0.0,0.4837793000042438
47.0,1,1.0,1.0,1.0,1.0,0.5849079999607056
48.0,1,1.0,1.0,1.0,1.0,0.393778899917379
49.0,1,1.0,1.0,1.0,1.0,0.2555105001665652
0.0,2,0.0,1.0,0.0,0.0,0.4791684001684189
1.0,2,1.0,1.0,1.0,1.0,0.2419478998053819
2.0,2,1.0,1.0,1.0,0.0,0.252686700085178
3.0,2,1.0,1.0,1.0,0.0,0.2511148999910801
4.0,2,1.0,1.0,1.0,1.0,0.4012360000051558
5.0,2,1.0,1.0,1.0,1.0,0.277350699994713
6.0,2,1.0,1.0,1.0,1.0,0.3900162000209093
7.0,2,1.0,1.0,1.0,0.0,0.4624908999539912
8.0,2,1.0,1.0,1.0,1.0,0.4139864998869598
9.0,2,1.0,1.0,1.0,1.0,0.3071775001008063
10.0,2,1.0,1.0,1.0,1.0,0.292558099841699
11.0,2,1.0,1.0,1.0,0.0,0.4585183998569846
12.0,2,1.0,1.0,1.0,1.0,0.7028095000423491
13.0,2,1.0,1.0,1.0,0.0,0.2550382998306304
14.0,2,1.0,1.0,1.0,1.0,0.3104159000795334
15.0,2,1.0,0.0,0.0,0.0,0.5089503000490367
16.0,2,1.0,0.0,0.0,0.0,0.4404879999347031
17.0,2,0.0,0.0,1.0,1.0,0.4073268000502139
18.0,2,1.0,0.0,0.0,0.0,0.2804574000183493
19.0,2,0.0,0.0,1.0,1.0,0.2908652999904006
20.0,2,0.0,0.0,1.0,1.0,0.3936413999181241
21.0,2,0.0,0.0,1.0,1.0,0.3493707999587059
22.0,2,0.0,0.0,1.0,1.0,0.3184666000306606
23.0,2,0.0,0.0,1.0,1.0,0.3948490999173373
24.0,2,0.0,0.0,1.0,1.0,0.2479373000096529
25.0,2,0.0,0.0,1.0,0.0,0.2664782002102583
26.0,2,0.0,0.0,1.0,1.0,0.3178697000257671
27.0,2,1.0,0.0,0.0,0.0,0.2761816000565886
28.0,2,0.0,0.0,1.0,1.0,0.4297872998286038
29.0,2,0.0,0.0,1.0,1.0,0.4183755998965353
30.0,2,0.0,0.0,1.0,0.0,0.4121513999998569
31.0,2,0.0,0.0,1.0,1.0,0.4353283999953419
32.0,2,0.0,0.0,1.0,0.0,0.2552616999018937
33.0,2,0.0,0.0,1.0,1.0,0.4084280000533908
34.0,2,0.0,0.0,1.0,1.0,0.2916267998516559
35.0,2,0.0,0.0,1.0,0.0,0.3347011001314968
36.0,2,1.0,0.0,0.0,0.0,0.4365201001055538
37.0,2,1.0,0.0,0.0,0.0,0.3071538000367582
38.0,2,0.0,0.0,1.0,1.0,0.4157384999562055
39.0,2,0.0,0.0,1.0,1.0,0.4076189000625163
40.0,2,0.0,1.0,0.0,0.0,0.4174984998535365
41.0,2,1.0,1.0,1.0,1.0,0.2804769999347627
42.0,2,1.0,1.0,1.0,1.0,0.2710576001554727
43.0,2,0.0,1.0,0.0,0.0,0.3518183999694884
44.0,2,1.0,1.0,1.0,1.0,0.287531099980697
45.0,2,1.0,1.0,1.0,1.0,0.2895601000636816
46.0,2,,1.0,,,
47.0,2,1.0,1.0,1.0,0.0,0.4436135001014918
48.0,2,0.0,1.0,0.0,0.0,0.5829650000669062
49.0,2,1.0,1.0,1.0,1.0,0.4093770000617951
0.0,3,1.0,1.0,1.0,1.0,0.6524084000848234
1.0,3,1.0,1.0,1.0,0.0,0.2716286999639123
2.0,3,1.0,1.0,1.0,0.0,0.2221909000072628
3.0,3,0.0,1.0,0.0,0.0,0.2514624001923948
4.0,3,0.0,1.0,0.0,0.0,0.3153713999781757
5.0,3,1.0,1.0,1.0,0.0,0.2550923998933285
6.0,3,1.0,1.0,1.0,1.0,0.24931769981049
7.0,3,1.0,1.0,1.0,1.0,0.3305949000641703
8.0,3,1.0,1.0,1.0,1.0,0.2397890000138431
9.0,3,0.0,1.0,0.0,0.0,0.2076308999676257
10.0,3,1.0,1.0,1.0,1.0,0.3342597999144345
11.0,3,1.0,1.0,1.0,1.0,0.3962468998506665
12.0,3,1.0,1.0,1.0,1.0,0.4531270998995751
13.0,3,1.0,1.0,1.0,1.0,0.2827191001269966
14.0,3,1.0,1.0,1.0,1.0,0.390499000204727
15.0,3,1.0,1.0,1.0,1.0,0.3674184998963028
16.0,3,1.0,0.0,0.0,0.0,0.4174739001318812
