trial_number,run_number,side_picked,good_side,accuracy,outcome,reaction_time
0.0,1,0,1.0,0.0,0,1.1738283999729902
1.0,1,0,1.0,0.0,0,0.4516334999352693
2.0,1,1,1.0,1.0,1,0.3042668001726269
3.0,1,1,1.0,1.0,1,0.2983379999641329
4.0,1,1,1.0,1.0,1,0.5022095001768321
5.0,1,1,1.0,1.0,1,0.3222209999803453
6.0,1,1,1.0,1.0,1,0.4012572998180985
7.0,1,1,1.0,1.0,1,0.4771148997824639
8.0,1,1,1.0,1.0,0,0.3067528000101447
9.0,1,0,1.0,0.0,0,0.4296305999159813
10.0,1,0,1.0,0.0,0,0.4296741001307964
11.0,1,1,1.0,1.0,1,0.3541239001788199
12.0,1,1,1.0,1.0,0,0.9021305998321624
13.0,1,1,1.0,1.0,1,0.3777757999487221
14.0,1,1,1.0,1.0,0,0.4806971000507474
15.0,1,1,1.0,1.0,1,0.567670299904421
16.0,1,0,1.0,0.0,0,0.4122084002010524
17.0,1,1,1.0,1.0,0,0.4999261999037117
18.0,1,1,1.0,1.0,1,0.3105101000983268
19.0,1,1,0.0,0.0,0,0.5126025001518428
20.0,1,1,0.0,0.0,0,0.3026633998379111
21.0,1,1,0.0,0.0,0,0.3301162000279873
22.0,1,0,0.0,1.0,1,0.4545511999167502
23.0,1,0,0.0,1.0,1,0.382473399862647
24.0,1,0,0.0,1.0,1,0.3712591999210417
25.0,1,0,0.0,1.0,1,1.311732100090012
26.0,1,0,0.0,1.0,0,0.4229068998247385
27.0,1,0,0.0,1.0,1,0.3707975998986512
28.0,1,0,0.0,1.0,1,0.5542096998542547
29.0,1,0,0.0,1.0,1,0.3841248999815434
30.0,1,0,0.0,1.0,1,0.3807042001280933
31.0,1,0,0.0,1.0,0,0.548483399907127
32.0,1,0,0.0,1.0,0,0.3639809999149292
33.0,1,1,0.0,0.0,0,0.3520728000439703
34.0,1,0,0.0,1.0,1,0.4224785999394953
35.0,1,0,0.0,1.0,1,0.8675140000414103
36.0,1,0,0.0,1.0,1,0.3191696000285446
37.0,1,0,0.0,1.0,1,0.3277682000771165
38.0,1,1,0.0,0.0,0,0.3555143000558018
39.0,1,0,0.0,1.0,1,1.2395220999605954
