trial_number,run_number,side_picked,good_side,accuracy,outcome,reaction_time
0.0,1,,1.0,,,
1.0,1,1.0,1.0,1.0,1.0,0.4446590999723412
2.0,1,1.0,1.0,1.0,1.0,0.8339199000038207
3.0,1,1.0,1.0,1.0,0.0,0.5407774999621324
4.0,1,0.0,1.0,0.0,0.0,0.241735499992501
5.0,1,1.0,1.0,1.0,0.0,0.2319822999997995
6.0,1,1.0,1.0,1.0,1.0,0.3491383999935351
7.0,1,1.0,1.0,1.0,1.0,0.2971164000337012
8.0,1,1.0,1.0,1.0,1.0,0.3431290999869816
9.0,1,,1.0,,,
10.0,1,1.0,1.0,1.0,1.0,0.5063818000489846
11.0,1,1.0,1.0,1.0,1.0,0.515415700036101
12.0,1,1.0,1.0,1.0,1.0,0.637901599984616
13.0,1,1.0,0.0,0.0,0.0,0.642065400024876
14.0,1,1.0,0.0,0.0,0.0,0.2559787000063807
15.0,1,0.0,0.0,1.0,1.0,0.2987853999948129
16.0,1,0.0,0.0,1.0,0.0,0.2423646000097505
17.0,1,0.0,0.0,1.0,0.0,0.4234998000320047
18.0,1,1.0,0.0,0.0,0.0,0.2751473999815061
19.0,1,0.0,0.0,1.0,1.0,0.2687956999870948
20.0,1,0.0,0.0,1.0,1.0,0.2729987999773584
21.0,1,0.0,0.0,1.0,1.0,0.4953987000044435
22.0,1,0.0,0.0,1.0,1.0,0.5130094999913126
23.0,1,0.0,0.0,1.0,1.0,0.6128256000229158
24.0,1,0.0,0.0,1.0,0.0,0.3689382000011392
25.0,1,0.0,0.0,1.0,1.0,0.2516075000166893
26.0,1,0.0,0.0,1.0,0.0,0.3176803999813273
27.0,1,0.0,0.0,1.0,1.0,0.3901745000039227
28.0,1,0.0,0.0,1.0,1.0,0.4693649999680929
29.0,1,0.0,0.0,1.0,1.0,0.533441599982325
30.0,1,0.0,1.0,0.0,0.0,0.4308336999965831
31.0,1,0.0,1.0,0.0,0.0,0.3354152999818325
32.0,1,1.0,1.0,1.0,1.0,0.2228047000244259
33.0,1,1.0,1.0,1.0,1.0,0.3593429999891668
34.0,1,1.0,1.0,1.0,1.0,0.2820949000306427
35.0,1,1.0,1.0,1.0,1.0,0.3785664000315591
36.0,1,1.0,1.0,1.0,0.0,0.502724300022237
37.0,1,1.0,1.0,1.0,1.0,1.334779900033027
38.0,1,,1.0,,,
39.0,1,1.0,1.0,1.0,1.0,0.4685338000417687
