trial_number,run_number,side_picked,good_side,accuracy,outcome,reaction_time
0.0,1,0.0,1.0,0.0,0.0,0.6729264999739826
1.0,1,1.0,1.0,1.0,1.0,0.4624135000631213
2.0,1,0.0,1.0,0.0,0.0,0.3679982996545732
3.0,1,0.0,1.0,0.0,0.0,0.5838728998787701
4.0,1,1.0,1.0,1.0,1.0,0.6385209998115897
5.0,1,1.0,1.0,1.0,1.0,0.5114319999702275
6.0,1,1.0,1.0,1.0,1.0,0.6788499001413584
7.0,1,0.0,1.0,0.0,0.0,0.4874678999185562
8.0,1,0.0,1.0,0.0,0.0,0.6039301999844611
9.0,1,1.0,1.0,1.0,1.0,0.8546998999081552
10.0,1,1.0,1.0,1.0,1.0,0.6869782996363938
11.0,1,1.0,1.0,1.0,1.0,0.7879599998705089
12.0,1,1.0,1.0,1.0,0.0,0.7595234997570515
13.0,1,0.0,1.0,0.0,0.0,0.4660816001705825
14.0,1,1.0,1.0,1.0,0.0,0.5564938001334667
15.0,1,1.0,1.0,1.0,1.0,0.5039966995827854
16.0,1,1.0,1.0,1.0,0.0,0.8254891000688076
17.0,1,0.0,1.0,0.0,0.0,0.6215114002116024
18.0,1,0.0,1.0,0.0,0.0,0.7526572002097964
19.0,1,1.0,1.0,1.0,1.0,0.3626013002358377
20.0,1,1.0,1.0,1.0,1.0,0.5777209000661969
21.0,1,1.0,1.0,1.0,1.0,0.6536220996640623
22.0,1,1.0,0.0,0.0,0.0,0.4567101998254657
23.0,1,0.0,0.0,1.0,1.0,0.7904984997585416
24.0,1,1.0,0.0,0.0,0.0,1.104504100047052
25.0,1,1.0,0.0,0.0,0.0,1.4599248003214598
26.0,1,0.0,0.0,1.0,1.0,0.5312244999222457
27.0,1,0.0,0.0,1.0,0.0,0.4123717998154461
28.0,1,1.0,0.0,0.0,0.0,0.606882699765265
29.0,1,0.0,0.0,1.0,0.0,0.4180797999724746
30.0,1,,0.0,,,
31.0,1,1.0,0.0,0.0,0.0,0.6202993998304009
32.0,1,1.0,0.0,0.0,0.0,0.5870735999196768
33.0,1,0.0,0.0,1.0,1.0,0.501747699920088
34.0,1,0.0,0.0,1.0,1.0,0.6251118001528084
35.0,1,0.0,0.0,1.0,0.0,0.6668039001524448
36.0,1,1.0,0.0,0.0,0.0,0.5195977999828756
37.0,1,0.0,0.0,1.0,1.0,0.7679264000616968
38.0,1,0.0,0.0,1.0,1.0,1.3641393999569118
39.0,1,0.0,0.0,1.0,1.0,0.6086059999652207
40.0,1,0.0,0.0,1.0,1.0,0.7569865002296865
41.0,1,1.0,0.0,0.0,0.0,1.0780769996345043
42.0,1,0.0,0.0,1.0,1.0,0.4811300002038479
43.0,1,0.0,1.0,0.0,0.0,0.3909868001937866
44.0,1,1.0,1.0,1.0,1.0,0.3944726996123791
45.0,1,1.0,1.0,1.0,0.0,0.5246958001516759
46.0,1,0.0,1.0,0.0,0.0,0.4230280998162925
47.0,1,1.0,1.0,1.0,1.0,0.408528400119394
48.0,1,0.0,1.0,0.0,0.0,1.164696200285107
49.0,1,0.0,1.0,0.0,0.0,0.4881525002419948
0.0,2,,1.0,,,
1.0,2,0.0,1.0,0.0,0.0,0.3962942999787628
2.0,2,1.0,1.0,1.0,1.0,0.3188749998807907
3.0,2,0.0,1.0,0.0,0.0,0.4490980003029108
4.0,2,1.0,1.0,1.0,1.0,0.5325416000559926
5.0,2,1.0,1.0,1.0,1.0,0.3934814999811351
6.0,2,1.0,1.0,1.0,1.0,0.4746022997424006
7.0,2,1.0,1.0,1.0,1.0,1.1428765999153256
8.0,2,1.0,1.0,1.0,0.0,0.536773799918592
9.0,2,0.0,1.0,0.0,0.0,0.6972123999148607
10.0,2,1.0,1.0,1.0,1.0,0.4856470003724098
11.0,2,1.0,1.0,1.0,0.0,0.5626468998380005
12.0,2,,1.0,,,
13.0,2,1.0,1.0,1.0,1.0,0.3940016999840736
14.0,2,1.0,1.0,1.0,1.0,0.5372959999367595
15.0,2,1.0,1.0,1.0,0.0,0.4414479001425206
16.0,2,0.0,1.0,0.0,0.0,0.3665070999413728
17.0,2,1.0,1.0,1.0,1.0,0.508343200199306
18.0,2,1.0,1.0,1.0,1.0,0.5441929996013641
19.0,2,0.0,1.0,0.0,0.0,0.388589299749583
20.0,2,0.0,1.0,0.0,0.0,0.5604443000629544
21.0,2,0.0,1.0,0.0,0.0,0.4894532999023795
22.0,2,1.0,1.0,1.0,1.0,0.3706904998980462
23.0,2,1.0,1.0,1.0,1.0,0.3485917001962662
24.0,2,1.0,1.0,1.0,1.0,0.4925751998089254
25.0,2,1.0,1.0,1.0,0.0,0.4071619003079831
26.0,2,0.0,1.0,0.0,0.0,0.3631841000169515
27.0,2,0.0,1.0,0.0,0.0,0.5632997001521289
28.0,2,1.0,1.0,1.0,0.0,0.5625640000216663
29.0,2,0.0,1.0,0.0,0.0,0.4477838999591768
30.0,2,1.0,1.0,1.0,1.0,0.5855303998105228
31.0,2,1.0,0.0,0.0,0.0,0.7470639999955893
32.0,2,0.0,0.0,1.0,1.0,0.4659020002000034
33.0,2,0.0,0.0,1.0,1.0,0.5958854998461902
34.0,2,0.0,0.0,1.0,1.0,0.5938760000281036
35.0,2,1.0,0.0,0.0,0.0,0.3930632001720369
36.0,2,0.0,0.0,1.0,1.0,0.4402060001157224
37.0,2,0.0,0.0,1.0,1.0,0.3487722999416291
38.0,2,0.0,0.0,1.0,0.0,1.024026700295508
39.0,2,1.0,0.0,0.0,0.0,0.3873505000956356
40.0,2,0.0,0.0,1.0,1.0,0.3284696997143328
41.0,2,0.0,0.0,1.0,0.0,0.3883613003417849
42.0,2,1.0,0.0,0.0,0.0,0.460103299934417
43.0,2,1.0,0.0,0.0,0.0,0.3908107001334429
44.0,2,0.0,0.0,1.0,1.0,0.335732199717313
45.0,2,0.0,0.0,1.0,1.0,0.3882662001997232
46.0,2,0.0,0.0,1.0,0.0,0.5735613000579178
47.0,2,0.0,0.0,1.0,1.0,1.3272513998672366
48.0,2,0.0,0.0,1.0,1.0,0.4122342998161912
49.0,2,1.0,0.0,0.0,0.0,0.3423612001352012
0.0,3,0.0,1.0,0.0,0.0,0.6033434998244047
1.0,3,1.0,1.0,1.0,1.0,0.5328705003485084
2.0,3,1.0,1.0,1.0,0.0,0.6311441999860108
3.0,3,1.0,1.0,1.0,1.0,0.3401827998459339
4.0,3,0.0,1.0,0.0,0.0,0.3760652001947164
5.0,3,0.0,1.0,0.0,0.0,0.401604600250721
6.0,3,1.0,1.0,1.0,0.0,0.4324209997430444
7.0,3,0.0,1.0,0.0,0.0,0.5990170002914965
8.0,3,1.0,1.0,1.0,1.0,0.3717256998643279
9.0,3,1.0,1.0,1.0,1.0,0.4389589997008443
10.0,3,1.0,1.0,1.0,1.0,0.4167713997885585
11.0,3,0.0,1.0,0.0,0.0,0.3775208997540176
12.0,3,0.0,1.0,0.0,0.0,0.3790967999957502
13.0,3,1.0,1.0,1.0,1.0,0.5318029001355171
14.0,3,0.0,1.0,0.0,0.0,0.3900748998858034
15.0,3,1.0,1.0,1.0,1.0,0.3764885002747178
16.0,3,1.0,1.0,1.0,1.0,0.3042892003431916
17.0,3,1.0,1.0,1.0,1.0,0.6223097001202404
18.0,3,1.0,1.0,1.0,1.0,0.6642708997242153
19.0,3,1.0,1.0,1.0,1.0,0.9778117998503147
20.0,3,1.0,1.0,1.0,0.0,0.4187854002229869
21.0,3,0.0,1.0,0.0,0.0,0.393839799799025
22.0,3,1.0,1.0,1.0,1.0,0.3521487996913492
23.0,3,1.0,0.0,0.0,0.0,0.3445503003895283
24.0,3,0.0,0.0,1.0,1.0,0.4345062999054789
25.0,3,0.0,0.0,1.0,0.0,0.4259127001278102
26.0,3,1.0,0.0,0.0,0.0,0.3429817999713123
27.0,3,1.0,0.0,0.0,0.0,0.4113088003359735
28.0,3,0.0,0.0,1.0,0.0,0.4612893997691571
29.0,3,1.0,0.0,0.0,0.0,0.3511076001450419
